claim_id,chapter,section,claim_or_topic,phase2_status,phase3_disposition,citation_key,resolution_status,notes
CLAIM-001,1,Why Study Advanced Algorithms? {.unnumbered},"🚗 Navigation Apps: When you use Google Maps or Waze, you're using sophisticated shortest-path algorithms that consider millions of roads, traffic patterns, and real-time conditions to find your optimal route in milliseconds.",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,shor1997factoring,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-002,1,Why Study Advanced Algorithms? {.unnumbered},"🎬 Recommendation Systems: Netflix, Spotify, and Amazon use machine learning algorithms to predict what movies, songs, or products you might enjoy based on your past behavior and preferences of similar users.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-003,1,Criterion 1: Correctness—Getting the Right Answer,- Produce correct output: Give the right answer according to the problem definition,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-004,1,Balancing the Criteria,"Google's search algorithm prioritizes speed and robustness over finding the theoretically ""perfect"" results. It's better to return very good results instantly than perfect results after a long wait.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-005,1,"Approach 2: The ""Fast"" Way (QuickSelect)",- Space Complexity: O(1) if implemented iteratively,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-006,1,When to Choose Each Approach,Real-World Example: Netflix Recommendations,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-007,1,When to Choose Each Approach,"Netflix doesn't compute the ""perfect"" recommendation for each user—that would be computationally impossible with millions of users and thousands of movies. Instead, they use approximate algorithms that are:",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-008,1,Big-Θ Notation (Tight Bound),"Example: Since we proved both 3n² + 5n + 2 = O(n²) and 3n² + 5n + 2 = Ω(n²), we can conclude:",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-009,1,Python: Our Language of Choice,- Expressiveness: Complex algorithms can be implemented concisely,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-010,1,What You've Accomplished,- Implemented three sorting algorithms with full documentation,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-011,2,Welcome to the Power of Recursion {.unnumbered},"In Chapter 1, we learned to analyze algorithms and implemented basic sorting methods that worked directly on the entire input. Those algorithms—bubble sort, selection sort, insertion sort—all had O(n²) time complexity in the worst case. Now we're going to blow past that limitation. By the end of this chapter, you'll understand and implement sorting algorithms that run in O(n log n) time, making them thousands of times faster on large datasets. The key? Divide and conquer.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
