page,meaningful_utilization,severity,classification,contact_sheet,reason,action,final_status
1,0.147,REVIEW,title page,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
9,0.023,CRITICAL REVIEW,half-title,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
10,0.141,REVIEW,edition notice,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
12,0.065,CRITICAL REVIEW,dedication,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
16,0.199,REVIEW,chapter/section closing page,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
17,0.000,CRITICAL REVIEW,part opener,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
144,0.000,CRITICAL REVIEW,part opener,pages-126-150.png,deliberately sparse opener,retain,INTENTIONAL
261,0.160,REVIEW,chapter/section closing page,pages-251-275.png,deliberately sparse opener,retain,INTENTIONAL
298,0.025,CRITICAL REVIEW,part opener,pages-276-300.png,deliberately sparse opener,retain,INTENTIONAL
354,0.000,CRITICAL REVIEW,part opener,pages-351-375.png,deliberately sparse opener,retain,INTENTIONAL
432,0.141,REVIEW,chapter/section closing page,pages-426-450.png,deliberately sparse opener,retain,INTENTIONAL
528,0.025,CRITICAL REVIEW,part opener,pages-526-550.png,deliberately sparse opener,retain,INTENTIONAL
