block_id,chapter,section,source_file,current_language,semantic_type,executable,complete_or_fragment,title_needed,caption_needed,line_numbers,print_style,html_style,epub_style,overflow_risk,special_handling,status,notes
ch01-b001,1,Beyond the Textbook Definition,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 47-57; 9 content lines
ch01-b002,1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 78-82; 3 content lines
ch01-b003,1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 86-93; 6 content lines
ch01-b004,1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,java,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 97-107; 9 content lines
ch01-b005,1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,javascript,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 111-121; 9 content lines
ch01-b006,1,Criterion 1: Correctness—Getting the Right Answer,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 161-166; 4 content lines
ch01-b007,1,Criterion 2: Efficiency—Getting There Fast,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 207-213; 5 content lines
ch01-b008,1,Criterion 2: Efficiency—Getting There Fast,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 217-225; 7 content lines
ch01-b009,1,Criterion 3: Clarity and Elegance,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 244-249; 4 content lines
ch01-b010,1,Criterion 3: Clarity and Elegance,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 253-258; 4 content lines
ch01-b011,1,Criterion 4: Robustness,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 275-288; 12 content lines
ch01-b012,1,Criterion 4: Robustness,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 292-299; 6 content lines
ch01-b013,1,Step 3: Choose a Strategy,chapters/01-introduction.qmd,UNLABELED,OTHER,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,technical-other,technical-other,technical-other,LOW,NONE,CLASSIFIED,lines 412-421; 8 content lines
ch01-b014,1,Step 3: Choose a Strategy,chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 425-428; 2 content lines
ch01-b015,1,Step 4: Design the Algorithm,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 436-451; 14 content lines
ch01-b016,1,Step 7: Implement,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 504-530; 25 content lines
ch01-b017,1,Step 8: Test Thoroughly,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 536-546; 9 content lines
ch01-b018,1,"Approach 1: The ""Correct"" Way",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 588-598; 9 content lines
ch01-b019,1,"Approach 2: The ""Fast"" Way (QuickSelect)",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 608-637; 28 content lines
ch01-b020,1,"Approach 3: The ""Approximate"" Way",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 647-656; 8 content lines
ch01-b021,1,The Surprising Third Option: Making Algorithms Smarter,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 738-746; 7 content lines
ch01-b022,1,The Surprising Third Option: Making Algorithms Smarter,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 750-755; 4 content lines
ch01-b023,1,The Surprising Third Option: Making Algorithms Smarter,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 759-772; 12 content lines
ch01-b024,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 829-831; 1 content lines
ch01-b025,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 841-843; 1 content lines
ch01-b026,1,Big-O Notation (Upper Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 854-856; 1 content lines
ch01-b027,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 864-866; 1 content lines
ch01-b028,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 874-876; 1 content lines
ch01-b029,1,Big-Ω Notation (Lower Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 880-882; 1 content lines
ch01-b030,1,Big-Θ Notation (Tight Bound),chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,NO,FRAGMENT,NO,NO,NO,inline-example,inline-example,inline-example,LOW,NONE,CLASSIFIED,lines 894-896; 1 content lines
ch01-b031,1,"Misconception 1: ""Big-O means exact growth rate""",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 914-920; 5 content lines
ch01-b032,1,"Misconception 4: ""Asymptotic analysis applies to small inputs""",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 974-981; 6 content lines
ch01-b033,1,Growth Rate Hierarchy: A Roadmap,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,NO,FRAGMENT,NO,NO,NO,algorithm,algorithm,algorithm,LOW,NONE,CLASSIFIED,lines 989-992; 2 content lines
ch01-b034,1,Example 1: Nested Loops,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1102-1108; 5 content lines
ch01-b035,1,Example 2: Variable Inner Loop,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,FRAGMENT,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1119-1125; 5 content lines
ch01-b036,1,Example 3: Logarithmic Loop,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1139-1153; 13 content lines
ch01-b037,1,Example 4: Divide and Conquer,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1164-1191; 26 content lines
ch01-b038,1,Performance Prediction,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1205-1218; 12 content lines
ch01-b039,1,Algorithm Selection,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1222-1231; 8 content lines
ch01-b040,1,Bottleneck Identification,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1235-1251; 15 content lines
ch01-b041,1,Space Complexity,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,program-code,program-code,program-code,LOW,NONE,CLASSIFIED,lines 1287-1300; 12 content lines
ch01-b042,1,Python: Our Language of Choice,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,terminal,terminal,terminal,LOW,NONE,CLASSIFIED,lines 1335-1347; 11 content lines
ch01-b043,1,Virtual Environments: Keeping Things Clean,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,NO,COMPLETE_OR_SUBSTANTIAL,NO,NO,NO,terminal,terminal,terminal,LOW,NONE,CLASSIFIED,lines 1353-1365; 11 content lines
ch01-b044,1,Essential Libraries,chapters/01-introduction.qmd,bash,TERMINAL_COMMAND,NO,FRAGMENT,NO,NO,NO,terminal,terminal,terminal,LOW,NONE,CLASSIFIED,lines 1369-1375; 5 content lines
