chapter,section,source_line,category,observation,severity,recommended_author_action
01-foundations.qmd,Key Terminologies and Concepts,62,FRESHNESS,"|**Large Language Model (LLM)**|A neural network trained on vast amounts of text data to understand and generate human-like language|GPT-4, Claude, Llama|",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
01-foundations.qmd,Why It's Revolutionary,102,TECHNICAL,"Generative AI's revolutionary quality lies in its ability to recombine learned concepts into genuinely novel outputs. When an image model generates a ""cyberpunk cat wearing a space helmet,"" it isn't copying any single training image. It has learned the underlying concepts of ""cyberpunk aesthetics,"" ""cats,"" ""space helmets,"" and ""composition,"" then combines them into something new.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
01-foundations.qmd,Chapter opening,,CONSISTENCY,"Multiple learning-goal sections: What You'll Learn, Learning Outcomes",REVIEW,Author may wish to review whether the repeated goal sections are intentional. Preserved unchanged.
02-llms.qmd,Introduction,7,FRESHNESS,"Within hours, problems emerged. Simple questions like ""What's a normal temperature?"" were taking eight seconds and costing \$0.03 each, using the company's most powerful (and expensive) AI model for what should be instant, cheap answers. Meanwhile, complex diagnostic questions were being routed to the fast but limited model, producing oversimplified responses that missed important nuances.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Introduction,9,FRESHNESS,"The monthly API bill projection: \$47,000. For 50,000 queries.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Introduction,13,FRESHNESS,"That weekend, Sarah dove into something she'd previously skipped: understanding how these AI models actually worked under the hood. Why were there so many different models? What made GPT-4 cost 20 times more than GPT-3.5 Turbo? How could she tell which model was right for which task?",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Introduction,19,TECHNICAL,"New monthly cost projection: \$8,200. Response times: 90% under 2 seconds. Diagnostic accuracy: actually improved.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Key Terminologies and Concepts,57,FRESHNESS,| **Parameters** | The learned weights in a neural network that determine its behavior; more parameters generally mean more capability | GPT-3: 175 billion parameters; GPT-4: \~1.7 trillion parameters |,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Key Terminologies and Concepts,58,FRESHNESS,| **Context Window** | The maximum amount of text (in tokens) a model can process in a single interaction | GPT-3.5: 4K tokens (\~3K words); Claude 2: 100K tokens (\~75K words) |,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Key Terminologies and Concepts,61,FRESHNESS,"| **Model Family** | A collection of related models from the same organization, often with different sizes and capabilities | OpenAI GPT family: GPT-3.5 Turbo, GPT-4, GPT-4 Turbo |",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Key Terminologies and Concepts,67,FRESHNESS,| **Zero-shot** | Model performs a task without any task-specific training or examples | Asking GPT-4 to translate French without providing translation examples |,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Key Terminologies and Concepts,74,FRESHNESS,"| **Fallback Strategy** | Having backup models available if the primary model fails or is unavailable | If GPT-4 is rate-limited, automatically switch to Claude Sonnet |",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Key Terminologies and Concepts,78,FRESHNESS,"| **Rate Limiting** | Restrictions on how many requests can be made to an API in a given time period | OpenAI: 10,000 requests per minute for GPT-3.5; 500 for GPT-4 |",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Small Models (1B-7B parameters): The Swift Specialists,462,FRESHNESS,"TechSupport Inc. handles 50,000 customer service inquiries daily. Initially, they routed everything through GPT-4, their ""smartest"" option. Monthly cost: \$42,000. Average response time: 6 seconds.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Medium Models (13B-34B parameters): The Balanced Performers,496,FRESHNESS,Claude 3 Sonnet provided the perfect balance:,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Large Models (70B+ parameters): The Heavy Hitters,520,FRESHNESS,Switching to GPT-4 and Claude 3 Opus changed everything:,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Large Models (70B+ parameters): The Heavy Hitters,522,TECHNICAL,-   **Diagnostic accuracy**: Improved by 34%,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Large Models (70B+ parameters): The Heavy Hitters,525,TECHNICAL,-   **Specialist-level insights**: Matched expert physician analysis,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Real-World Example: Your Research Assistant,589,FRESHNESS,-   **Best Choice**: Small model (Claude 3 Haiku or GPT-3.5 Turbo),REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Real-World Example: Your Research Assistant,596,FRESHNESS,-   **Best Choice**: Medium model (Claude 3 Sonnet),REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Real-World Example: Your Research Assistant,603,FRESHNESS,-   **Best Choice**: Large model (GPT-4 or Claude 3 Opus),REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,GPT-3.5 Turbo: The Reliable Workhorse,649,FRESHNESS,-   **Cost-effective**: Roughly 10x cheaper than GPT-4 for most tasks,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,GPT-4: The Strategic Advisor,657,FRESHNESS,#### GPT-4: The Strategic Advisor,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,GPT-4: The Strategic Advisor,670,FRESHNESS,"**Real-World Example**: An architecture firm uses GPT-4 to analyze building plans and regulations, justify design decisions, and generate detailed specifications, tasks where the superior reasoning and multimodal capabilities are essential.",REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
02-llms.qmd,Claude 3 Haiku: The Swift Analyst,676,FRESHNESS,#### Claude 3 Haiku: The Swift Analyst,REVIEW,"Author may wish to review the scope, date, and supporting source for this statement. No change has been applied."
