order,filename,relative_path,body_title,metadata_title,byte_size
1,01-foundations.qmd,original/01-foundations.qmd,Chapter 1: Foundations of Generative AI,Chapter 1: Foundations of Generative AI,37398
2,02-llms.qmd,original/02-llms.qmd,Chapter 2: The Architecture of Understanding,,59228
3,03-prompt-engineering.qmd,original/03-prompt-engineering.qmd,Chapter 3: The Art and Science of Prompting,,73117
4,04-apis-integration.qmd,original/04-apis-integration.qmd,Chapter 4: Working with APIs and Integration,Chapter 4: Working with APIs and Integration,17093
5,05-agents.qmd,original/05-agents.qmd,Chapter 5: Agents — AI That Takes Action,Chapter 5: Agents — AI That Takes Action,26035
6,06-rag.qmd,original/06-rag.qmd,Chapter 6: Retrieval-Augmented Generation,Chapter 6: Retrieval-Augmented Generation,17564
7,07-finetuning.qmd,original/07-finetuning.qmd,Chapter 7: Fine-tuning and Customization,Chapter 7: Fine-tuning and Customization,16371
8,08-research-methods.qmd,original/08-research-methods.qmd,Chapter 8: Research Methods and Literature Synthesis,Chapter 8: Research Methods and Literature Synthesis,16162
9,09-multimodal.qmd,original/09-multimodal.qmd,Chapter 9: Multimodal Capabilities,Chapter 9: Multimodal Capabilities,16471
10,10-evaluation.qmd,original/10-evaluation.qmd,Chapter 10: Evaluating Generative AI Systems,Chapter 10: Evaluating Generative AI Systems,16536
11,11-optimization.qmd,original/11-optimization.qmd,Chapter 11: Advanced Techniques and Optimization,Chapter 11: Advanced Techniques and Optimization,13954
12,12-safety-alignment.qmd,original/12-safety-alignment.qmd,"Chapter 12: AI Safety, Alignment, and Interpretability","Chapter 12: AI Safety, Alignment, and Interpretability",18034
13,13-ethics.qmd,original/13-ethics.qmd,"Chapter 13: Safety, Ethics, and Responsible AI","Chapter 13: Safety, Ethics, and Responsible AI",17262
14,14-law-policy.qmd,original/14-law-policy.qmd,"Chapter 14: Law, Policy, and Governance of AI","Chapter 14: Law, Policy, and Governance of AI",16875
15,15-deployment-frontier.qmd,original/15-deployment-frontier.qmd,"Chapter 15: Deployment, and the Road Ahead",Chapter 15: Deployment and the Frontier,18695
