figure_id,chapter,section,source_ascii,output_file,visual_type,caption,alt_text,width,print_status,html_status,epub_status,technical_check,accessibility_check,notes
fig-find-max-recursion,2,The Recursion Tree: Visualizing Divide and Conquer,lines 194-213,assets/figures/chapter02/find-max-recursion.svg,recursion tree,Find-max recursion exposes the divide and combine stages; the maximum value 9 propagates to the root.,The input array splits recursively into single values. Local maxima combine upward until the root returns 9.,82%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-merge-sort-decomposition,2,Merge Sort - The Guaranteed Performer,lines 472-485,assets/figures/chapter02/merge-sort-decomposition.svg,recursion tree,Merge sort alternates decomposition and ordered combination.,"Merge sort splits the array into singleton leaves, merges each pair in order, and produces the sorted array 3, 27, 38, 43.",78%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-merge-sort-work,2,Time Complexity Analysis,lines 557-570,assets/figures/chapter02/merge-sort-work-tree.svg,recursion tree,Merge sort performs Θ(n) work per level across Θ(log n) levels.,"A balanced binary recursion tree has cn total work at every level, from one root problem through n constant-size leaves.",84%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-quicksort-partitions,2,"Analysis: Best Case, Worst Case, Average Case",lines 1018-1029 and 1058-1074,assets/figures/chapter02/quicksort-partition-comparison.svg,comparison,Partition balance determines whether quicksort has Θ(n log n) or Θ(n²) recursion.,Balanced quicksort partitions form a logarithmic-height tree; repeatedly choosing an extreme pivot forms a linear chain.,88%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-heap-array-mapping,3,The Binary Heap Structure,lines 114-130,assets/figures/chapter03/binary-heap-array-mapping.svg,tree and array,A complete binary heap maps directly to a contiguous array by level order.,A max-heap with root 50 and children 30 and 40 maps level by level to array indices zero through six.,78%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-fibonacci-overlap,5,Enter Dynamic Programming: Memoization,lines 128-142 and 238-251,assets/figures/chapter05/fibonacci-overlap.svg,dependency comparison,Memoization collapses repeated Fibonacci subproblems into one computation per state.,"Naive Fibonacci recursion repeats fib(3) and fib(2), whereas the memoized dependency chain computes each state once.",88%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-complexity-containment,7,"Visualizing P, NP, and Beyond",lines 208-224,assets/figures/chapter07/complexity-class-containment.svg,set containment,Known complexity-class containments do not resolve whether P equals NP.,"Nested regions show P contained in NP, NP contained in PSPACE, and PSPACE contained in EXP; the equality of P and NP remains open.",72%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-simple-flow-network,9,A Simple Example,lines 71-81,assets/figures/chapter09/simple-flow-network.svg,flow network,Two edge-disjoint paths carry a maximum flow of 15 units.,A source branches to vertices a and b with capacities 10 and 5; their outgoing edges to the sink have capacities 10 and 15.,68%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-residual-edge,9,The Genius Idea: The Residual Network,lines 117-123,assets/figures/chapter09/residual-edge.svg,residual network,Residual edges represent both unused forward capacity and flow that may be canceled.,"For an edge carrying seven of ten units, the residual network contains forward capacity three and a dashed backward edge of capacity seven.",64%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-max-flow-min-cut,9,What's a Cut?,lines 135-146,assets/figures/chapter09/max-flow-min-cut.svg,flow and cut,"The source cut has capacity 15, equal to the displayed maximum flow.",A dashed boundary immediately after the source crosses capacity-10 and capacity-5 edges while highlighted paths carry total flow 15.,74%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-bipartite-matching-flow,9,The Flow Network Trick,lines 736-745,assets/figures/chapter09/bipartite-matching-flow.svg,bipartite flow,Unit capacities convert bipartite matching into maximum flow while enforcing at most one match per vertex.,"A source connects to three left vertices, compatibility edges connect the bipartition, and three highlighted unit-flow paths reach the sink through distinct right vertices.",82%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-suffix-array-ordering,10,The Suffix Array,lines 861-874,assets/figures/chapter10/suffix-array-ordering.svg,string ordering,Lexicographically sorting suffixes produces the suffix array for `banana$`.,"The seven suffixes of banana with a sentinel connect from their original positions to lexicographic order, producing indices 6, 5, 3, 1, 0, 4, 2.",82%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-fft-convolution,11,The FFT Trick,additional high-value opportunity,assets/figures/chapter11/fft-convolution-pipeline.svg,transformation pipeline,The convolution theorem converts polynomial convolution into pointwise multiplication in the frequency domain.,"Coefficient vectors pass through the FFT, are multiplied pointwise at roots of unity, and return through the inverse FFT as product coefficients.",82%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
fig-segment-tree-query,12,The Segment Tree Idea,lines 63-75,assets/figures/chapter12/segment-tree-query.svg,tree and array,"A segment-tree query decomposes range [1,4] into three disjoint stored intervals.","The array 1, 3, 5, 7, 9, 11 maps to a binary sum tree. Highlighted disjoint nodes for intervals one, two, and three through four sum to 24.",86%,PASS,PASS,PASS,PASS,PASS,Canonical SVG; generated by scripts/figures/generate_instructional_figures.py
