chapter,section,source_file,item_type,description,claimed_algorithm,claimed_complexity,implementation_language,implementation_present,runnable,verification_status,citation_required,source_required,severity,recommended_action,notes
1,Why Study Advanced Algorithms? {.unnumbered},/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,"🚗 Navigation Apps: When you use Google Maps or Waze, you're using sophisticated shortest-path algorithms that consider millions of roads, traffic patterns, and real-time conditions to find your optimal route in milliseconds.",,,,NO,NO,MANUAL REVIEW,YES,YES,MEDIUM,Verify assumptions and terminology,line 20
1,Beyond the Textbook Definition,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 48-56,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Algorithms vs. Programs: A Crucial Distinction,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 79-81,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Algorithms vs. Programs: A Crucial Distinction,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 87-92,,,python,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Algorithms vs. Programs: A Crucial Distinction,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 98-106,,,java,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Algorithms vs. Programs: A Crucial Distinction,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,CODE,Fenced block at lines 112-120,,,javascript,YES,CANDIDATE,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Real-World Analogy: Following Directions,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,MATHEMATICAL_CLAIM,"The first set of directions is algorithmic—precise, unambiguous, and guaranteed to work if followed correctly. The second set might work sometimes, but it's unreliable and leaves too much room for interpretation.",,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 145
1,Criterion 1: Correctness—Getting the Right Answer,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 162-165,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
1,Criterion 1: Correctness—Getting the Right Answer,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PROOF,Proof of Correctness for FindMaximumScore:,,,,NO,NO,MANUAL REVIEW,NO,NO,LOW,Verify assumptions and terminology,line 181
1,Criterion 2: Efficiency—Getting There Fast,/Users/medina/Projects/oer-books/advanced-algorithms-book/chapters/01-introduction.qmd,PSEUDOCODE,Fenced block at lines 208-212,,,UNLABELED,YES,NO,SEE code-verification-results.csv,NO,NO,LOW,Use block-level verification record,Safe automated classification plus targeted tests; unexecuted blocks remain manual review.
