figure_id,source_file,chapter,caption,expected_width,pdf_page,vector_source_present,caption_detected,visual_review,status
fig-find-max-recursion,assets/figures/chapter02/find-max-recursion.svg,2,Find-max recursion exposes the divide and combine stages; the maximum value 9 propagates to the root.,82%,85,YES,YES,PASS — full contact-sheet sweep,PASS
fig-merge-sort-decomposition,assets/figures/chapter02/merge-sort-decomposition.svg,2,Merge sort alternates decomposition and ordered combination.,78%,90,YES,YES,PASS — full contact-sheet sweep,PASS
fig-merge-sort-work,assets/figures/chapter02/merge-sort-work-tree.svg,2,Merge sort performs $\Theta(n)$ work per level across $\Theta(log n)$ levels.,84%,92,YES,YES,PASS — full contact-sheet sweep,PASS
fig-quicksort-partitions,assets/figures/chapter02/quicksort-partition-comparison.svg,2,Partition balance determines whether quicksort has $\Theta(n log n)$ or $\Theta(n^2)$ recursion.,88%,101,YES,YES,PASS — full contact-sheet sweep,PASS
fig-heap-array-mapping,assets/figures/chapter03/binary-heap-array-mapping.svg,3,A complete binary heap maps directly to a contiguous array by level order.,78%,149,YES,YES,PASS — full contact-sheet sweep,PASS
fig-fibonacci-overlap,assets/figures/chapter05/fibonacci-overlap.svg,5,Memoization collapses repeated Fibonacci subproblems into one computation per state.,88%,226,YES,YES,PASS — full contact-sheet sweep,PASS
fig-complexity-containment,assets/figures/chapter07/complexity-class-containment.svg,7,Known complexity-class containments do not resolve whether P equals NP.,72%,306,YES,YES,PASS — full contact-sheet sweep,PASS
fig-simple-flow-network,assets/figures/chapter09/simple-flow-network.svg,9,Two edge-disjoint paths carry a maximum flow of 15 units.,68%,359,YES,YES,PASS — full contact-sheet sweep,PASS
fig-residual-edge,assets/figures/chapter09/residual-edge.svg,9,Residual edges represent both unused forward capacity and flow that may be canceled.,64%,360,YES,YES,PASS — full contact-sheet sweep,PASS
fig-max-flow-min-cut,assets/figures/chapter09/max-flow-min-cut.svg,9,"The source cut has capacity 15, equal to the displayed maximum flow.",74%,360,YES,YES,PASS — full contact-sheet sweep,PASS
fig-bipartite-matching-flow,assets/figures/chapter09/bipartite-matching-flow.svg,9,Unit capacities convert bipartite matching into maximum flow while enforcing at most one match per vertex.,82%,372,YES,YES,PASS — full contact-sheet sweep,PASS
fig-suffix-array-ordering,assets/figures/chapter10/suffix-array-ordering.svg,10,Lexicographically sorting suffixes produces the suffix array for `banana$`.,82%,412,YES,YES,PASS — full contact-sheet sweep,PASS
fig-fft-convolution,assets/figures/chapter11/fft-convolution-pipeline.svg,11,The convolution theorem converts polynomial convolution into pointwise multiplication in the frequency domain.,82%,448,YES,YES,PASS — full contact-sheet sweep,PASS
fig-segment-tree-query,assets/figures/chapter12/segment-tree-query.svg,12,"A segment-tree query decomposes range [1,4] into three disjoint stored intervals.",86%,486,YES,YES,PASS — full contact-sheet sweep,PASS
