equation_id,chapter,section,source_file,source_line_or_anchor,content_type,current_representation,recommended_representation,inline_or_display,numbered,cross_referenced,variables_defined,assumptions_defined,render_pdf,render_html,render_epub,visual_status,notes
MATH-0001,1,Beyond the Textbook Definition,chapters/01-introduction.qmd,47,INEQUALITY,technical_block,native_math,display,NO,UNKNOWN,PASS,PASS,PASS,PASS,PASS,PASS,"Algorithm: FindMaximumScore Input: A list of scores S = [s₁, s₂, ..., sₙ] Output: The maximum score in the list 1. Set max_score = S[1] (start with the first score) 2. For each remaining score s in S: 3. If s > max_score: 4. Set max_score = s 4. Return max_score"
MATH-0002,1,Criterion 1: Correctness—Getting the Right Answer,chapters/01-introduction.qmd,157,ALGORITHM_FORMULA,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"The most fundamental requirement for any algorithm is **correctness**—it must produce the right output for all valid inputs. This might seem obvious, but it's actually quite challenging to achieve."
MATH-0003,1,Criterion 1: Correctness—Getting the Right Answer,chapters/01-introduction.qmd,185,ALGORITHM_FORMULA,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"_Base case:_ After processing 1 element (k=1), max_score = s₁, which is trivially the maximum of {s₁}."
MATH-0004,1,Criterion 1: Correctness—Getting the Right Answer,chapters/01-introduction.qmd,189,INEQUALITY,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"- If s_{k+1} > max_score, we update max_score = s_{k+1}, so max_score is now the maximum of {s₁, s₂, ..., s_{k+1}}"
MATH-0005,1,Criterion 1: Correctness—Getting the Right Answer,chapters/01-introduction.qmd,190,INEQUALITY,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"- If s_{k+1} ≤ max_score, we keep the current max_score, which is still the maximum of {s₁, s₂, ..., s_{k+1}}"
MATH-0006,1,Criterion 2: Efficiency—Getting There Fast,chapters/01-introduction.qmd,231,APPROXIMATION_RATIO,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"- Algorithm 1: Checks up to 999,999 numbers ≈ 1 million operations"
MATH-0007,1,Criterion 2: Efficiency—Getting There Fast,chapters/01-introduction.qmd,232,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"- Algorithm 2: Checks up to √1,000,000 ≈ 1,000 numbers, and only certain candidates"
MATH-0008,1,Step 6: Analyze Complexity,chapters/01-introduction.qmd,488,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0009,1,Step 6: Analyze Complexity,chapters/01-introduction.qmd,489,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(1)
MATH-0010,1,Step 6: Analyze Complexity,chapters/01-introduction.qmd,490,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0011,1,Step 6: Analyze Complexity,chapters/01-introduction.qmd,494,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0012,1,Step 6: Analyze Complexity,chapters/01-introduction.qmd,495,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0013,1,Step 6: Analyze Complexity,chapters/01-introduction.qmd,496,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0014,1,Step 6: Analyze Complexity,chapters/01-introduction.qmd,498,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0015,1,"Approach 1: The ""Correct"" Way",chapters/01-introduction.qmd,603,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n log n)
MATH-0016,1,"Approach 1: The ""Correct"" Way",chapters/01-introduction.qmd,604,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0017,1,"Approach 2: The ""Fast"" Way (QuickSelect)",chapters/01-introduction.qmd,642,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n)
MATH-0018,1,"Approach 2: The ""Fast"" Way (QuickSelect)",chapters/01-introduction.qmd,642,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(n^2)
MATH-0019,1,"Approach 2: The ""Fast"" Way (QuickSelect)",chapters/01-introduction.qmd,643,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(1)
MATH-0020,1,"Approach 3: The ""Approximate"" Way",chapters/01-introduction.qmd,661,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(s log s)
MATH-0021,1,"Approach 3: The ""Approximate"" Way",chapters/01-introduction.qmd,662,ASYMPTOTIC_BOUND,native_math,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,O(s)
MATH-0022,1,A Framework for Making Trade-offs,chapters/01-introduction.qmd,713,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,- Medical diagnosis: Very high → Choose correctness
MATH-0023,1,A Framework for Making Trade-offs,chapters/01-introduction.qmd,714,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,- Weather app: Medium → Balance depends on context
MATH-0024,1,A Framework for Making Trade-offs,chapters/01-introduction.qmd,715,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,- Game recommendation: Low → Speed often wins
MATH-0025,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,800,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,### The Intuition Behind Big-O
MATH-0026,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,804,ALGORITHM_FORMULA,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,**Algorithm A:** Takes 100n microseconds (where n is the input size) **Algorithm B:** Takes n² microseconds
MATH-0027,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,808,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,|Input Size (n)|Algorithm A (100n μs)|Algorithm B (n² μs)|Which is Faster?|
MATH-0028,1,The Intuition Behind Big-O,chapters/01-introduction.qmd,810,OTHER,text_or_ascii,native_math,inline,NO,UNKNOWN,REVIEW,REVIEW,PASS,PASS,PASS,PASS,"|10|1,000 μs|100 μs|B is 10x faster|"
