chapter,section,source_file,line_or_heading,current_representation,figure_type,pedagogical_purpose,recommended_action,recommended_format,complexity,priority,notes
1,Project Structure: Building for Scale,chapters/01-introduction.qmd,lines 1393-1449,unlabeled fenced monospaced block,directory tree,Show project/package organization,KEEP AS TEXT,TEXT,MEDIUM,LOW,algorithms_course/
1,Submission Guidelines,chapters/01-introduction.qmd,lines 2899-2922,unlabeled fenced monospaced block,directory tree,Show project/package organization,KEEP AS TEXT,TEXT,MEDIUM,LOW,chapter1_solutions/
2,The Recursion Tree: Visualizing Divide and Conquer,chapters/02-Divide-and-Conquer.qmd,lines 195-214,unlabeled fenced monospaced block,tree structure,Explain hierarchy or balance,REPLACE WITH SVG,SVG,MEDIUM,HIGH,"                    find_max([3,7,2,9,1,5,8,4])  ← Original problem"
2,The Merge Operation: The Secret Sauce,chapters/02-Divide-and-Conquer.qmd,lines 347-376,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,Initial state:
2,The Complete Merge Sort Algorithm,chapters/02-Divide-and-Conquer.qmd,lines 451-469,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,"Initial call: merge_sort([38, 27, 43, 3])"
2,The Complete Merge Sort Algorithm,chapters/02-Divide-and-Conquer.qmd,lines 473-486,unlabeled fenced monospaced block,tree structure,Explain hierarchy or balance,REPLACE WITH SVG,SVG,MEDIUM,HIGH,"                    [38, 27, 43, 3]"
2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,lines 545-554,unlabeled fenced monospaced block,recursion tree,Explain recursive decomposition and work by level,REPLACE WITH SVG,SVG,MEDIUM,HIGH,Level 0: 1 problem of size n          → Work: cn
2,Time Complexity Analysis,chapters/02-Divide-and-Conquer.qmd,lines 558-571,unlabeled fenced monospaced block,recursion tree,Explain recursive decomposition and work by level,REPLACE WITH SVG,SVG,MEDIUM,HIGH,                            cn                    ← Level 0: n work
2,Best Case: O(n log n),chapters/02-Divide-and-Conquer.qmd,lines 1019-1030,unlabeled fenced monospaced block,recursion tree,Explain recursive decomposition and work by level,REPLACE WITH SVG,SVG,MEDIUM,HIGH,                    n                    ← cn work
2,Worst Case: O(n²),chapters/02-Divide-and-Conquer.qmd,lines 1038-1044,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,"[1, 2, 3, 4, 5]"
2,Worst Case: O(n²),chapters/02-Divide-and-Conquer.qmd,lines 1059-1075,unlabeled fenced monospaced block,recursion tree,Explain recursive decomposition and work by level,REPLACE WITH SVG,SVG,MEDIUM,HIGH,                    n                    ← cn work
3,The Binary Heap Structure,chapters/03-Data-Structures-for-Efficiency.qmd,lines 114-130,unlabeled fenced monospaced block,tree structure,Explain hierarchy or balance,REPLACE WITH SVG,SVG,MEDIUM,HIGH,Tree representation:
3,The Balance Problem,chapters/03-Data-Structures-for-Efficiency.qmd,lines 459-468,unlabeled fenced monospaced block,tree structure,Explain hierarchy or balance,REPLACE WITH SVG,SVG,MEDIUM,HIGH,        3
5,Fibonacci: A Cautionary Tale,chapters/05-Dynamic-Programming.qmd,lines 129-143,unlabeled fenced monospaced block,recursion tree,Explain recursive decomposition and work by level,REPLACE WITH SVG,SVG,MEDIUM,HIGH,                              fib(5)
5,Enter Dynamic Programming: Memoization,chapters/05-Dynamic-Programming.qmd,lines 239-252,unlabeled fenced monospaced block,recursion tree,Explain recursive decomposition and work by level,REPLACE WITH SVG,SVG,MEDIUM,HIGH,                              fib(5) ← computed
5,Step 2: Define the Recurrence Relation Precisely,chapters/05-Dynamic-Programming.qmd,lines 518-533,unlabeled fenced monospaced block,flow network,"Explain capacity, residual flow, or cut structure",REPLACE WITH SVG,SVG,MEDIUM,CRITICAL,"K(i, w) = maximum value achievable using first i items with capacity w"
5,Step 5: Extract the Solution (Which Items to Take),chapters/05-Dynamic-Programming.qmd,lines 681-700,unlabeled fenced monospaced block,flow network,"Explain capacity, residual flow, or cut structure",REPLACE WITH SVG,SVG,MEDIUM,CRITICAL,Start at dp[4][7] = 9
5,Project Structure,chapters/05-Dynamic-Programming.qmd,lines 1217-1247,unlabeled fenced monospaced block,directory tree,Show project/package organization,KEEP AS TEXT,TEXT,MEDIUM,LOW,algorithms_project/
7,"Visualizing P, NP, and Beyond",chapters/07-Computational-Complexity.qmd,lines 208-224,unlabeled fenced monospaced block,tree structure,Explain hierarchy or balance,REPLACE WITH SVG,SVG,MEDIUM,HIGH,        All Problems
7,The Complexity Hierarchy,chapters/07-Computational-Complexity.qmd,lines 744-760,unlabeled fenced monospaced block,tree structure,Explain hierarchy or balance,REPLACE WITH SVG,SVG,MEDIUM,HIGH,ELEMENTARY
9,9.2.3 A Simple Example,chapters/09-Advanced-Graph-Algorithms.qmd,lines 71-81,unlabeled fenced monospaced block,flow network,"Explain capacity, residual flow, or cut structure",REPLACE WITH SVG,SVG,MEDIUM,CRITICAL,        [capacity: 10]
9,9.2.4 The Genius Idea: The Residual Network,chapters/09-Advanced-Graph-Algorithms.qmd,lines 117-123,unlabeled fenced monospaced block,flow network,"Explain capacity, residual flow, or cut structure",REPLACE WITH SVG,SVG,MEDIUM,CRITICAL,"Original: You're pushing 7 units through edge (u,v) with capacity 10"
9,9.3.1 What's a Cut?,chapters/09-Advanced-Graph-Algorithms.qmd,lines 135-146,unlabeled fenced monospaced block,flow network,"Explain capacity, residual flow, or cut structure",REPLACE WITH SVG,SVG,MEDIUM,CRITICAL,    s ---[10]---> a ---[10]---> t
9,9.4.2 Let's Trace Through an Example Step by Step,chapters/09-Advanced-Graph-Algorithms.qmd,lines 206-216,unlabeled fenced monospaced block,flow network,"Explain capacity, residual flow, or cut structure",REPLACE WITH SVG,SVG,MEDIUM,CRITICAL,Initial network (numbers show capacities):
9,9.6.2 The Flow Network Trick,chapters/09-Advanced-Graph-Algorithms.qmd,lines 736-745,unlabeled fenced monospaced block,flow network,"Explain capacity, residual flow, or cut structure",REPLACE WITH SVG,SVG,MEDIUM,CRITICAL,        Left side        Right side
9,9.6.4 Hall's Marriage Theorem,chapters/09-Advanced-Graph-Algorithms.qmd,lines 878-882,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,L1 --→ R1
9,9.9.2 Architecture,chapters/09-Advanced-Graph-Algorithms.qmd,lines 1188-1206,unlabeled fenced monospaced block,directory tree,Show project/package organization,KEEP AS TEXT,TEXT,MEDIUM,LOW,FlowNetworkSolver/
10,10.3.3 Computing the Failure Function,chapters/10-String-Processing-Algorithms.qmd,lines 210-233,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,"Initial: failure = [0, 0, 0, 0, 0, 0], length = 0, i = 1"
10,10.5.2 The Suffix Array,chapters/10-String-Processing-Algorithms.qmd,lines 857-870,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,"String: ""banana$""  ($ = end marker, lexicographically smallest)"
10,10.8.1 Project Structure,chapters/10-String-Processing-Algorithms.qmd,lines 1357-1395,unlabeled fenced monospaced block,directory tree,Show project/package organization,KEEP AS TEXT,TEXT,MEDIUM,LOW,StringAlgorithms/
11,11.4.1 The Problem,chapters/11-Numerical-Algorithms.qmd,lines 576-583,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,"A(x) = 1 + 2x + 3x²  →  [1, 2, 3]"
11,11.8.1 Project Structure,chapters/11-Numerical-Algorithms.qmd,lines 1842-1868,unlabeled fenced monospaced block,directory tree,Show project/package organization,KEEP AS TEXT,TEXT,MEDIUM,LOW,FFTAnalyzer/
12,12.2.2 The Segment Tree Idea,chapters/12-Advanced-Data-Structures.qmd,lines 63-75,unlabeled fenced monospaced block,tree structure,Explain range decomposition,REPLACE WITH SVG,SVG,MEDIUM,HIGH,"Array: [1, 3, 5, 7, 9, 11]"
12,12.7.1 Project Structure,chapters/12-Advanced-Data-Structures.qmd,lines 2114-2139,unlabeled fenced monospaced block,directory tree,Show project/package organization,KEEP AS TEXT,TEXT,MEDIUM,LOW,AdvancedDataStructures/
13,**Modern Optimizers**,chapters/13-Research-Industry-Applications.qmd,lines 515-518,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,v ← βv + ∇L    (velocity accumulates gradients)
13,**Modern Optimizers**,chapters/13-Research-Industry-Applications.qmd,lines 522-527,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,m ← β₁m + (1-β₁)∇L           (first moment: mean)
13,**The Full Transformer Architecture**,chapters/13-Research-Industry-Applications.qmd,lines 612-619,unlabeled fenced monospaced block,recursion tree,Explain recursive decomposition and work by level,REPLACE WITH SVG,SVG,MEDIUM,HIGH,Input → Embedding + Positional Encoding
13,**The MapReduce Paradigm**,chapters/13-Research-Industry-Applications.qmd,lines 846-863,unlabeled fenced monospaced block,pseudo-visual block,Support spatial explanation,REVIEW MANUALLY,TEXT,MEDIUM,MEDIUM,Input: Millions of documents
