chapter,section,source_line,referenced_path,source,caption,exists,status
01-foundations.qmd,Key Distinctions: The Analyst vs. The Creator,87,../assets/images/chapters/ch01_img7.svg,original/images/chapters/ch01_img7.svg,Discriminative AI vs Generative AI - Fundamental Approaches to Artificial Intelligence,True,RESOLVED_BY_BUILD_ALIAS
01-foundations.qmd,The Transformer Revolution (2017–Present),145,../assets/images/chapters/ch01_img1.svg,original/images/chapters/ch01_img1.svg,The Evolution of Text Generation,True,RESOLVED_BY_BUILD_ALIAS
01-foundations.qmd,Core Architecture Components,193,../assets/images/chapters/ch01_img10.svg,original/images/chapters/ch01_img10.svg,Transformer Architecture - Core Components and Information Flow,True,RESOLVED_BY_BUILD_ALIAS
01-foundations.qmd,Context Windows: The Model's Working Memory,221,../assets/images/chapters/ch01_img8.png,original/images/chapters/ch01_img8.png,Summary of Foundational Concepts,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,Enter the Attention Mechanism,134,../assets/images/chapters/figure_2_1_attention_mechanism.svg,original/images/chapters/figure_2_1_attention_mechanism.svg,Attention Mechanism Visualization - How transformers weigh word relationships\_,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,Multi-Head Attention: Multiple Specialists Working Together,158,../assets/images/chapters/figure_2_2_multi_head_attention.svg,original/images/chapters/figure_2_2_multi_head_attention.svg,Multi-Head Attention - Different heads focusing on different relationship types\_,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,3. The Processing Stack: Building Understanding Layer by Layer,193,../assets/images/chapters/figure_2_3_layer_stack.svg,original/images/chapters/figure_2_3_layer_stack.svg,Transformer Layer Stack - Progressive sophistication through depth,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,The Deceptively Simple Objective,295,../assets/images/chapters/figure_2_4_pretraining.svg,original/images/chapters/figure_2_4_pretraining.svg,,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,RLHF: Aligning with Human Values,358,../assets/images/chapters/figure_2_5_rlhf.svg,original/images/chapters/figure_2_5_rlhf.svg,,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,Autoregressive Generation: One Word at a Time,394,../assets/images/chapters/figure_2_6_autoregressive.svg,original/images/chapters/figure_2_6_autoregressive.svg,,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,Small Models (1B-7B parameters): The Swift Specialists,488,../assets/images/chapters/figure_2_7_model_comparison.svg,original/images/chapters/figure_2_7_model_comparison.svg,,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,Large Models (70B+ parameters): The Heavy Hitters,538,../assets/images/chapters/figure_2_8_decision_matrix.svg,original/images/chapters/figure_2_8_decision_matrix.svg,,True,RESOLVED_BY_BUILD_ALIAS
02-llms.qmd,Gemini: The Multimodal Future,770,../assets/images/chapters/figure_2_9_model_families.svg,original/images/chapters/figure_2_9_model_families.svg,,True,RESOLVED_BY_BUILD_ALIAS
03-prompt-engineering.qmd,3.1 The Anatomy of Effective Prompts,62,assets/images/chapters/marcus.png,original/images/chapters/marcus.png,,True,RESOLVED_BY_BUILD_ALIAS
03-prompt-engineering.qmd,5. **Constraints and Guidelines: What Are the Boundaries?**,193,/assets/images/chapters/figure_3_1_prompt_anatomy.svg,original/images/chapters/figure_3_1_prompt_anatomy.svg,Prompt Anatomy Diagram,True,RESOLVED_BY_BUILD_ALIAS
03-prompt-engineering.qmd,Few-Shot: Establishing the Pattern,321,../assets/images/chapters/figure_3_2_few_shot_impact.svg,original/images/chapters/figure_3_2_few_shot_impact.svg,Zero-Shot vs Few-Shot Performance Comparison,True,RESOLVED_BY_BUILD_ALIAS
03-prompt-engineering.qmd,Recursive CoT: Breaking Down Complexity,621,../assets/images/chapters/figure_3_3_cot_process.svg,original/images/chapters/figure_3_3_cot_process.svg,Chain-of-Thought Reasoning Process,True,RESOLVED_BY_BUILD_ALIAS
03-prompt-engineering.qmd,Template Category 4: Comparison,892,../assets/images/chapters/figure_3_4_template_selection.svg,original/images/chapters/figure_3_4_template_selection.svg,Prompt Template Decision Tree,True,RESOLVED_BY_BUILD_ALIAS
03-prompt-engineering.qmd,4. Prompt Leaking,1154,../assets/images/chapters/figure_3_5_injection_attacks.svg,original/images/chapters/figure_3_5_injection_attacks.svg,Prompt Injection Attack Visualization,True,RESOLVED_BY_BUILD_ALIAS
03-prompt-engineering.qmd,Step 6: Decision and Rollout,1753,../assets/images/chapters/figure_3_6_ab_testing.svg,original/images/chapters/figure_3_6_ab_testing.svg,A/B Testing Process Flow,True,RESOLVED_BY_BUILD_ALIAS
