chapter,section,source_line,severity,original_claim_or_example,issue,evidence,correction,status
1,Key Distinctions: The Analyst vs. The Creator,87,MEDIUM,"**Discriminative AI** is the traditional approach most people picture when they hear ""artificial intelligence."" These systems classify and predict: a spam filter examines an email and decides ""spam"" or ""not spam""; a sentiment analyzer reads a review and returns ""positive,"" ""negative,"" or ""neutral""; a diagnostic system matches symptoms to a known list of conditions. The defining trait of discriminative AI is that it works entirely within the boundaries of its training categories. It can sort something novel into an existing bucket, but it cannot invent a new bucket or explain its reasoning in fresh language.",Overstated generative/discriminative boundary,,"**Discriminative models** learn a conditional prediction or decision rule, such as a class given an input. Generative models learn distributions used to produce samples, possibly conditioned on a prompt. A generative language model can also classify text, and a larger system can combine both approaches; the distinction is not an absolute division between systems that can and cannot explain a result. [@gpt3]",RESOLVED
1,Why It's Revolutionary,98,MEDIUM,it isn't copying any single training image,Unsupported originality guarantee,,"it may combine learned visual patterns, although novelty and non-memorization are not guaranteed",RESOLVED
1,Key Distinctions: The Analyst vs. The Creator,96,MEDIUM,### Why It's Revolutionary,Missing memorization caveat,,"### Why It's Revolutionary

Generation does not guarantee originality. Training examples can be memorized and sometimes reproduced; the existence of generation also does not rule out retrieval in the surrounding application. [@extraction]",RESOLVED
1,Key Terminologies and Concepts,59,MEDIUM,"""Hello"" = 1 token, ""unhappiness"" = 2 tokens",Tokenizer-specific counts asserted universally,,"Token counts depend on the tokenizer, capitalization, and surrounding text",RESOLVED
1,Tokenization: Breaking Language into Building Blocks,161,MEDIUM,"**Subword tokenization (Byte-Pair Encoding, or BPE)**",BPE is one subword algorithm,,"**Subword tokenization, including Byte-Pair Encoding (BPE),**",RESOLVED
1,Understanding Tokens and Embeddings {#sec-1-3},155,MEDIUM,### Tokenization: Breaking Language into Building Blocks,Token examples and OOV claims too absolute,,"### Tokenization: Breaking Language into Building Blocks

The splits below are illustrative, not output from a named tokenizer. Subwords need not align with morphemes; byte-level encodings can represent unseen strings, while character vocabularies still need a policy for unseen characters.",RESOLVED
1,Tokenization: Breaking Language into Building Blocks,165,MEDIUM,eliminates vocabulary problems entirely,Character vocabularies not universal,,reduces word-level vocabulary problems,RESOLVED
1,The Attention Revolution: Focus on What Matters,181,HIGH,"Consider: ""The animal didn't cross the street because *it* was tired."" When processing ""it,"" attention looks at every other word and assigns relevance: ""animal"" scores high, ""street"" scores low, ""tired"" scores moderate. The model builds its understanding of ""it"" as a weighted blend of these relationships, which is why modern models correctly resolve ""it"" to ""the animal,"" not ""the street"", a distinction that reliably tripped up earlier systems.",Future token leakage and guaranteed understanding,,"Consider: ""The animal didn't cross the street because *it* was tired."" Attention can combine information from relevant token positions, but pronoun resolution is not guaranteed. An encoder can use later words such as ""tired"" when representing ""it""; a causally masked decoder at that position cannot. Attention weights alone are not a faithful explanation of an answer. [@transformer]",RESOLVED
1,The Attention Revolution: Focus on What Matters,183,MEDIUM,(typically 8–16),Unrepresentative universal head count,,(with counts depending on the architecture),RESOLVED
1,Core Architecture Components,191,HIGH,"Finally, Transformers stack many layers, dozens in modern models, with each layer building more abstract understanding: early layers handle grammar and syntax, middle layers capture relationships and local context, and deeper layers support inference and generation that draws on broader world knowledge.",Unsupported layer-function map,,"Transformers stack attention and feed-forward layers with residual connections and normalization. Different layers can learn different representations, but there is no universal mapping from layer number to grammar, reasoning, or knowledge. Training can process sequence positions in parallel subject to an attention mask; ordinary autoregressive generation still advances token by token. [@transformer]",RESOLVED
1,Training: Learning from an Enormous Corpus,205,MEDIUM,LLMs train on a deceptively simple objective: **predict the next word.**,All LLMs and words conflated,,Many autoregressive LLMs pre-train with the objective **predict the next token**; masked-language and other objectives also exist.,RESOLVED
1,Inference: Generating One Token at a Time,213,HIGH,"**Temperature** controls how that selection happens. At temperature 0, the model always picks the single most probable token, producing deterministic, sometimes repetitive output. At a moderate setting like 0.7, output balances coherence with variety, a common default. Push temperature past 1.0 and output grows more surprising, and more prone to incoherence. Given the prompt ""The best way to learn programming is..."", temperature 0 might complete it with ""...to practice regularly and work on projects,"" while a higher temperature could produce something far more exploratory in phrasing, without necessarily improving the underlying advice.",Determinism and factuality overclaim,,"**Temperature** rescales sampling logits. Lower settings concentrate probability on higher-scoring tokens; greedy decoding is a common interpretation of zero. This is not a factuality control or a guarantee of identical outputs across serving environments. Higher temperature increases sampling diversity, not necessarily creativity or quality. The examples here illustrate possible styles, not measured model outputs; supported settings depend on the model and API.",RESOLVED
1,Key Terminologies and Concepts,67,MEDIUM,"(0 = deterministic, 1+ = more creative/random)",Table repeats determinism claim,,(lower settings concentrate sampling probability; supported values vary),RESOLVED
1,The Cutoff Problem,237,MEDIUM,"Every pre-trained model has a **training cutoff**, the point after which it has no knowledge of the world unless that information is supplied to it at inference time (a topic we'll cover in depth in Chapter 6, on retrieval). Ask a model about an event from after its cutoff, and it faces a choice it cannot actually make consciously: admit it doesn't know, or generate something plausible-sounding anyway. Well-aligned models are trained to prefer the former, but the tendency toward the latter is real and persistent enough to have its own name.",Absolute knowledge boundary,,"A reported **training cutoff** summarizes data coverage; it is not a clean boundary guaranteeing complete knowledge before a date or zero knowledge afterward. Later post-training, retrieval, and tools can add information. Check the model version and available sources, and verify answers on both sides of any stated cutoff. [@gpt4; @rag]",RESOLVED
1,Chapter Summary,325,MEDIUM,including a hard cutoff date,Summary repeats cutoff overclaim,,including uneven temporal coverage,RESOLVED
1,Ethical Foundations {#sec-1-8},276,MEDIUM,the overwhelming majority of whom never consented to that use and are not compensated for it,Unsupported population quantifier,,"under differing licenses, agreements, and exceptions, with substantial disputes about authorization and compensation",RESOLVED
1,The Early Dreamers (1950s–1960s),125,MEDIUM,**ELIZA (1966)** was the first program to convince people they were talking to something intelligent,Unsupported historical first,,**ELIZA (1966)** was an influential early conversational program,RESOLVED
