proof_id,chapter,section,description,phase3_label,review_status,notes
PROOF-001,1,Criterion 1: Correctness—Getting the Right Answer,Proof of Correctness for FindMaximumScore:,CORRECTNESS ARGUMENT,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-002,1,Example 4: Divide and Conquer,- By the Master Theorem (which we'll study in detail later): T(n) = O(n log n),EXPLANATORY CLAIM,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-003,1,Looking Ahead: Week 2 Preview,- Master Theorem for analyzing recurrence relations,EXPLANATORY CLAIM,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-004,1,Theoretical Problems,Problem 1.2: Asymptotic Proof Practice (20 points),PROOF OR PROOF SKETCH,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-005,1,Theoretical Problems (40% of total),"- Correctness (60%): Mathematical rigor, proper notation, valid proofs",CORRECTNESS ARGUMENT,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-006,2,What You'll Learn {.unnumbered},5. Master Theorem: A powerful formula for solving common recurrences quickly,EXPLANATORY CLAIM,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-007,2,Correctness Proof for Merge Sort,Correctness Proof for Merge Sort,CORRECTNESS ARGUMENT,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-008,2,Correctness Proof for Merge Sort,Theorem: Merge sort correctly sorts any array of comparable elements.,CORRECTNESS ARGUMENT,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-009,2,Correctness Proof for Merge Sort,Proof by induction on array size n:,CORRECTNESS ARGUMENT,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-010,2,Correctness Proof for Merge Sort,Proof that merge is correct:,CORRECTNESS ARGUMENT,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-011,2,Time Complexity Analysis,Formal proof using substitution method:,PROOF OR PROOF SKETCH,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-012,2,Recurrence Relations and The Master Theorem,Recurrence Relations and The Master Theorem,EXPLANATORY CLAIM,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-013,2,Why We Need Better Analysis Tools,Enter the Master Theorem—one of the most powerful tools in algorithm analysis.,EXPLANATORY CLAIM,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-014,2,Solving Recurrences: Multiple Methods,"Before we get to the Master Theorem, let's see other solution techniques:",EXPLANATORY CLAIM,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-015,2,Method 2: Substitution (Guess and Verify),Proof by induction:,PROOF OR PROOF SKETCH,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
PROOF-016,2,Method 3: Master Theorem (The Power Tool!),Method 3: Master Theorem (The Power Tool!),EXPLANATORY CLAIM,CLASSIFIED,Terminology follows the strength and role of the surrounding exposition; formal expert validation remains a later publication-lock task.
