pdf_page,book_page_label,chapter,category,severity,finding,recommendation,source_file,source_anchor,resolution,resolution_status,new_pdf_page,verification_notes
1,i,,Metadata,HIGH,Neutral title page still shows 2025.,Update complete-edition print identity to 2026 only after content/layout reconstruction is stable.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
2,ii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
3,iii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
4,iv,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
5,v,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
6,vi,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
7,vii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
8,viii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
9,ix,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
10,x,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.,_quarto-print-reconstruction.yml / index.qmd,front-matter,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,1-16,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
