block_id,chapter,section,source_file,source_line,classification,status,notes
ascii-001,2,Traceability in Agile Projects,chapters/02-requirements-engineering.qmd,1021,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-002,3,Use Case Diagram Elements,chapters/03-systems-modeling.qmd,170,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-003,3,Use Case Diagram Elements,chapters/03-systems-modeling.qmd,178,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-004,3,Use Case Diagram Elements,chapters/03-systems-modeling.qmd,195,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-005,3,Use Case Relationships,chapters/03-systems-modeling.qmd,210,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-006,3,Use Case Relationships,chapters/03-systems-modeling.qmd,226,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-007,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,372,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-008,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,380,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-009,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,392,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-010,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,402,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-011,3,Activity Diagram Elements,chapters/03-systems-modeling.qmd,411,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-012,3,Control Flow vs. Object Flow,chapters/03-systems-modeling.qmd,424,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-013,3,Control Flow vs. Object Flow,chapters/03-systems-modeling.qmd,432,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-014,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,502,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-015,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,516,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-016,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,522,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-017,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,534,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-018,3,Sequence Diagram Elements,chapters/03-systems-modeling.qmd,544,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-019,3,Combined Fragments,chapters/03-systems-modeling.qmd,565,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-020,3,Combined Fragments,chapters/03-systems-modeling.qmd,578,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-021,3,Combined Fragments,chapters/03-systems-modeling.qmd,589,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-022,3,Combined Fragments,chapters/03-systems-modeling.qmd,600,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-023,3,Object Creation and Destruction,chapters/03-systems-modeling.qmd,621,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-024,3,Object Creation and Destruction,chapters/03-systems-modeling.qmd,635,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-025,3,Class Notation,chapters/03-systems-modeling.qmd,686,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-026,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,742,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-027,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,750,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-028,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,760,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-029,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,770,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-030,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,780,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-031,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,790,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-032,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,807,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-033,3,Relationships Between Classes,chapters/03-systems-modeling.qmd,830,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-034,3,Association Classes,chapters/03-systems-modeling.qmd,842,CONVERT_TO_SVG,REVIEWED,Existing companion SVG retained.
ascii-035,4,Layered Architecture,chapters/04-software-architecture.qmd,133,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-036,5,The Relationship Between UX and UI,chapters/05-ui-ux.qmd,89,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-037,5,Principles of Human-Centered Design,chapters/05-ui-ux.qmd,166,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-038,5,Understanding Users,chapters/05-ui-ux.qmd,230,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-039,5,Understanding Users,chapters/05-ui-ux.qmd,268,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-040,5,Nielsen's 10 Usability Heuristics,chapters/05-ui-ux.qmd,346,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-041,5,Nielsen's 10 Usability Heuristics,chapters/05-ui-ux.qmd,433,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-042,5,Nielsen's 10 Usability Heuristics,chapters/05-ui-ux.qmd,492,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-043,5,Nielsen's 10 Usability Heuristics,chapters/05-ui-ux.qmd,537,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-044,5,Nielsen's 10 Usability Heuristics,chapters/05-ui-ux.qmd,576,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-045,5,The Prototyping Spectrum,chapters/05-ui-ux.qmd,635,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-046,5,Sketching,chapters/05-ui-ux.qmd,679,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-047,5,Wireframes,chapters/05-ui-ux.qmd,737,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-048,5,Wireframes,chapters/05-ui-ux.qmd,777,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
ascii-049,5,Visual Hierarchy,chapters/05-ui-ux.qmd,889,KEEP_AS_TEXT,REVIEWED,Print-safe text labels replace unsupported status glyphs.
