block_id,chapter,section,source_file,source_line,language_or_class,first_meaningful_line,last_meaningful_line,line_count,sha256,semantic_candidate
block-0001,1,Understanding Git,chapters/01-introduction.qmd,347,(untyped),commit 7f4e8d2 (HEAD -> main),- Create session management,9,c8214e62bf6bdd842371d2e3edce4d11ec29322f3323945b2755197d542d62ae,PLAIN_VERBATIM
block-0002,1,Essential Git Commands,chapters/01-introduction.qmd,373,bash,# Configure your identity (do this once),"git config --global user.email ""your.email@example.com""",3,2ee557258ad5119f138069ca9a4081254480effa280de0d825798aad5586dea0,TERMINAL_SESSION
block-0003,1,Essential Git Commands,chapters/01-introduction.qmd,381,bash,# Initialize a new repository,git clone https://github.com/username/repository.git,5,48a6c10ab13e6147d90c0a6c6c47f5712e75906318f01a0d90dc914a6fb8ec2f,TERMINAL_SESSION
block-0004,1,Essential Git Commands,chapters/01-introduction.qmd,391,bash,# Check status of your working directory,git log --oneline          # Compact view,13,dd81ba93988daefceaf2571181bdd984cbee2f97292983503fa75b3e4f377dd4,TERMINAL_SESSION
block-0005,1,Essential Git Commands,chapters/01-introduction.qmd,409,bash,# Add a remote (usually done once),git fetch origin,11,5affde525b91102cc0eb3b8ceac386b5248010b75de2f116e1e48361130d1e28,TERMINAL_SESSION
block-0006,1,Essential Git Commands,chapters/01-introduction.qmd,425,bash,# Create a new branch,git branch -d feature-name,17,f352ba14bc89bd4cb2f9a40c6f15ddb9599b003c503911fe7e1b20f1c4e5c135,TERMINAL_SESSION
block-0007,1,GitHub and Remote Collaboration,chapters/01-introduction.qmd,463,bash,git checkout -b feature/user-authentication,git checkout -b feature/user-authentication,1,c6e0812ecc774cc23e4b5491aa3dbd09eba3904fa649ac6832aeb4cbc6b6cb16,TERMINAL_COMMAND
block-0008,1,GitHub and Remote Collaboration,chapters/01-introduction.qmd,469,bash,git add .,"git commit -m ""Add input validation""",4,784df7c784d604190f8a503351831e7689b5b305c2d2e1673d53da0d943ac5a6,TERMINAL_COMMAND
block-0009,1,GitHub and Remote Collaboration,chapters/01-introduction.qmd,478,bash,git push origin feature/user-authentication,git push origin feature/user-authentication,1,856a7a46bc6abdbc0c12ba630da6209451cd61b79eac9a68a0e9589e81ce8c18,TERMINAL_COMMAND
block-0010,1,Writing Good Commit Messages,chapters/01-introduction.qmd,498,(untyped),Short summary (50 chars or less),Fixes #123,9,f7706afbe35ce3ab5c2fffa8ef22c28801101b866e08a7a2248d5914c5f60396,PLAIN_VERBATIM
