id,chapter,section,source_line,classification,execution_status,verification_date,requires_API,security_review,notes
tech-01-001,1,Hands-On Exploration: Your First Comparative Study {#sec-1-9},302,PSEUDOCODE,NOT_EXECUTED,2026-09-18,indirect helper only,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-02-001,2,The Deceptively Simple Objective,278,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-02-002,2,Supervised Fine-Tuning: Learning to Be Helpful,321,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-02-003,2,RLHF: Aligning with Human Values,345,STRUCTURED_DATA,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-02-004,2,Autoregressive Generation: One Word at a Time,381,MODEL_RESPONSE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative response, not a recorded model execution or verified factual answer."
tech-02-005,2,The Temperature Dial: Balancing Creativity and Consistency,406,MODEL_RESPONSE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative response, not a recorded model execution or verified factual answer."
tech-02-006,2,The Temperature Dial: Balancing Creativity and Consistency,413,MODEL_RESPONSE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative response, not a recorded model execution or verified factual answer."
tech-02-007,2,The Temperature Dial: Balancing Creativity and Consistency,420,MODEL_RESPONSE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Illustrative response, not a recorded model execution or verified factual answer."
tech-02-008,2,"A Decision Framework, Not a Build",762,PSEUDOCODE,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,"Incomplete or explicitly conceptual sketch; reviewed statically, not reported as tested Python."
tech-03-001,3,The Vague Prompt (What Most People Start With),101,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
tech-03-002,3,The Structured Prompt (Engineered for Results),109,PROMPT,NOT_EXECUTED,2026-09-18,no,No credential or destructive command found; conceptual guards are not security guarantees.,Reviewed as literal teaching material; not executable code.
