source_line,jurisdiction,verification_date,statement,source,status,notes
9,EU / US (distinguished in statement),2026-09-18,"This chapter covers AI-specific regulation, existing copyright and liability law, and organizational governance. Some rules are enacted and operative; others have future effective dates, and some applications remain contested. Calling the entire field unsettled would obscure duties that already apply. Use the dated EU and US examples below to learn how to check scope, status, and authority. [@aiact; @gdpr; @ftc]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng ; https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://www.ftc.gov/industry/technology/artificial-intelligence,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
25,EU,2026-09-18,"| **EU AI Act** | The European Union's comprehensive AI regulation, classifying systems by risk level | EU, 2026-09-18: obligations depend on intended purpose, actor, and staged application dates [@aiact; @aitimeline] |",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng ; https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
26,EU,2026-09-18,"| **GDPR** | The EU's data protection regulation, with specific provisions affecting automated decision-making | EU, as of 2026-09-18: Articles 13–15 and 22 govern information and safeguards for qualifying automated decisions [@gdpr; @cjeu] |",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://curia.europa.eu/site/upload/docs/application/pdf/2025-02/cp250022en.pdf,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
27,EU,2026-09-18,"| **Risk-Based Classification** | Regulating AI systems differently based on their potential for harm, rather than uniformly | EU, 2026-09-18: employment uses may fall under Annex III, subject to scope, exceptions, and application dates [@aiact; @aitimeline] |",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng ; https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
28,US,2026-09-18,"| **Algorithmic Accountability** | Legal and regulatory requirements that organizations be answerable for their AI systems' effects | NYC, 2026-09-18: covered employment tools face bias-audit and notice requirements [@nycaedt] |",https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
29,EU / US (distinguished in statement),2026-09-18,"| **Copyright and Training Data** | Rights and exceptions governing training-data use; outcomes depend on jurisdiction and facts | US, 2026-09-18: the 2025 Bartz holding is case-specific; EU text-and-data-mining exceptions differ [@bartz; @eucopyright] |",https://www.copyright.gov/fair-use/summaries/Bartz-v-Anthropic-PBC-787-F-Supp-3d-1007-ND-Cal-2025.pdf ; https://eur-lex.europa.eu/eli/dir/2019/790/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
31,EU,2026-09-18,| **Data Residency** | Legal requirements that certain data be stored or processed within specific geographic boundaries | Jurisdiction-specific localization rules differ from EU cross-border transfer conditions [@gdpr] |,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
32,EU,2026-09-18,"| **Conformity Assessment** | A formal process verifying that a system meets required regulatory standards before deployment | EU, 2026-09-18: Article 43 governs applicable high-risk assessments, subject to application dates [@aiact; @aitimeline] |",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng ; https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
41,EU,2026-09-18,"**European Union, as of 2026-09-18 — enacted rules with staged application.** Regulation (EU) 2024/1689 defines prohibited practices, high-risk categories, transparency duties, and obligations for general-purpose AI models. Classification depends on intended purpose, role, exceptions, and relevant Annexes, not simply a broad sector label. The Commission's updated timeline reports Article 50 transparency rules applying from 2 August 2026, with transitions for some existing systems. It reports Annex III high-risk rules applying from 2 December 2027 and Annex I regulated-product high-risk rules from 2 August 2028 following the July 2026 amendment. Do not treat a future high-risk deadline as exemption from already applicable privacy or sector law. [@aiact; @aiomnibus; @aitimeline]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng ; https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ:L_202601744 ; https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
43,EU,2026-09-18,"**European Union, as of 2026-09-18 — in force.** GDPR applies to personal-data processing within its scope, including relevant AI use. Article 22 addresses solely automated decisions with legal or similarly significant effects, subject to exceptions and safeguards; Articles 13–15 require relevant information about the logic, significance, and envisaged consequences. The CJEU's 27 February 2025 Dun & Bradstreet Austria ruling addresses an intelligible explanation in this context, not unrestricted disclosure of any model's internals. Article 35 requires a DPIA for qualifying high-risk processing; erasure under Article 17 has exceptions. [@gdpr; @cjeu]",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng ; https://curia.europa.eu/site/upload/docs/application/pdf/2025-02/cp250022en.pdf,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
45,US,2026-09-18,"**United States, as of 2026-09-18 — overlapping federal, state, and local regimes.** Existing consumer-protection and sector laws apply to covered AI conduct; the FTC's enforcement materials demonstrate that AI claims are not exempt from those laws. This is not a complete federal inventory. In **New York City**, the regulator describes bias-audit, public-summary, and notice requirements for covered automated employment decision tools, with enforcement beginning 5 July 2023. In **Colorado**, the Attorney General reports that SB26-189 replaced the earlier 2024 framework, with new ADMT provisions effective 1 January 2027; implementing rules are proposed, not final, at this review date. These examples cannot be generalized to every employer, state, or AI system. [@ftc; @nycaedt; @colorado]",https://www.ftc.gov/industry/technology/artificial-intelligence ; https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page ; https://coag.gov/ai/,REVIEWED,Read the explicit scope and application dates in context; research/governance recommendations are distinguished from mandatory duties.
