candidate_id,chapter,original_line,section,original_claim,phase3_action,source_key,resolution_status
FRESH-001,13,3,Research and Industry Applications - Where Algorithms Meet Reality,**From Theory to Trillion-Dollar Industries**,GENERALIZED,,RESOLVED
FRESH-002,13,5,Research and Industry Applications - Where Algorithms Meet Reality,"*""The best way to predict the future is to invent it.""* - Alan Kay",GENERALIZED,,RESOLVED
FRESH-003,13,11,Introduction: Algorithms in the Wild,Here's something that might surprise you: **every major technological breakthrough of the last 50 years has algorithms at its core.**,REMOVED RELATIVE DATE,,RESOLVED
FRESH-004,13,14,Introduction: Algorithms in the Wild,"- **Google Search** (1998): PageRank algorithm turned web search from terrible to magical, creating a $2 trillion company",GENERALIZED,,RESOLVED
FRESH-005,13,15,Introduction: Algorithms in the Wild,- **Netflix recommendations** (2006): Matrix factorization algorithms keep 230 million subscribers binge-watching,GENERALIZED,,RESOLVED
FRESH-006,13,16,Introduction: Algorithms in the Wild,"- **Bitcoin** (2009): Cryptographic hash algorithms enabled decentralized currency, spawning a trillion-dollar market",GENERALIZED,,RESOLVED
FRESH-007,13,17,Introduction: Algorithms in the Wild,"- **AlphaGo** (2016): Monte Carlo tree search + deep learning beat the world Go champion, a feat experts thought was decades away",SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-008,13,18,Introduction: Algorithms in the Wild,"- **COVID-19 vaccines** (2020): Sequence alignment algorithms helped develop vaccines in record time, saving millions of lives",GENERALIZED,,RESOLVED
FRESH-009,13,19,Introduction: Algorithms in the Wild,- **ChatGPT** (2022): Transformer algorithms changed how we interact with computers,GENERALIZED,,RESOLVED
FRESH-010,13,20,Introduction: Algorithms in the Wild,- **AlphaFold** (2020): Deep learning algorithms solved the 50-year-old protein folding problem,SOURCED OR GENERALIZED,primary source in references.bib,RESOLVED
FRESH-011,13,25,Introduction: Algorithms in the Wild,1. What problems algorithm researchers are tackling right now,GENERALIZED,,RESOLVED
FRESH-012,13,34,Current Research Trends in Algorithms,## Current Research Trends in Algorithms,GENERALIZED,,RESOLVED
FRESH-013,13,40,Beyond Worst-Case Analysis: Algorithms for the Real World,"But around 2000, researchers started asking: **""What if we analyzed algorithms the way they actually perform?""**",GENERALIZED,,RESOLVED
FRESH-014,13,46,**Smoothed Analysis**,"Proposed by Spielman and Teng (2001), smoothed analysis asks: *What's the average performance when inputs are slightly perturbed by random noise?*",GENERALIZED,,RESOLVED
FRESH-015,13,52,**Smoothed Analysis**,"The simplex algorithm (1947) for linear programming has exponential worst-case complexity, but works incredibly well in practice. For 50 years, this was a mystery.",GENERALIZED,,RESOLVED
FRESH-016,13,125,**Instance-Optimal Algorithms**,**Example**: Fagin et al.'s instance-optimal join algorithms (2003) for database queries. These algorithms detect what kind of join you're doing (easy or hard) and adapt automatically.,GENERALIZED,,RESOLVED
FRESH-017,13,131,**Fine-Grained Complexity**,"Around 2015, researchers realized: many problems seem to require specific running times (like O(n²) for edit distance), and we can't do better even though we can't prove it.",GENERALIZED,,RESOLVED
FRESH-018,13,142,**Fine-Grained Complexity**,"**Current research**: Mapping the landscape of which problems are ""equivalent"" in difficulty. If you solve one problem faster, you can solve hundreds of others faster.",GENERALIZED,,RESOLVED
FRESH-019,13,148,Quantum Algorithms: The Revolution That's Actually Happening,**Current state (2024)**:,GENERALIZED,,RESOLVED
FRESH-020,13,149,Quantum Algorithms: The Revolution That's Actually Happening,- Google's Willow chip (2024): 105 qubits with error correction,GENERALIZED,,RESOLVED
FRESH-021,13,151,Quantum Algorithms: The Revolution That's Actually Happening,- Amazon Braket: Quantum computing as a service,GENERALIZED,,RESOLVED
FRESH-022,13,158,**Shor's Algorithm: Breaking the Internet**,"In 1994, Peter Shor proved that quantum computers can factor integers in polynomial time: O((log N)³).",GENERALIZED,,RESOLVED
FRESH-023,13,168,**Shor's Algorithm: Breaking the Internet**,- 2024: Current quantum computers can factor ~10-digit numbers,GENERALIZED,,RESOLVED
FRESH-024,13,169,**Shor's Algorithm: Breaking the Internet**,- ~2030-2035: Cryptographically relevant quantum computers predicted,GENERALIZED,,RESOLVED
FRESH-025,13,170,**Shor's Algorithm: Breaking the Internet**,"- **Right now**: Organizations are transitioning to ""post-quantum cryptography""",GENERALIZED,,RESOLVED
FRESH-026,13,172,**Shor's Algorithm: Breaking the Internet**,"**Real-world response**: NIST standardized post-quantum cryptographic algorithms in 2024. Banks, governments, and tech companies are already upgrading their systems.",UPDATED AND SOURCED,nist2024pqc,RESOLVED
FRESH-027,13,176,**Grover's Algorithm: Quantum Search**,Grover's algorithm (1996) searches an unsorted database in O(√N) instead of O(N).,GENERALIZED,,RESOLVED
