block_id,chapter,section,semantic_type,source_file,source_lines,expected_to_render,pdf_start_page,pdf_end_page,first_meaningful_line_found,last_meaningful_line_found,visible_content_found,verification_method,status
ch01-b001,1,Beyond the Textbook Definition,algorithm,chapters/01-introduction.qmd,47-57,YES,19,19,YES,YES,YES,first and last source signatures,PASS
ch01-b002,1,Algorithms vs. Programs: A Crucial Distinction,algorithm,chapters/01-introduction.qmd,78-82,YES,20,20,YES,YES,YES,first and last source signatures,PASS
ch01-b003,1,Algorithms vs. Programs: A Crucial Distinction,program-code,chapters/01-introduction.qmd,86-93,YES,20,24,YES,YES,YES,first and last source signatures,PASS
ch01-b004,1,Algorithms vs. Programs: A Crucial Distinction,program-code,chapters/01-introduction.qmd,97-107,YES,20,24,YES,YES,YES,first and last source signatures,PASS
ch01-b005,1,Algorithms vs. Programs: A Crucial Distinction,program-code,chapters/01-introduction.qmd,111-121,YES,20,24,YES,YES,YES,first and last source signatures,PASS
ch01-b006,1,Criterion 1: Correctness—Getting the Right Answer,algorithm,chapters/01-introduction.qmd,161-166,YES,22,22,YES,YES,YES,first and last source signatures,PASS
ch01-b007,1,Criterion 2: Efficiency—Getting There Fast,algorithm,chapters/01-introduction.qmd,207-213,YES,23,23,YES,YES,YES,first and last source signatures,PASS
ch01-b008,1,Criterion 2: Efficiency—Getting There Fast,algorithm,chapters/01-introduction.qmd,217-225,YES,23,23,YES,YES,YES,first and last source signatures,PASS
ch01-b009,1,Criterion 3: Clarity and Elegance,program-code,chapters/01-introduction.qmd,244-249,YES,23,23,YES,YES,YES,first and last source signatures,PASS
ch01-b010,1,Criterion 3: Clarity and Elegance,program-code,chapters/01-introduction.qmd,253-258,YES,23,23,YES,YES,YES,first and last source signatures,PASS
ch01-b011,1,Criterion 4: Robustness,program-code,chapters/01-introduction.qmd,275-288,YES,20,24,YES,YES,YES,first and last source signatures,PASS
ch01-b012,1,Criterion 4: Robustness,program-code,chapters/01-introduction.qmd,292-299,YES,24,290,YES,YES,YES,first and last source signatures,PASS
ch01-b013,1,Step 3: Choose a Strategy,technical-other,chapters/01-introduction.qmd,412-421,YES,27,27,YES,YES,YES,first and last source signatures,PASS
ch01-b014,1,Step 3: Choose a Strategy,inline-example,chapters/01-introduction.qmd,425-428,YES,27,27,YES,YES,YES,first and last source signatures,PASS
ch01-b015,1,Step 4: Design the Algorithm,algorithm,chapters/01-introduction.qmd,436-451,YES,28,28,YES,YES,YES,first and last source signatures,PASS
ch01-b016,1,Step 7: Implement,program-code,chapters/01-introduction.qmd,504-530,YES,29,30,YES,YES,YES,first and last source signatures,PASS
ch01-b017,1,Step 8: Test Thoroughly,program-code,chapters/01-introduction.qmd,536-546,YES,30,30,YES,YES,YES,first and last source signatures,PASS
ch01-b018,1,"Approach 1: The ""Correct"" Way",program-code,chapters/01-introduction.qmd,588-598,YES,31,31,YES,YES,YES,first and last source signatures,PASS
ch01-b019,1,"Approach 2: The ""Fast"" Way (QuickSelect)",program-code,chapters/01-introduction.qmd,608-637,YES,31,273,YES,YES,YES,first and last source signatures,PASS
ch01-b020,1,"Approach 3: The ""Approximate"" Way",program-code,chapters/01-introduction.qmd,647-656,YES,32,32,YES,YES,YES,first and last source signatures,PASS
ch01-b021,1,The Surprising Third Option: Making Algorithms Smarter,program-code,chapters/01-introduction.qmd,738-746,YES,34,34,YES,YES,YES,first and last source signatures,PASS
ch01-b022,1,The Surprising Third Option: Making Algorithms Smarter,program-code,chapters/01-introduction.qmd,750-755,YES,34,34,YES,YES,YES,first and last source signatures,PASS
ch01-b023,1,The Surprising Third Option: Making Algorithms Smarter,program-code,chapters/01-introduction.qmd,759-772,YES,35,35,YES,YES,YES,first and last source signatures,PASS
ch01-b024,1,Big-O Notation (Upper Bound),inline-example,chapters/01-introduction.qmd,829-831,YES,36,36,YES,YES,YES,first and last source signatures,PASS
ch01-b025,1,Big-O Notation (Upper Bound),inline-example,chapters/01-introduction.qmd,841-843,YES,37,37,YES,YES,YES,first and last source signatures,PASS
ch01-b026,1,Big-O Notation (Upper Bound),inline-example,chapters/01-introduction.qmd,854-856,YES,37,37,YES,YES,YES,first and last source signatures,PASS
