chapter,section,source_file,language,block_type,fenced_correctly,syntax_highlightable,line_length_issue,execution_possible,expected_output_present,formatting_problem,recommended_style,notes,phase5_block_id,phase5_status
1,Beyond the Textbook Definition,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 47-57; 9 content lines,ch01-b001,CLASSIFIED
1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 78-82; 3 content lines,ch01-b002,CLASSIFIED
1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 86-93; 6 content lines,ch01-b003,CLASSIFIED
1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,java,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 97-107; 9 content lines,ch01-b004,CLASSIFIED
1,Algorithms vs. Programs: A Crucial Distinction,chapters/01-introduction.qmd,javascript,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 111-121; 9 content lines,ch01-b005,CLASSIFIED
1,Criterion 1: Correctness—Getting the Right Answer,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 161-166; 4 content lines,ch01-b006,CLASSIFIED
1,Criterion 2: Efficiency—Getting There Fast,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 207-213; 5 content lines,ch01-b007,CLASSIFIED
1,Criterion 2: Efficiency—Getting There Fast,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 217-225; 7 content lines,ch01-b008,CLASSIFIED
1,Criterion 3: Clarity and Elegance,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 244-249; 4 content lines,ch01-b009,CLASSIFIED
1,Criterion 3: Clarity and Elegance,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 253-258; 4 content lines,ch01-b010,CLASSIFIED
1,Criterion 4: Robustness,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 275-288; 12 content lines,ch01-b011,CLASSIFIED
1,Criterion 4: Robustness,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 292-299; 6 content lines,ch01-b012,CLASSIFIED
1,Step 3: Choose a Strategy,chapters/01-introduction.qmd,UNLABELED,OTHER,YES,NO,NO,NO,NO,NONE,technical-other,lines 412-421; 8 content lines,ch01-b013,CLASSIFIED
1,Step 3: Choose a Strategy,chapters/01-introduction.qmd,UNLABELED,INLINE_EXAMPLE,YES,NO,NO,NO,NO,NONE,inline-example,lines 425-428; 2 content lines,ch01-b014,CLASSIFIED
1,Step 4: Design the Algorithm,chapters/01-introduction.qmd,UNLABELED,PSEUDOCODE,YES,NO,NO,NO,NO,NONE,algorithm,lines 436-451; 14 content lines,ch01-b015,CLASSIFIED
1,Step 7: Implement,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 504-530; 25 content lines,ch01-b016,CLASSIFIED
1,Step 8: Test Thoroughly,chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 536-546; 9 content lines,ch01-b017,CLASSIFIED
1,"Approach 1: The ""Correct"" Way",chapters/01-introduction.qmd,python,PROGRAM_CODE,YES,YES,NO,YES,NO,NONE,program-code,lines 588-598; 9 content lines,ch01-b018,CLASSIFIED
