equation_id,source,PDF,HTML,EPUB,status,notes
MATH-0001,chapters/01-introduction.qmd:47,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0002,chapters/01-introduction.qmd:157,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0003,chapters/01-introduction.qmd:185,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0004,chapters/01-introduction.qmd:189,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0005,chapters/01-introduction.qmd:190,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0006,chapters/01-introduction.qmd:231,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0007,chapters/01-introduction.qmd:232,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0008,chapters/01-introduction.qmd:488,PASS,PASS,PASS,PASS,native semantic math
MATH-0009,chapters/01-introduction.qmd:489,PASS,PASS,PASS,PASS,native semantic math
MATH-0010,chapters/01-introduction.qmd:490,PASS,PASS,PASS,PASS,native semantic math
MATH-0011,chapters/01-introduction.qmd:494,PASS,PASS,PASS,PASS,native semantic math
MATH-0012,chapters/01-introduction.qmd:495,PASS,PASS,PASS,PASS,native semantic math
MATH-0013,chapters/01-introduction.qmd:496,PASS,PASS,PASS,PASS,native semantic math
MATH-0014,chapters/01-introduction.qmd:498,PASS,PASS,PASS,PASS,native semantic math
MATH-0015,chapters/01-introduction.qmd:603,PASS,PASS,PASS,PASS,native semantic math
MATH-0016,chapters/01-introduction.qmd:604,PASS,PASS,PASS,PASS,native semantic math
MATH-0017,chapters/01-introduction.qmd:642,PASS,PASS,PASS,PASS,native semantic math
MATH-0018,chapters/01-introduction.qmd:642,PASS,PASS,PASS,PASS,native semantic math
MATH-0019,chapters/01-introduction.qmd:643,PASS,PASS,PASS,PASS,native semantic math
MATH-0020,chapters/01-introduction.qmd:661,PASS,PASS,PASS,PASS,native semantic math
MATH-0021,chapters/01-introduction.qmd:662,PASS,PASS,PASS,PASS,native semantic math
MATH-0022,chapters/01-introduction.qmd:713,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0023,chapters/01-introduction.qmd:714,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0024,chapters/01-introduction.qmd:715,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0025,chapters/01-introduction.qmd:800,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0026,chapters/01-introduction.qmd:804,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0027,chapters/01-introduction.qmd:808,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0028,chapters/01-introduction.qmd:810,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0029,chapters/01-introduction.qmd:811,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0030,chapters/01-introduction.qmd:812,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0031,chapters/01-introduction.qmd:813,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0032,chapters/01-introduction.qmd:817,PASS,PASS,PASS,PASS,native semantic math
MATH-0033,chapters/01-introduction.qmd:817,PASS,PASS,PASS,PASS,native semantic math
MATH-0034,chapters/01-introduction.qmd:817,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0035,chapters/01-introduction.qmd:819,PASS,PASS,PASS,PASS,native semantic math
MATH-0036,chapters/01-introduction.qmd:819,PASS,PASS,PASS,PASS,native semantic math
MATH-0037,chapters/01-introduction.qmd:825,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0038,chapters/01-introduction.qmd:827,PASS,PASS,PASS,PASS,native semantic math
MATH-0039,chapters/01-introduction.qmd:827,PASS,PASS,PASS,PASS,native semantic math
MATH-0040,chapters/01-introduction.qmd:827,PASS,PASS,PASS,PASS,native semantic math
MATH-0041,chapters/01-introduction.qmd:829,PASS,PASS,PASS,PASS,native semantic math
MATH-0042,chapters/01-introduction.qmd:834,PASS,PASS,PASS,PASS,native semantic math
MATH-0043,chapters/01-introduction.qmd:834,PASS,PASS,PASS,PASS,native semantic math
MATH-0044,chapters/01-introduction.qmd:834,PASS,PASS,PASS,PASS,native semantic math
MATH-0045,chapters/01-introduction.qmd:834,PASS,PASS,PASS,PASS,native semantic math
MATH-0046,chapters/01-introduction.qmd:834,PASS,PASS,PASS,PASS,native semantic math
MATH-0047,chapters/01-introduction.qmd:836,PASS,PASS,PASS,PASS,native semantic math
MATH-0048,chapters/01-introduction.qmd:836,PASS,PASS,PASS,PASS,native semantic math
MATH-0049,chapters/01-introduction.qmd:836,PASS,PASS,PASS,PASS,native semantic math
MATH-0050,chapters/01-introduction.qmd:838,PASS,PASS,PASS,PASS,native semantic math
MATH-0051,chapters/01-introduction.qmd:838,PASS,PASS,PASS,PASS,native semantic math
MATH-0052,chapters/01-introduction.qmd:838,PASS,PASS,PASS,PASS,native semantic math
MATH-0053,chapters/01-introduction.qmd:842,PASS,PASS,PASS,PASS,native semantic math
MATH-0054,chapters/01-introduction.qmd:842,PASS,PASS,PASS,PASS,native semantic math
MATH-0055,chapters/01-introduction.qmd:844,PASS,PASS,PASS,PASS,native semantic math
MATH-0056,chapters/01-introduction.qmd:849,PASS,PASS,PASS,PASS,native semantic math
MATH-0057,chapters/01-introduction.qmd:849,PASS,PASS,PASS,PASS,native semantic math
MATH-0058,chapters/01-introduction.qmd:851,PASS,PASS,PASS,PASS,native semantic math
MATH-0059,chapters/01-introduction.qmd:851,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0060,chapters/01-introduction.qmd:852,PASS,PASS,PASS,PASS,native semantic math
MATH-0061,chapters/01-introduction.qmd:852,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0062,chapters/01-introduction.qmd:856,PASS,PASS,PASS,PASS,native semantic math
MATH-0063,chapters/01-introduction.qmd:860,PASS,PASS,PASS,PASS,native semantic math
MATH-0064,chapters/01-introduction.qmd:860,PASS,PASS,PASS,PASS,native semantic math
MATH-0065,chapters/01-introduction.qmd:862,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0066,chapters/01-introduction.qmd:864,PASS,PASS,PASS,PASS,native semantic math
MATH-0067,chapters/01-introduction.qmd:864,PASS,PASS,PASS,PASS,native semantic math
MATH-0068,chapters/01-introduction.qmd:864,PASS,PASS,PASS,PASS,native semantic math
MATH-0069,chapters/01-introduction.qmd:866,PASS,PASS,PASS,PASS,native semantic math
MATH-0070,chapters/01-introduction.qmd:871,PASS,PASS,PASS,PASS,native semantic math
MATH-0071,chapters/01-introduction.qmd:871,PASS,PASS,PASS,PASS,native semantic math
MATH-0072,chapters/01-introduction.qmd:873,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0073,chapters/01-introduction.qmd:877,PASS,PASS,PASS,PASS,native semantic math
MATH-0074,chapters/01-introduction.qmd:882,PASS,PASS,PASS,PASS,native semantic math
MATH-0075,chapters/01-introduction.qmd:884,PASS,PASS,PASS,PASS,native semantic math
MATH-0076,chapters/01-introduction.qmd:888,PASS,PASS,PASS,PASS,native semantic math
MATH-0077,chapters/01-introduction.qmd:888,PASS,PASS,PASS,PASS,native semantic math
MATH-0078,chapters/01-introduction.qmd:890,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0079,chapters/01-introduction.qmd:892,PASS,PASS,PASS,PASS,native semantic math
MATH-0080,chapters/01-introduction.qmd:892,PASS,PASS,PASS,PASS,native semantic math
MATH-0081,chapters/01-introduction.qmd:892,PASS,PASS,PASS,PASS,native semantic math
MATH-0082,chapters/01-introduction.qmd:894,PASS,PASS,PASS,PASS,native semantic math
MATH-0083,chapters/01-introduction.qmd:894,PASS,PASS,PASS,PASS,native semantic math
MATH-0084,chapters/01-introduction.qmd:898,PASS,PASS,PASS,PASS,native semantic math
MATH-0085,chapters/01-introduction.qmd:902,PASS,PASS,PASS,PASS,native semantic math
MATH-0086,chapters/01-introduction.qmd:908,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0087,chapters/01-introduction.qmd:910,PASS,PASS,PASS,PASS,native semantic math
MATH-0088,chapters/01-introduction.qmd:910,PASS,PASS,PASS,PASS,native semantic math
MATH-0089,chapters/01-introduction.qmd:912,PASS,PASS,PASS,PASS,native semantic math
MATH-0090,chapters/01-introduction.qmd:912,PASS,PASS,PASS,PASS,native semantic math
MATH-0091,chapters/01-introduction.qmd:912,PASS,PASS,PASS,PASS,native semantic math
MATH-0092,chapters/01-introduction.qmd:912,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0093,chapters/01-introduction.qmd:914,PASS,PASS,PASS,PASS,native semantic math
MATH-0094,chapters/01-introduction.qmd:914,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0095,chapters/01-introduction.qmd:928,PASS,PASS,PASS,PASS,native semantic math
MATH-0096,chapters/01-introduction.qmd:929,PASS,PASS,PASS,PASS,native semantic math
MATH-0097,chapters/01-introduction.qmd:930,PASS,PASS,PASS,PASS,native semantic math
MATH-0098,chapters/01-introduction.qmd:932,PASS,PASS,PASS,PASS,native semantic math
MATH-0099,chapters/01-introduction.qmd:936,PASS,PASS,PASS,PASS,native semantic math
MATH-0100,chapters/01-introduction.qmd:936,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0101,chapters/01-introduction.qmd:942,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0102,chapters/01-introduction.qmd:943,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0103,chapters/01-introduction.qmd:956,PASS,PASS,PASS,PASS,native semantic math
MATH-0104,chapters/01-introduction.qmd:956,PASS,PASS,PASS,PASS,native semantic math
MATH-0105,chapters/01-introduction.qmd:958,PASS,PASS,PASS,PASS,native semantic math
MATH-0106,chapters/01-introduction.qmd:958,PASS,PASS,PASS,PASS,native semantic math
MATH-0107,chapters/01-introduction.qmd:960,PASS,PASS,PASS,PASS,native semantic math
MATH-0108,chapters/01-introduction.qmd:960,PASS,PASS,PASS,PASS,native semantic math
MATH-0109,chapters/01-introduction.qmd:962,PASS,PASS,PASS,PASS,native semantic math
MATH-0110,chapters/01-introduction.qmd:962,PASS,PASS,PASS,PASS,native semantic math
MATH-0111,chapters/01-introduction.qmd:962,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0112,chapters/01-introduction.qmd:966,PASS,PASS,PASS,PASS,native semantic math
MATH-0113,chapters/01-introduction.qmd:966,PASS,PASS,PASS,PASS,native semantic math
MATH-0114,chapters/01-introduction.qmd:966,PASS,PASS,PASS,PASS,native semantic math
MATH-0115,chapters/01-introduction.qmd:967,PASS,PASS,PASS,PASS,native semantic math
MATH-0116,chapters/01-introduction.qmd:968,PASS,PASS,PASS,PASS,native semantic math
MATH-0117,chapters/01-introduction.qmd:968,PASS,PASS,PASS,PASS,native semantic math
MATH-0118,chapters/01-introduction.qmd:968,PASS,PASS,PASS,PASS,native semantic math
MATH-0119,chapters/01-introduction.qmd:972,PASS,PASS,PASS,PASS,native semantic math
MATH-0120,chapters/01-introduction.qmd:993,PASS,PASS,PASS,PASS,native semantic math
MATH-0121,chapters/01-introduction.qmd:1005,PASS,PASS,PASS,PASS,native semantic math
MATH-0122,chapters/01-introduction.qmd:1015,PASS,PASS,PASS,PASS,native semantic math
MATH-0123,chapters/01-introduction.qmd:1027,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0124,chapters/01-introduction.qmd:1028,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0125,chapters/01-introduction.qmd:1029,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0126,chapters/01-introduction.qmd:1033,PASS,PASS,PASS,PASS,native semantic math
MATH-0127,chapters/01-introduction.qmd:1043,PASS,PASS,PASS,PASS,native semantic math
MATH-0128,chapters/01-introduction.qmd:1055,PASS,PASS,PASS,PASS,native semantic math
MATH-0129,chapters/01-introduction.qmd:1071,PASS,PASS,PASS,PASS,native semantic math
MATH-0130,chapters/01-introduction.qmd:1083,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0131,chapters/01-introduction.qmd:1084,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0132,chapters/01-introduction.qmd:1085,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0133,chapters/01-introduction.qmd:1089,PASS,PASS,PASS,PASS,native semantic math
MATH-0134,chapters/01-introduction.qmd:1103,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0135,chapters/01-introduction.qmd:1123,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0136,chapters/01-introduction.qmd:1124,PASS,PASS,PASS,PASS,native semantic math
MATH-0137,chapters/01-introduction.qmd:1143,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0138,chapters/01-introduction.qmd:1144,PASS,PASS,PASS,PASS,native semantic math
MATH-0139,chapters/01-introduction.qmd:1144,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0140,chapters/01-introduction.qmd:1167,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0141,chapters/01-introduction.qmd:1168,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0142,chapters/01-introduction.qmd:1169,PASS,PASS,PASS,PASS,native semantic math
MATH-0143,chapters/01-introduction.qmd:1204,PASS,PASS,PASS,PASS,native semantic math
MATH-0144,chapters/01-introduction.qmd:1204,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0145,chapters/01-introduction.qmd:1206,PASS,PASS,PASS,PASS,native semantic math
MATH-0146,chapters/01-introduction.qmd:1206,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0147,chapters/01-introduction.qmd:1262,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0148,chapters/01-introduction.qmd:1272,PASS,PASS,PASS,PASS,native semantic math
MATH-0149,chapters/01-introduction.qmd:1273,PASS,PASS,PASS,PASS,native semantic math
MATH-0150,chapters/01-introduction.qmd:1274,PASS,PASS,PASS,PASS,native semantic math
MATH-0151,chapters/01-introduction.qmd:1282,PASS,PASS,PASS,PASS,native semantic math
MATH-0152,chapters/01-introduction.qmd:1283,PASS,PASS,PASS,PASS,native semantic math
MATH-0153,chapters/01-introduction.qmd:1284,PASS,PASS,PASS,PASS,native semantic math
MATH-0154,chapters/01-introduction.qmd:2434,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0155,chapters/01-introduction.qmd:2455,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0156,chapters/01-introduction.qmd:2486,PASS,PASS,PASS,PASS,native semantic math
MATH-0157,chapters/01-introduction.qmd:2487,PASS,PASS,PASS,PASS,native semantic math
MATH-0158,chapters/01-introduction.qmd:2494,PASS,PASS,PASS,PASS,native semantic math
MATH-0159,chapters/01-introduction.qmd:2552,PASS,PASS,PASS,PASS,native semantic math
MATH-0160,chapters/01-introduction.qmd:2552,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0161,chapters/01-introduction.qmd:2554,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0162,chapters/01-introduction.qmd:2558,PASS,PASS,PASS,PASS,native semantic math
MATH-0163,chapters/01-introduction.qmd:2558,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0164,chapters/01-introduction.qmd:2560,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0165,chapters/01-introduction.qmd:2563,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0166,chapters/01-introduction.qmd:2565,PASS,PASS,PASS,PASS,native semantic math
MATH-0167,chapters/01-introduction.qmd:2565,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0168,chapters/01-introduction.qmd:2633,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0169,chapters/01-introduction.qmd:2658,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0170,chapters/01-introduction.qmd:2659,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0171,chapters/01-introduction.qmd:2660,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0172,chapters/01-introduction.qmd:2661,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0173,chapters/01-introduction.qmd:2662,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0174,chapters/01-introduction.qmd:2663,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0175,chapters/01-introduction.qmd:2664,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0176,chapters/01-introduction.qmd:2665,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0177,chapters/01-introduction.qmd:2766,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0178,chapters/01-introduction.qmd:2767,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0179,chapters/02-Divide-and-Conquer.qmd:14,PASS,PASS,PASS,PASS,native semantic math
MATH-0180,chapters/02-Divide-and-Conquer.qmd:14,PASS,PASS,PASS,PASS,native semantic math
MATH-0181,chapters/02-Divide-and-Conquer.qmd:20,PASS,PASS,PASS,PASS,native semantic math
MATH-0182,chapters/02-Divide-and-Conquer.qmd:20,PASS,PASS,PASS,PASS,native semantic math
MATH-0183,chapters/02-Divide-and-Conquer.qmd:39,PASS,PASS,PASS,PASS,native semantic math
MATH-0184,chapters/02-Divide-and-Conquer.qmd:40,PASS,PASS,PASS,PASS,native semantic math
MATH-0185,chapters/02-Divide-and-Conquer.qmd:90,PASS,PASS,PASS,PASS,native semantic math
MATH-0186,chapters/02-Divide-and-Conquer.qmd:94,PASS,PASS,PASS,PASS,short inline/text notation visually verified
MATH-0187,chapters/02-Divide-and-Conquer.qmd:95,PASS,PASS,PASS,PASS,short inline/text notation visually verified
