chapter,organization,claim,source,verification_date,numerical_claims,status,evidence_status,action
1,Associated Press,"2014 automation launch; June 2015 account reports over 3,000 earnings stories per quarter.",https://www.ap.org/the-definitive-source/announcements/automated-earnings-stories-multiply/,2026-09-18,"Over 3,000 per quarter in the dated company account; not an LLM productivity benchmark.",CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
2,Bloomberg,2023 BloombergGPT: 50B model trained on mixed financial and general data; evaluation confined to reported tasks.,https://arxiv.org/abs/2303.17564,2026-09-18,50 billion parameters; no universal superiority claimed.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
2,Sarah / healthcare startup,Fictional routing costs and outcomes; not clinical evidence.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
2,TechSupport Inc.,"Fictional 50,000 daily queries; 30-day arithmetic corrected to $210 routed cost and $29,190 savings.",Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
2,ContentCraft,Fictional three-second/$0.003 deployment; no inferred proprietary parameter count.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
2,MedicalAI Research,Fictional 34% diagnostic improvement; not evidence of medical safety or provider capability.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
3,Notion,February 2023 task-specific writing and summarization interface; private prompt architecture not disclosed.,https://www.notion.com/blog/notion-ai-is-here-for-everyone,2026-09-18,None retained.,CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
3,Marcus / research assistant,Illustrative prompting story and scored outputs; no claim of recorded provider experiments.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
4,Unnamed provider outage,Hypothetical outage and failover exercise.,Not applicable — illustrative scenario,2026-09-18,Invented teaching assumptions where present; not measured company results.,ILLUSTRATIVE,NOT_AN_EMPIRICAL_CASE,Label explicitly; retain pedagogical scenario without presenting it as verified company performance.
5,Klarna,February 2024 first-month customer-service results are company-reported; internal permissions were not independently verified.,https://www.prnewswire.com/news-releases/klarna-ai-assistant-handles-two-thirds-of-customer-service-chats-in-its-first-month-302072744.html,2026-09-18,"2.3 million conversations and two-thirds of chats: attributed first-month company report, not current results.",CORRECTED,VERIFIED_PRIMARY_ACCOUNT,"Retain as dated, attributed example; remove unsupported inference and universal outcome claims."
