chapter_number,chapter_title,source_file,source_sha256,word_count,H1_count,H2_count,H3_count,H4_count,paragraph_count,ordered_list_count,unordered_list_count,table_count,image_count,code_block_count,typed_code_block_count,untyped_code_block_count,raw_html_block_count,raw_latex_block_count,quarto_div_count,equation_count,cross_reference_count,link_count
1,Introduction to Software Engineering,chapters/01-introduction.qmd,b746b144321b23734c97ec2769dd405be8ff9afa18001dcba093b99ff18238c2,4545,1,13,26,0,162,48,174,4,7,21,10,11,0,0,0,0,0,0
2,Requirements Engineering,chapters/02-requirements-engineering.qmd,b84b61122a72336c91121d0c6dde4598159d5157a55bbaa461d2e371265f161b,6686,1,15,39,0,313,46,274,4,8,8,0,8,0,0,0,0,0,0
3,Systems Modeling and UML,chapters/03-systems-modeling.qmd,27f5be1e45b7da1ab7b1125498b66bc450c46cec1e524e8585ec4401f91439e8,4194,1,15,39,0,197,44,193,4,14,48,5,43,0,0,0,0,0,0
4,Software Architecture and Design Patterns,chapters/04-software-architecture.qmd,133e8b123c96b385468905051e20e6a4be71130469e10ea8d34009ee1a0ee4b0,4965,1,13,32,9,261,47,208,3,24,31,26,5,0,0,0,0,0,0
5,UI/UX Design and Prototyping,chapters/05-ui-ux.qmd,ba7eac6101f9ec53f8beb1e3deb578c622005757afada7977301d84768fed52e,5505,1,16,41,0,290,72,362,6,8,43,12,31,0,0,0,0,0,0
6,Agile Methodologies and Project Management,chapters/06-agile-methodologies.qmd,e67b062e8a80b7a770fe5b7a434e4ddea59aa2ec26e0d06ff3073f4cc9dd4035,5852,1,16,45,0,316,93,260,4,2,53,2,51,0,0,0,0,0,0
7,Version Control Workflows,chapters/07-version-control.qmd,b9f5326fb5503ddf89b13e45ff2a044cc1ddefc58eb9bedecc67c3264c6a710b,4023,1,19,55,0,245,81,263,6,9,85,50,35,0,0,0,1,0,8
8,Testing and Quality Assurance,chapters/08-testing-quality.qmd,8d82b0303ce358b2904b294bebacfdebe7307d26c1a20d03f1152745e4373659,2900,1,16,45,0,178,90,172,4,3,78,62,16,0,0,0,2,0,0
9,Continuous Integration and Continuous Deployment,chapters/09-cicd.qmd,dbb660554029d0bef51a5c854fe4924e5f73225babc9c99b852b80804a40d88b,1953,1,16,46,0,119,49,237,1,0,71,38,33,0,0,0,8,0,0
10,Data Management and APIs,chapters/10-data-management.qmd,8bc7d1f1a41bde0a7ce66f6870243cbdd7ead3eda4659ccb6931939d5ed02624,7385,1,16,36,4,297,44,65,1,0,104,88,16,0,0,0,3,0,0
11,Cloud Services and Deployment,chapters/11-cloud-services.qmd,818bbc835595b60293077fb9bd950c932100a398660d35ea696a443ac14fd870,5236,1,15,36,0,177,42,88,1,0,44,26,18,0,0,0,8,0,0
12,Software Security,chapters/12-security.qmd,3f87cda3c38eb5607ac67a1a2b3b2c317bcb23b4548c2a5b44c807cafd2cfe1a,8008,1,13,30,24,268,47,63,1,0,57,53,4,0,0,0,4,0,0
13,Software Maintenance and Evolution,chapters/13-maintenance-evolution.qmd,15c0cbebe1df042a3fb143974f422c418832a11e32c060df96e493677a97716f,6059,1,21,33,3,210,48,70,2,0,37,21,16,0,0,0,1,0,6
14,Professional Practice and Ethics,chapters/14-ethics-professionalism.qmd,89c45690d1a1fa9d369767d1ffa8b376c2743499a54dbe91afe8259dd2b915e6,7446,1,14,35,0,237,60,58,1,0,4,0,4,0,0,0,0,0,0
15,Final Project Integration and Course Synthesis,chapters/15-final-project-integration.qmd,11c8d3245f57e7fbf2694e22e811d5e45c06224ada1afbbc6f947159f1f7e574,5179,1,27,43,0,200,45,82,2,0,12,4,8,0,0,0,0,0,6
