chapter,source_line,section,claim,reason,status,phase_0_status,review_id,classification,verification_date,primary_source,source_keys,current_source_line,current_excerpt,correction,notes,resolution
1,13,Introduction,"But this isn't just a theoretical exploration. Throughout this book, you'll build a real, sustained artifact of your own: the design for an AI-powered research assistant, carried forward and refined chapter by chapter across the entire semester. This chapter isn't where you write code for that assistant, it's where you make the first, most important decision about it: *what problem is it actually solving, and why does that problem call for generative AI rather than something simpler?* Getting that question right now will make every later technical decision easier.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-001,ILLUSTRATIVE,2026-09-18,,,9,"But this isn't just a theoretical exploration. Throughout this book, you'll build a real, sustained artifact of your own: the design for an AI-powered research assistant, carried forward and refined chapter by chapter throughout the book. This chapter isn't where you write code for that assistant, it's where you make the first, most important decision about it: *what problem is it actually solving, and why does that problem call for generative AI rather than something simpler?* Getting that question right now will make every later technical decision easier.",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,21,What You'll Learn,"- Grasp the key concepts of neural networks, transformers, and attention mechanisms","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-002,ILLUSTRATIVE,2026-09-18,,,17,"- Grasp the key concepts of neural networks, transformers, and attention mechanisms",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,23,What You'll Learn,"- Recognize how training data shapes a model's knowledge, biases, and blind spots","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-003,ILLUSTRATIVE,2026-09-18,,,19,"- Recognize how training data shapes a model's knowledge, biases, and blind spots",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,25,What You'll Learn,"- Evaluate the strengths, limitations, and ethical considerations of generative AI systems","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-004,ILLUSTRATIVE,2026-09-18,,,21,"- Evaluate the strengths, limitations, and ethical considerations of generative AI systems",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,48,Learning Outcomes,2. **Trace** the evolution from rule-based systems to neural networks to transformers,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-005,ILLUSTRATIVE,2026-09-18,,,44,2. **Trace** the evolution from rule-based systems to neural networks to transformers,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,51,Learning Outcomes,"5. **Evaluate** how training data composition shapes a model's knowledge, blind spots, and biases","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-006,ILLUSTRATIVE,2026-09-18,,,47,"5. **Evaluate** how training data composition shapes a model's knowledge, blind spots, and biases",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,65,Key Terminologies and Concepts,"|**Transformer**|A neural network architecture that uses attention mechanisms to process sequential data in parallel|The ""T"" in GPT (Generative Pre-trained Transformer)|","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-007,COMMON_KNOWLEDGE,2026-09-18,,,61,"|**Transformer**|A neural network architecture that uses attention mechanisms to process sequential data in parallel|The ""T"" in GPT (Generative Pre-trained Transformer)|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,68,Key Terminologies and Concepts,"|**Fine-tuning**|Adapting a pre-trained model to a specific task or domain using a smaller, targeted dataset|Training a medical assistant model on de-identified clinical notes|","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-008,COMMON_KNOWLEDGE,2026-09-18,,,64,"|**Fine-tuning**|Adapting a pre-trained model to a specific task or domain using a smaller, targeted dataset|Training a medical assistant model on de-identified clinical notes|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,109,Why It's Revolutionary,The model isn't retrieving this from storage; it's constructing it from patterns learned across millions of examples of descriptive writing and code.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-009,CITATION_HELPFUL,2026-09-18,https://arxiv.org/abs/2012.07805,extraction,107,The model isn't retrieving this from storage; it's constructing it from patterns learned across millions of examples of descriptive writing and code.,No substantive correction required; retained with the stated scope.,"Retained as a bounded conceptual, historical, or engineering claim. Primary source supports the mechanism or documented example, not universal performance or current product rankings.",RESOLVED
1,135,The Neural Network Era (2000s–2010s),"Neural networks, invented decades earlier, became practical for language in the 2000s as computing power and training techniques improved. **Recurrent Neural Networks (RNNs)** introduced a form of memory, carrying information forward from earlier in a sequence rather than only looking at immediate neighbors. **Long Short-Term Memory (LSTM)** networks solved a critical weakness: plain RNNs tended to ""forget"" information over long sequences. LSTMs added gates that control what to remember, forget, and output. By the mid-2010s, LSTM-based systems powered genuinely useful products: predictive text, dramatically improved machine translation, and early conversational agents. But processing remained sequential, one word at a time, which made training slow and long documents difficult to handle well.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-010,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,135,"Recurrent networks process a sequence through a state passed between positions. Gated variants such as LSTMs address difficulties in carrying information across long sequences, but do not guarantee perfect long-range memory. The original Transformer paper contrasts attention-based processing with recurrent approaches and explains their computational trade-offs. [@vaswani2017attention]","Recurrent networks process a sequence through a state passed between positions. Gated variants such as LSTMs address difficulties in carrying information across long sequences, but do not guarantee perfect long-range memory. The original Transformer paper contrasts attention-based processing with recurrent approaches and explains their computational trade-offs. [@vaswani2017attention]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Qualify historical LSTM and product claims; avoid unsupported firsts.,RESOLVED
1,139,The Transformer Revolution (2017–Present),"The 2017 paper ""Attention Is All You Need"" changed everything. The Transformer architecture introduced parallel processing (all words handled simultaneously, not one at a time), self-attention (every word can directly relate to every other word, regardless of distance), and an architecture that scales efficiently with more data and compute.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-011,CITATION_REQUIRED,2026-09-18,https://arxiv.org/abs/1706.03762 ; https://arxiv.org/abs/2005.14165,transformer;gpt3,139,"The transformer paper dates to 2017; GPT-3's 2020 report documents in-context task performance without updating weights. Such performance is evidence on evaluated tasks, not proof of human understanding. [@vaswani2017attention; @gpt3]","The transformer paper dates to 2017; GPT-3's 2020 report documents in-context task performance without updating weights. Such performance is evidence on evaluated tasks, not proof of human understanding. [@vaswani2017attention; @gpt3]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Resolve causal-versus-parallel oversimplification in historical summary.,RESOLVED
1,141,The Transformer Revolution (2017–Present),"GPT-1 (2018) showed that pre-training on a broad text corpus, then fine-tuning for specific tasks, beat purpose-built systems across multiple benchmarks. GPT-2 (2019) generated coherent multi-paragraph text at a scale that made OpenAI initially withhold the full model over misuse concerns, an early hint of the ethical questions this book returns to throughout. GPT-3 (2020) demonstrated striking few-shot learning: shown just a couple of examples in the prompt itself, it could perform tasks it was never explicitly trained on.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-012,CITATION_REQUIRED,2026-09-18,https://arxiv.org/abs/1706.03762 ; https://arxiv.org/abs/2005.14165,transformer;gpt3,141,The 2017 paper *Attention Is All You Need* introduced a Transformer encoder-decoder for sequence transduction. Attention allows parallel processing of available positions during training; a causal decoder masks future tokens and generates autoregressively. Parallel training does not mean every output token is generated simultaneously. [@vaswani2017attention],The 2017 paper *Attention Is All You Need* introduced a Transformer encoder-decoder for sequence transduction. Attention allows parallel processing of available positions during training; a causal decoder masks future tokens and generates autoregressively. Parallel training does not mean every output token is generated simultaneously. [@vaswani2017attention],Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Replace unsupported compressed release history with directly verified historical result.,RESOLVED
