chapter,source_line,terms,text,action
1,13,semester,"But this isn't just a theoretical exploration. Throughout this book, you'll build a real, sustained artifact of your own: the design for an AI-powered research assistant, carried forward and refined chapter by chapter across the entire semester. This chapter isn't where you write code for that assistant, it's where you make the first, most important decision about it: *what problem is it actually solving, and why does that problem call for generative AI rather than something simpler?* Getting that question right now will make every later technical decision easier.",retain discussion/technical or real-world timing; generalize administrative schedule
1,31,assignment,"This chapter's contribution to that portfolio is the **Project Charter**: choosing your domain, naming your users, and writing a clear, defensible case for why generation, not classification or retrieval alone, is the right tool for the problem. You'll find the full assignment at the end of the chapter.",retain discussion/technical or real-world timing; generalize administrative schedule
1,331,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
1,365,week; semester,"This week, produce a one- to two-page **Project Charter** for your semester-long AI-powered research assistant project. It should include:",retain discussion/technical or real-world timing; generalize administrative schedule
1,372,Week,"Keep this document. You'll revisit and extend it in every remaining chapter, and it becomes the opening section of your Week 16 final demo.",retain discussion/technical or real-world timing; generalize administrative schedule
2,94,week,"""The project that we discussed last week, the one about renewable energy, not the transportation initiative, that project needs the budget we talked about allocating, but the timeline Sarah mentioned won't work because it conflicts with...""",retain discussion/technical or real-world timing; generalize administrative schedule
2,830,week,"4. What single metric would tell you, within a week of launch, that your routing decisions were wrong?",retain discussion/technical or real-world timing; generalize administrative schedule
2,850,Week,"This is the conceptual foundation for your Week 2 milestone. You won't submit code, you'll submit a memo that makes the case for specific models at each tier, grounded in the comparison exercise you ran in Chapter 1 and the architectural trade-offs from this chapter.",retain discussion/technical or real-world timing; generalize administrative schedule
2,871,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
2,940,week,"This week, add a **Model Selection Memo** to your project portfolio. In one to two pages:",retain discussion/technical or real-world timing; generalize administrative schedule
2,944,discussion,"3. **Recommendation**: State which model you'd use for the *majority* of your assistant's traffic, and which (if any) you'd reserve for harder queries, with reasoning grounded in this chapter's architecture and training discussion, not just vendor marketing claims.",retain discussion/technical or real-world timing; generalize administrative schedule
3,135,Assignment,#### 1. **Role Assignment: Who Is Speaking?**,retain discussion/technical or real-world timing; generalize administrative schedule
3,142,assignment,"Why this works: Chapter 2 taught you that models learn from massive text datasets. Those datasets contain billions of examples of different voices—professors, journalists, technical writers, storytellers. Role assignment activates the relevant patterns.",retain discussion/technical or real-world timing; generalize administrative schedule
3,951,module,**+ Safety module**: Add content filtering instructions\,retain discussion/technical or real-world timing; generalize administrative schedule
3,952,module,**+ Citation module**: Add source citation requirements\,retain discussion/technical or real-world timing; generalize administrative schedule
3,953,module,**+ Format module**: Add specific output formatting\,retain discussion/technical or real-world timing; generalize administrative schedule
3,1700,week,"**Duration**: Run long enough to account for day-of-week effects, user variety, etc.",retain discussion/technical or real-world timing; generalize administrative schedule
3,1863,assignment,"You do not need a template-selection engine, a JSON schema, or a dynamic customization pipeline to do this well; you need to write five genuinely good, carefully reasoned prompts and be able to defend each design choice. The architecture that *would* automatically route a query to the right template, the one described earlier in this chapter as query analysis feeding template selection feeding customization, is worth understanding conceptually (you'll need that reasoning again when you design your Agent Capability Plan in Chapter 5), but implementing it is optional, advanced work, not the assignment.",retain discussion/technical or real-world timing; generalize administrative schedule
3,1889,Week,"This is the direct foundation for your Week 3 milestone. Your Prompt Library v1 submission is this section's exercise made real for your specific domain, five prompts, tested, and defended.",retain discussion/technical or real-world timing; generalize administrative schedule
3,1923,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
3,1996,week,"This week, add a **Prompt Library v1** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
4,149,week,"**Monitoring**: Name the two or three metrics that would tell you, within the first week, whether your integration design was working as intended.",retain discussion/technical or real-world timing; generalize administrative schedule
4,159,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
4,190,week,"This week, add an **Integration Architecture Diagram** to your project portfolio, a visual diagram plus a short narrative (one page is plenty):",retain discussion/technical or real-world timing; generalize administrative schedule
5,15,week,"Both versions used the same underlying language model. The difference between them has nothing to do with how smart the model is and everything to do with what it's allowed to *do*. That difference, from answering questions to taking action in the world, is what this chapter is about, and it's arguably the single most consequential shift happening in applied generative AI right now. It's also the shift that raises this book's safety and control questions most sharply, not as an abstract concern for a later chapter, but as a design problem you'll need to solve for your own project this week.",retain discussion/technical or real-world timing; generalize administrative schedule
5,182,week,"The gap between demo and production is real and it matters for your design choices this week: a compelling demo often works because it was run a handful of times by someone who knew what to expect. A production agent runs thousands of times against messy, unexpected real-world input, which is exactly where narrow scoping, legible failure, and human checkpoints earn their keep.",retain discussion/technical or real-world timing; generalize administrative schedule
5,198,Week,That's the shape of your Week 5 milestone.,retain discussion/technical or real-world timing; generalize administrative schedule
5,210,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
5,242,week,"This week, add an **Agent Capability Plan** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
6,127,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
6,158,week,"This week, add a **RAG Design Document** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
7,115,week,"Rather than running a fine-tuning job, your task this week is to make, and defend, the decision of whether your project needs one at all.",retain discussion/technical or real-world timing; generalize administrative schedule
7,129,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
7,159,week,"This week, add a **Customization Decision Memo** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
7,166,Week,*End of Chapter 7. Chapter 8 turns to a topic you'll need before your Week 8 proposal: how to read and synthesize the research literature that grounds decisions like this one.*,retain discussion/technical or real-world timing; generalize administrative schedule
8,11,Week,"This chapter is different from the others in one important way: it's not primarily about a new AI capability. It's about a skill this entire book has been assuming you'd eventually need and hasn't yet taught directly, how to find, read, and synthesize the research literature well enough to ground a real technical decision in something more solid than intuition. You're going to need this skill in two places immediately: your Week 8 project proposal, due at the end of this chapter, and every chapter from here forward, which will lean more heavily on primary sources than the earlier, more foundational chapters did.",retain discussion/technical or real-world timing; generalize administrative schedule
8,35,Week,"| **Literature Review** | A structured synthesis of existing research on a topic, organized around themes or open questions | The Week 8 milestone for your own project |",retain discussion/technical or real-world timing; generalize administrative schedule
8,37,week,"| **Hype Cycle** | The pattern by which a new technology's expectations rise, peak, and settle toward a more realistic baseline | Distinguishing a technique's real capability from its launch-week press coverage |",retain discussion/technical or real-world timing; generalize administrative schedule
8,79,Week,"The synthesis version takes a position, uses each source for a specific piece of evidence, and connects back to an actual decision. That's what your Week 8 proposal needs, and it's a skill worth practicing deliberately rather than assuming it will happen automatically once you've read enough papers.",retain discussion/technical or real-world timing; generalize administrative schedule
8,87,Discussion,"**Contested** claims have real evidence on more than one side, competent researchers genuinely disagree, and the honest response is to present the disagreement rather than pick a side and pretend it's settled. Several of this book's Discussion Questions live in exactly this territory on purpose.",retain discussion/technical or real-world timing; generalize administrative schedule
8,107,Week,"This isn't a story about any one company or model, it's a structural feature of how this field currently publicizes results, and it's exactly the pattern section 8.5 asks you to watch for. The practical lesson for your own work: a striking number in a single announcement is a hypothesis worth checking, not a fact worth citing, until independent sources have had time to weigh in, which is one more reason your Week 8 review should lean on sources that have had that time, not just this month's headline.",retain discussion/technical or real-world timing; generalize administrative schedule
8,109,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
8,111,course,"1. Given how quickly this field moves, how should a practitioner (or a course) balance staying current against the risk of over-trusting claims that haven't yet been independently verified?",retain discussion/technical or real-world timing; generalize administrative schedule
8,139,week,This week's milestone is your formal midterm checkpoint. Submit:,retain discussion/technical or real-world timing; generalize administrative schedule
9,47,discussion,"Three genuine challenges separate multimodal systems from the text-only systems covered so far in this book. **Representation learning** across genuinely different kinds of data, text is discrete and sequential, images are spatial and continuous, audio is temporal and frequency-based, is a harder problem than representing any one of them alone. **Alignment**, knowing which part of an image a given sentence is actually describing, adds a layer of complexity single-modality models never face. And **evaluation** gets harder too, ""is this a good image?"" or ""is this transcription useful?"" often resist the kind of clean, checkable metric that made Chapter 10's coming discussion of text evaluation comparatively tractable.",retain discussion/technical or real-world timing; generalize administrative schedule
9,67,discussion,"This connects directly back to Chapter 6's document-ingestion discussion: a RAG system that only extracts a PDF's plain text and silently drops every figure and table is discarding real information, sometimes the most important information in the document. Whether that gap matters depends entirely on your domain, a legal contract's figures rarely carry the argument; a scientific paper's figures often do.",retain discussion/technical or real-world timing; generalize administrative schedule
9,87,week,"The honest, and very common, right answer this week for many projects is that multimodal capability isn't worth adding. Don't let the excitement of this chapter's material push you toward a ""yes"" your project doesn't actually need.",retain discussion/technical or real-world timing; generalize administrative schedule
9,101,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
9,132,week,"This week, add a **Multimodal Extension Plan** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
10,80,discussion,"Treating prompts and AI-powered features with the same testing discipline as any other software pays off directly. **Regression testing**, maintaining a fixed set of test cases you re-run after any change, catches the common and frustrating failure where fixing one case quietly breaks another that used to work. **Red teaming**, deliberately probing your system with adversarial or edge-case inputs (drawing directly on Chapter 3's prompt-injection material and Chapter 5's goal-hijacking discussion), surfaces failure modes before your users do, which is a substantially better way to find them.",retain discussion/technical or real-world timing; generalize administrative schedule
10,108,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
10,139,week,"This week, add an **Evaluation Plan** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
11,101,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
11,131,week,"This week, add an **Optimization Plan** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
12,44,discussion,"**Reward hacking** and **specification gaming** are the technical names for this failure showing up in practice. A model trained to maximize a proxy for ""the user liked this response"" can learn to be flattering rather than accurate, if flattery reliably produces the reward signal more consistently than accuracy does, the training process has no way to know that's not what you actually wanted. This is exactly the same proxy-metric trap from Chapter 10's evaluation discussion, showing up one level deeper, not in how you measure a system's success after the fact, but in how the system itself was trained to behave in the first place.",retain discussion/technical or real-world timing; generalize administrative schedule
12,54,discussion,"**Constitutional AI**, Anthropic's approach and the one referenced back in Chapter 1's discussion of Claude, modifies this recipe: instead of relying entirely on case-by-case human feedback for every training signal, a model is trained against a written set of principles, a ""constitution"", critiquing and revising its own draft responses against those principles before the final training step. This reduces dependence on human raters having to personally review every single harmful-content edge case, and it makes the model's guiding principles more explicit and inspectable than a purely feedback-driven approach would allow.",retain discussion/technical or real-world timing; generalize administrative schedule
12,64,discussion,"Why does this matter practically, beyond scientific curiosity? Because interpretability is one of the few approaches that could, in principle, verify a model's actual internal reasoning rather than trusting its stated reasoning (which, as Chapter 3's discussion of chain-of-thought prompting should make you appropriately cautious about, a model's explanation for its own behavior is itself a generated output, not a transparent window into a real internal process). A model that says ""I chose this because X"" might be accurately reporting its process, or might be generating a plausible-sounding post-hoc justification, and today's tools often can't fully tell you which.",retain discussion/technical or real-world timing; generalize administrative schedule
12,80,discussion,"**Alignment for agents**, the direct technical sequel to Chapter 5's safety discussion, is harder than alignment for a plain chatbot for exactly the reason section 5.1 argued: a subtly misaligned agent's mistakes are actions in the world, not text a user can simply disregard, so the same underlying alignment gap has a higher and more consequential ceiling the more autonomy and capability a system has.",retain discussion/technical or real-world timing; generalize administrative schedule
12,88,week,This week's milestone asks you to turn the adversarial mindset from section 12.4 on your own project's design.,retain discussion/technical or real-world timing; generalize administrative schedule
12,102,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
12,134,week,"This week, add a **Red-Team Review** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
13,11,discussion,"This chapter is where Chapter 1's opening ethical questions, who creates the training data, who benefits, who's responsible when something goes wrong, become concrete, practical design work rather than open discussion prompts. Chapter 12 covered the technical machinery of alignment, how a model is trained to behave safely in the first place. This chapter asks the applied question that sits on top of that machinery: given a model that's been aligned as well as current techniques allow, what does it actually take to deploy it responsibly, and who's accountable when that deployment falls short?",retain discussion/technical or real-world timing; generalize administrative schedule
13,77,discussion,"Content moderation grows more complex with every modality a system handles, a theme Chapter 9's multimodal discussion already previewed. Text moderation looks for hate speech, misinformation, and PII exposure; image moderation adds violent or disturbing imagery and manipulated media detection; audio moderation adds harmful speech content and voice-cloning detection, each modality bringing its own detection challenge, and content that combines modalities in a way no single-modality filter would catch on its own.",retain discussion/technical or real-world timing; generalize administrative schedule
13,89,discussion,"Automated moderation should never be the entire system. **Human-in-the-loop review**, the same design principle from Chapter 5's agent safety discussion, handles the escalations, appeals, and genuinely ambiguous edge cases that need judgment an automated filter can't reliably supply, and feeds real cases back into improving the automated layer over time.",retain discussion/technical or real-world timing; generalize administrative schedule
13,115,week,"That last detail is the most instructive part for your own project work: a responsible AI practice that never says no to anything isn't actually functioning as a check on anything, it's a formality. The genuine test of your own Ethics & Fairness Review this week isn't whether you can produce a document defending your current design, it's whether working through the exercise honestly might lead you to change something about it.",retain discussion/technical or real-world timing; generalize administrative schedule
13,117,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
13,148,week,"This week, add an **Ethics & Fairness Review** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
14,9,discussion,"Your assistant works well, tests cleanly, and passes its Chapter 13 ethics review. Is it legal to deploy? That's a genuinely different question, and one this book has deliberately saved for its own chapter rather than folding it into Chapter 13's ethics discussion, because ""ethical"" and ""compliant"" are related but not identical, a system can be one without being the other, and a practitioner needs to be able to reason about both.",retain discussion/technical or real-world timing; generalize administrative schedule
14,65,discussion,"For your own project, this connects directly to a decision from Chapter 5's agent safety discussion: the human-in-the-loop spectrum isn't just a safety design choice, it's also, practically, a liability-allocation choice. A fully autonomous action shifts more of the practical and legal weight toward the system's designers; a suggest-and-confirm design keeps a human's independent judgment clearly in the loop, which matters both ethically and, potentially, legally.",retain discussion/technical or real-world timing; generalize administrative schedule
14,85,course,"**Address copyright, if relevant.** If your Chapter 7 customization decision involved fine-tuning on a specific corpus, or if your assistant generates content in a recognizable style, name the consideration explicitly, even if your answer is ""this needs legal review beyond what this course covers,"" which is itself an honest, correct answer for a real project.",retain discussion/technical or real-world timing; generalize administrative schedule
14,97,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
14,128,week,"This week, add a **Compliance Checklist** to your project portfolio:",retain discussion/technical or real-world timing; generalize administrative schedule
14,132,course,"3. **Copyright consideration**: Addressed explicitly, even if the honest answer is ""needs review beyond this course.""",retain discussion/technical or real-world timing; generalize administrative schedule
15,21,course,"- Identify several genuinely open questions and emerging directions in generative AI, and know how to keep tracking them after this course ends",retain discussion/technical or real-world timing; generalize administrative schedule
15,115,Discussion,## Discussion Questions,retain discussion/technical or real-world timing; generalize administrative schedule
15,124,Week,"- Return to your Chapter 8 research methods, and to the specific sources your Week 8 literature review surfaced, they're a better guide to this book's own ""frontier"" section than any fixed reading list could be by the time you're reading this.",retain discussion/technical or real-world timing; generalize administrative schedule
15,146,week; Week,"This week, add a **Deployment Plan & Forward Look** to your project portfolio, the final piece before your Week 16 demo:",retain discussion/technical or real-world timing; generalize administrative schedule
