pdf_page,book_page_label,chapter,category,severity,finding,recommendation
1,i,,Metadata,HIGH,Neutral title page still shows 2025.,Update complete-edition print identity to 2026 only after content/layout reconstruction is stable.
2,ii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
3,iii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
4,iv,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
5,v,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
6,vi,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
7,vii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
8,viii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
9,ix,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
10,x,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
11,xi,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
12,xii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
13,xiii,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
14,xiv,,TOC,MEDIUM,Table of contents occupies 19 PDF pages and includes very deep section detail.,Reduce print TOC depth; target chapter + major section hierarchy and fix number/title spacing for 10.x+ entries.
