page,meaningful_utilization,severity,classification,contact_sheet,reason,action,final_status
1,0.142,REVIEW,title page,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
9,0.019,CRITICAL REVIEW,half-title,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
10,0.133,REVIEW,edition notice,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
12,0.058,CRITICAL REVIEW,dedication,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
16,0.191,REVIEW,chapter/section closing page,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
17,0.000,CRITICAL REVIEW,part opener,pages-001-025.png,deliberately sparse opener,retain,INTENTIONAL
145,0.000,CRITICAL REVIEW,part opener,pages-126-150.png,deliberately sparse opener,retain,INTENTIONAL
263,0.156,REVIEW,chapter/section closing page,pages-251-275.png,deliberately sparse opener,retain,INTENTIONAL
300,0.025,CRITICAL REVIEW,part opener,pages-276-300.png,deliberately sparse opener,retain,INTENTIONAL
356,0.000,CRITICAL REVIEW,part opener,pages-351-375.png,deliberately sparse opener,retain,INTENTIONAL
394,0.111,REVIEW,chapter/section closing page,pages-376-400.png,deliberately sparse opener,retain,INTENTIONAL
483,0.191,REVIEW,chapter/section closing page,pages-476-500.png,deliberately sparse opener,retain,INTENTIONAL
532,0.025,CRITICAL REVIEW,part opener,pages-526-550.png,deliberately sparse opener,retain,INTENTIONAL
595,0.028,CRITICAL REVIEW,chapter/section closing page,pages-576-600.png,deliberately sparse opener,retain,INTENTIONAL
612,0.085,CRITICAL REVIEW,chapter/section closing page,pages-601-614.png,intentional concise chapter closing before references,retain,INTENTIONAL
