chapter,source_line,section,claim,reason,status
1,13,Introduction,"But this isn't just a theoretical exploration. Throughout this book, you'll build a real, sustained artifact of your own: the design for an AI-powered research assistant, carried forward and refined chapter by chapter across the entire semester. This chapter isn't where you write code for that assistant, it's where you make the first, most important decision about it: *what problem is it actually solving, and why does that problem call for generative AI rather than something simpler?* Getting that question right now will make every later technical decision easier.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,21,What You'll Learn,"- Grasp the key concepts of neural networks, transformers, and attention mechanisms","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,23,What You'll Learn,"- Recognize how training data shapes a model's knowledge, biases, and blind spots","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,25,What You'll Learn,"- Evaluate the strengths, limitations, and ethical considerations of generative AI systems","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,48,Learning Outcomes,2. **Trace** the evolution from rule-based systems to neural networks to transformers,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,51,Learning Outcomes,"5. **Evaluate** how training data composition shapes a model's knowledge, blind spots, and biases","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,65,Key Terminologies and Concepts,"|**Transformer**|A neural network architecture that uses attention mechanisms to process sequential data in parallel|The ""T"" in GPT (Generative Pre-trained Transformer)|","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,68,Key Terminologies and Concepts,"|**Fine-tuning**|Adapting a pre-trained model to a specific task or domain using a smaller, targeted dataset|Training a medical assistant model on de-identified clinical notes|","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,109,Why It's Revolutionary,The model isn't retrieving this from storage; it's constructing it from patterns learned across millions of examples of descriptive writing and code.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,135,The Neural Network Era (2000s–2010s),"Neural networks, invented decades earlier, became practical for language in the 2000s as computing power and training techniques improved. **Recurrent Neural Networks (RNNs)** introduced a form of memory, carrying information forward from earlier in a sequence rather than only looking at immediate neighbors. **Long Short-Term Memory (LSTM)** networks solved a critical weakness: plain RNNs tended to ""forget"" information over long sequences. LSTMs added gates that control what to remember, forget, and output. By the mid-2010s, LSTM-based systems powered genuinely useful products: predictive text, dramatically improved machine translation, and early conversational agents. But processing remained sequential, one word at a time, which made training slow and long documents difficult to handle well.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,139,The Transformer Revolution (2017–Present),"The 2017 paper ""Attention Is All You Need"" changed everything. The Transformer architecture introduced parallel processing (all words handled simultaneously, not one at a time), self-attention (every word can directly relate to every other word, regardless of distance), and an architecture that scales efficiently with more data and compute.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,141,The Transformer Revolution (2017–Present),"GPT-1 (2018) showed that pre-training on a broad text corpus, then fine-tuning for specific tasks, beat purpose-built systems across multiple benchmarks. GPT-2 (2019) generated coherent multi-paragraph text at a scale that made OpenAI initially withhold the full model over misuse concerns, an early hint of the ethical questions this book returns to throughout. GPT-3 (2020) demonstrated striking few-shot learning: shown just a couple of examples in the prompt itself, it could perform tasks it was never explicitly trained on.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,143,The Transformer Revolution (2017–Present),"The generations since have added multimodal understanding (text and images together), stronger reasoning, open-weight alternatives that broadened who can build on this technology, and increasingly tight integration with real-world tools and data. We'll meet today's major model families in section 1.7.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,147,The Transformer Revolution (2017–Present),*Figure 1.2: The Evolution of Text Generation — From Rule-Based Systems to Modern Transformers*,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,183,The Attention Revolution: Focus on What Matters,"Transformers don't use a single attention mechanism; they run many ""heads"" (typically 8–16) in parallel, each free to specialize in a different kind of relationship: one might track subject-verb agreement, another pronoun reference, another cause-and-effect.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,189,Core Architecture Components,"Because Transformers process all words simultaneously rather than reading left to right, they need **positional encoding** to preserve word order, a ""position signature"" attached to each token, since ""Dog bites man"" and ""Man bites dog"" share the same words but mean very different things.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,191,Core Architecture Components,"Finally, Transformers stack many layers, dozens in modern models, with each layer building more abstract understanding: early layers handle grammar and syntax, middle layers capture relationships and local context, and deeper layers support inference and generation that draws on broader world knowledge.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,193,Core Architecture Components,![Transformer Architecture - Core Components and Information Flow](../assets/images/chapters/ch01_img10.svg),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,195,Core Architecture Components,*Figure 1.3: Transformer Architecture — Core Components and Information Flow*,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,207,Training: Learning from an Enormous Corpus,"What separates modern LLMs from earlier attempts isn't a fundamentally new algorithm, it's scale, in both parameters and training data, by several orders of magnitude across just a few model generations. That scaling trend, and the debate over where it runs out of road, is a thread we'll pick up again in Chapter 2.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,211,Inference: Generating One Token at a Time,"When you send a prompt, six things happen in sequence: your text is tokenized; each token becomes an embedding vector; the transformer layers process those vectors; the model outputs a probability distribution over possible next tokens; one token is selected (influenced by the temperature setting); and the cycle repeats, feeding the growing sequence back in, until the response is complete.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,213,Inference: Generating One Token at a Time,"**Temperature** controls how that selection happens. At temperature 0, the model always picks the single most probable token, producing deterministic, sometimes repetitive output. At a moderate setting like 0.7, output balances coherence with variety, a common default. Push temperature past 1.0 and output grows more surprising, and more prone to incoherence. Given the prompt ""The best way to learn programming is..."", temperature 0 might complete it with ""...to practice regularly and work on projects,"" while a higher temperature could produce something far more exploratory in phrasing, without necessarily improving the underlying advice.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
1,219,Context Windows: The Model's Working Memory,"Understanding these mechanisms pays off immediately: tokenization awareness shapes how you write prompts, temperature choice depends on whether you want reliability or exploration, and context-window limits explain why a model can ""forget"" something you told it earlier in a long conversation, not because it's being careless, but because the information has literally scrolled out of view.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",PENDING
