chapter_number,filename,current_H1,recommended_title,word_count,H2,H3,H4,code_blocks,code_languages,tables,figures,equations,citations,external_links,callouts,exercises,learning_objectives,case_studies,references_further_reading,raw_HTML,raw_LaTeX,video_placeholders,course_module_language,potential_source_leakage,sha256
1,01-foundations.qmd,Chapter 1: Foundations of Generative AI,Foundations of Generative AI,5536,17,24,0,1,python,1,5,0,0,0,0,3,1,1,1,0,0,0,5,missing images,9cc1abaf80bee0503a6d884ec999e58c0a3b08b72cd8584da14dcf4db91f11f2
2,02-llms.qmd,Chapter 2: The Architecture of Understanding,The Architecture of Understanding,7868,13,37,23,8,python; untyped,1,10,0,0,0,0,2,1,1,1,0,0,0,6,missing images,998851911065315ca98a3d3dbbd0810ef18fdfbf430630dacffaa0a19c9a24f2
3,03-prompt-engineering.qmd,Chapter 3: The Art and Science of Prompting,The Art and Science of Prompting,9411,14,69,39,69,python; untyped,1,8,0,0,2,0,2,1,1,1,0,8,0,10,raw LaTeX; missing images,3ef2352a521aa344f44e1ef1666b37fecd2c37cadd754e1f76e013c707006f20
4,04-apis-integration.qmd,Chapter 4: Working with APIs and Integration,Working with APIs and Integration,2450,14,3,0,3,python,1,0,0,0,0,0,3,1,1,1,0,0,0,3,none detected,065a0752359d210f24f637b0b7182593dc44b948f2e78ee28cdc80bd28334b14
5,05-agents.qmd,Chapter 5: Agents — AI That Takes Action,Agents — AI That Takes Action,4016,15,13,0,1,untyped,1,2,0,0,0,0,3,1,1,1,0,0,0,5,none detected,d8a1e48d43f818c97b84dda961e08813cf5304707c90799b562a6bd14fc42be3
6,06-rag.qmd,Chapter 6: Retrieval-Augmented Generation,Retrieval-Augmented Generation,2505,14,9,0,0,,1,2,0,0,0,0,2,1,1,1,0,0,0,2,none detected,058dfd9edab2e221d86e00b047feadaf3dc75c12b3fba15b65dd31bca308ded6
7,07-finetuning.qmd,Chapter 7: Fine-tuning and Customization,Fine-tuning and Customization,2321,14,3,0,3,json; python,1,1,0,0,0,0,2,1,1,1,0,0,0,4,none detected,ddbac642ac482015a37745b6a5f649806fa71d501c519befa1d1475094ee120d
8,08-research-methods.qmd,Chapter 8: Research Methods and Literature Synthesis,Research Methods and Literature Synthesis,2489,13,3,0,0,,1,0,0,0,0,0,2,1,1,1,0,0,0,9,none detected,fc4468e050ce90846ae8689af6fa054ac0e8e6ed722cd725ebf455ab3b4b713d
9,09-multimodal.qmd,Chapter 9: Multimodal Capabilities,Multimodal Capabilities,2451,14,3,0,0,,1,0,0,0,0,0,2,1,1,1,0,0,0,5,none detected,7c1ff146ec8355824991271c5a5001633bda6ffe2a1a56281dc14d016faea6a3
10,10-evaluation.qmd,Chapter 10: Evaluating Generative AI Systems,Evaluating Generative AI Systems,2437,16,3,0,0,,1,2,0,0,0,0,2,1,1,1,0,0,0,3,none detected,03aa44404ab102c8a61bcce0349f64e230dda27b4ef8a52b4c7072888e866cca
11,11-optimization.qmd,Chapter 11: Advanced Techniques and Optimization,Advanced Techniques and Optimization,1996,12,3,0,1,python,1,0,0,0,0,0,2,1,1,1,0,0,0,2,none detected,e559db498dbfec4d31373b47ff0478f7e4469e3b76bf91b6dd710f93fec9488d
12,12-safety-alignment.qmd,"Chapter 12: AI Safety, Alignment, and Interpretability","AI Safety, Alignment, and Interpretability",2677,13,3,0,0,,1,0,0,0,0,0,3,1,1,1,0,0,0,7,none detected,9df85f0ba316f8598fa293253d67751c9c89b1d25641dfa9af6ca53169686f18
13,13-ethics.qmd,"Chapter 13: Safety, Ethics, and Responsible AI","Safety, Ethics, and Responsible AI",2381,13,3,0,2,python,1,0,0,0,0,0,3,1,1,1,0,0,0,6,none detected,825e3c9f4dd768c42481abea52a9391ada6556b920faeb2e9b9e9add22af1ec5
14,14-law-policy.qmd,"Chapter 14: Law, Policy, and Governance of AI","Law, Policy, and Governance of AI",2423,12,3,0,0,,1,0,0,0,0,0,2,1,1,1,0,0,0,6,none detected,17d2d2d00838f785d7bb8674d287a117c6679ff57507eb737b1560a5a222210d
15,15-deployment-frontier.qmd,Chapter 15: Deployment and the Road Ahead,Deployment and the Road Ahead,2726,16,3,0,0,,1,0,0,0,0,0,2,1,1,1,0,0,0,4,none detected,58a0b3426d3a629f0f1d27baa243a73b4bec947157935cfbf6677d36d7fc6ac5
