chapter,source_line,section,claim,verification,priority,source_needed
1,9,Introduction,"Welcome to your journey into the fascinating world of Generative Artificial Intelligence! If you've ever wondered how ChatGPT writes coherent essays, how Midjourney creates stunning artwork from text descriptions, or how GitHub Copilot suggests code completions, you're about to discover the foundational principles that make these remarkable capabilities possible.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,11,Introduction,"This opening chapter lays the groundwork for understanding how machines can create human-like text, images, and other content that often seems indistinguishable from human-generated work. We'll explore the remarkable evolution from simple rule-based systems of the 1960s to today's powerful Large Language Models (LLMs) that can write essays, answer complex questions, engage in creative storytelling, and even help with programming tasks.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,37,A Note on the Journey Ahead,"Generative AI represents one of the most exciting frontiers in computer science today. While the underlying mathematics can be complex, our approach will be to build intuition first, then gradually introduce the technical details. Don't worry if some concepts seem challenging at first; each chapter builds carefully on the previous one. By the end of this book, you'll have both the theoretical knowledge and the design judgment to work confidently with large language models, and to explain that knowledge clearly to people who've never encountered it.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,52,Learning Outcomes,"6. **Compare** the major model families along dimensions that matter for real decisions: capability, cost, context window, and openness",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,61,Key Terminologies and Concepts,"|**Generative AI**|AI systems that create new content (text, images, code) rather than just classifying or predicting existing data|ChatGPT writing an essay, Midjourney creating an image|",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,62,Key Terminologies and Concepts,"|**Large Language Model (LLM)**|A neural network trained on vast amounts of text data to understand and generate human-like language|GPT-4, Claude, Llama|",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,65,Key Terminologies and Concepts,"|**Transformer**|A neural network architecture that uses attention mechanisms to process sequential data in parallel|The ""T"" in GPT (Generative Pre-trained Transformer)|",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,66,Key Terminologies and Concepts,"|**Attention Mechanism**|A technique that lets a model weigh how relevant each part of the input is when producing each part of the output|Focusing on ""Paris"" when answering ""What is the capital of France?""|",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,68,Key Terminologies and Concepts,"|**Fine-tuning**|Adapting a pre-trained model to a specific task or domain using a smaller, targeted dataset|Training a medical assistant model on de-identified clinical notes|",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,72,Key Terminologies and Concepts,"|**Context Window**|The maximum amount of text (measured in tokens) a model can consider at once, including both prompt and response|A 128,000-token window can hold a lengthy document plus a long conversation|",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,121,1.2 The Evolution of Text Generation,"Understanding where we are requires knowing where we've been. The path from early AI systems to today's large language models is a story of incremental breakthroughs, dead ends, and a handful of genuinely revolutionary insights.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,127,The Early Dreamers (1950s–1960s),"**ELIZA (1966)** was the first program to convince people they were talking to something intelligent, and it was remarkably simple. Created by Joseph Weizenbaum at MIT, ELIZA used pattern matching and substitution rules to simulate a Rogerian psychotherapist. Type ""I am feeling sad today,"" and ELIZA might respond, ""Why do you say you are feeling sad today?"" ELIZA understood nothing; it recognized patterns and applied rules. Yet people grew emotionally attached to it, an early and durable lesson: humans readily anthropomorphize anything that responds in human-like ways.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,135,The Neural Network Era (2000s–2010s),"Neural networks, invented decades earlier, became practical for language in the 2000s as computing power and training techniques improved. **Recurrent Neural Networks (RNNs)** introduced a form of memory, carrying information forward from earlier in a sequence rather than only looking at immediate neighbors. **Long Short-Term Memory (LSTM)** networks solved a critical weakness: plain RNNs tended to ""forget"" information over long sequences. LSTMs added gates that control what to remember, forget, and output. By the mid-2010s, LSTM-based systems powered genuinely useful products: predictive text, dramatically improved machine translation, and early conversational agents. But processing remained sequential, one word at a time, which made training slow and long documents difficult to handle well.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,141,The Transformer Revolution (2017–Present),"GPT-1 (2018) showed that pre-training on a broad text corpus, then fine-tuning for specific tasks, beat purpose-built systems across multiple benchmarks. GPT-2 (2019) generated coherent multi-paragraph text at a scale that made OpenAI initially withhold the full model over misuse concerns, an early hint of the ethical questions this book returns to throughout. GPT-3 (2020) demonstrated striking few-shot learning: shown just a couple of examples in the prompt itself, it could perform tasks it was never explicitly trained on.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,143,The Transformer Revolution (2017–Present),"The generations since have added multimodal understanding (text and images together), stronger reasoning, open-weight alternatives that broadened who can build on this technology, and increasingly tight integration with real-world tools and data. We'll meet today's major model families in section 1.7.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,149,The Transformer Revolution (2017–Present),The most remarkable part? We're still in the early days of this revolution. The architecture that powers today's most capable systems is less than a decade old.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,187,Core Architecture Components,Some models use an **encoder-decoder** structure: think of a translator who fully understands a sentence in one language (the encoder) before producing it in another (the decoder). GPT-family models are decoder-only; BERT-family models are encoder-only. Different structures suit different tasks.,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,217,Context Windows: The Model's Working Memory,"Every LLM has a **context window**, the maximum text it can consider at once, counting both your input and its output. Context windows have grown from a few thousand tokens in early models to hundreds of thousands in current ones, a change that has real consequences: a longer window lets a model reason over an entire contract or codebase at once, but it also costs more to process, and text that falls outside the window is, as far as the model is concerned, simply not there. We'll return to exactly how large this gap can get, and how retrieval systems work around it, in Chapter 6.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,233,You Are What You Eat,"A model's knowledge, and its blind spots, are a direct reflection of its training data. A model trained heavily on English-language, Western-centric internet text will be fluent about topics well-represented there and noticeably weaker on topics, languages, and perspectives that are underrepresented, not because the underlying architecture is biased toward English, but because the data was. This matters enormously for global deployment: a research assistant built for East African agricultural policy, for instance, will only be as good as its training and retrieval sources allow it to be on that specific domain, and generic internet-scale training is unlikely to have deep, accurate coverage of it.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,247,1.7 Meeting the Major Model Families,"You don't need to memorize a leaderboard, model rankings shift constantly, but you do need a durable mental map of how the major providers differ, because that map is what lets you make good decisions long after today's specific model names are obsolete.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,249,1.7 Meeting the Major Model Families,"**OpenAI's GPT family** established much of the commercial template for LLM products: broad general capability, a large third-party ecosystem, and continual expansion into multimodal input and tool use.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,251,1.7 Meeting the Major Model Families,"**Anthropic's Claude family** places particular emphasis on being helpful, honest, and safe by design, an approach called Constitutional AI, which trains the model against a written set of principles rather than relying solely on human feedback after the fact. We'll unpack Constitutional AI properly in Chapter 12.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
1,253,1.7 Meeting the Major Model Families,"**Google's Gemini family** was built multimodal from the start rather than adding it later, and benefits from tight integration with Google's existing infrastructure and search capabilities.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,255,1.7 Meeting the Major Model Families,"**Meta's Llama family**, and the broader open-weight ecosystem it helped popularize, made it possible for researchers, startups, and hobbyists to download, inspect, modify, and self-host serious language models rather than only accessing them through an API. This openness carries real trade-offs, discussed further in Chapter 4, between control and convenience.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,259,The Model Landscape: How to Think About Choices,"Rather than asking ""which model is best,"" a more useful question is ""best for what, at what cost, under what constraints?"" Four dimensions matter most in practice:",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,262,The Model Landscape: How to Think About Choices,- **Context window**: How much information does your task need the model to hold in view at once?,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,263,The Model Landscape: How to Think About Choices,"- **Cost and latency**: What does each request cost, and how fast does it need to respond?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
1,264,The Model Landscape: How to Think About Choices,"- **Openness and control**: Do you need to self-host for privacy or customization reasons, or is an API sufficient?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
