figure_id,chapter,section,source_file,image_path,caption,alt_text,declared_width,format,file_exists,file_sha256
fig-waterfall-model,1,The Waterfall Model,chapters/01-introduction.qmd,../assets/images/ch1_fig1_waterfall_model.svg,The Waterfall Model - sequential phases flow downward,The Waterfall Model - sequential phases flow downward,62%,svg,True,b5feec1b9bd240c6bbe44892c4c1a36bc3a2afa0a0361a0d1da2af2648364fcc
fig-spiral-model,1,The Spiral Model,chapters/01-introduction.qmd,../assets/images/ch1_fig2_spiral_model.svg,The Spiral Model - risk-driven iterative development,The Spiral Model - risk-driven iterative development,68%,svg,True,24d89f09c23888f08b50321fdd40df5a8ad325f0aa0321f16829532e1eec5e23
fig-devops-lifecycle,1,DevOps,chapters/01-introduction.qmd,../assets/images/ch1_fig3_devops_lifecycle.svg,"The DevOps Lifecycle - continuous integration, delivery, and feedback","The DevOps Lifecycle - continuous integration, delivery, and feedback",72%,svg,True,dc111f84bb1ef5a14821fc817348b497d2cf3571b6245cd43271aab34bce50ce
fig-intro-git-branching,1,Understanding Git,chapters/01-introduction.qmd,../assets/images/ch1_fig4_git_branching.svg,"Feature branch created from main, developed, then merged back","Feature branch created from main, developed, then merged back",72%,svg,True,7b2209e23353db6ef7027a1fca4a17818536a3914954ee89934896df88a354d5
figure-0005,1,Repository Structure and Documentation,chapters/01-introduction.qmd,../assets/images/ch1_fig5_repo_structure.svg,Repository Structure,Repository Structure,,svg,True,790a3a936be6aa0bad727bb30a983c86bc47bb6ebfc8148fe5675b928475d1e4
figure-0006,1,Branching Strategies,chapters/01-introduction.qmd,../assets/images/ch1_fig6_github_flow.svg,GitHub Flow,GitHub Flow,,svg,True,507616fe63dfc0baa8f837522b39d7de2c0f81ce463ef562388c944b0f628cfe
figure-0007,1,Branching Strategies,chapters/01-introduction.qmd,../assets/images/ch1_fig7_gitflow.svg,Gitflow,Gitflow,,svg,True,b2bd0ca1d2e510d340430420cac0f285f935b92ed2d3af2121017720b57424d9
figure-0008,2,Why Requirements Matter,chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig2_defect_cost.svg,Defect Cost Increase,Defect Cost Increase,,svg,True,6f848ca49352bc407c4b0529b13ad6a90f000245932014f08044ed99fcd74257
figure-0009,2,The Requirements Engineering Process,chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig1_re_process.svg,Requirements Engineering Process,Requirements Engineering Process,,svg,True,8f0c769ad6efaa52e4908b4ada669b6b35d7c3a9824d9ada9f748bdf58817e67
figure-0010,2,Writing Effective User Stories,chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig7_invest.svg,INVEST Criteria,INVEST Criteria,,svg,True,b7948e14e4f8f293c49c45eb1a7e29e17698891f159f08846343289f23c4b92e
figure-0011,2,"Epics, Stories, and Tasks",chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig3_epic_story_task.svg,"Epics, Stories, and Tasks Hierarchy","Epics, Stories, and Tasks Hierarchy",,svg,True,9409c5fd5698f0594b8f3b2091746aca4be6eb429d0cd8f736abd8549e6b7432
figure-0012,2,Story Mapping,chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig4_story_map.svg,User Story Mapping,User Story Mapping,,svg,True,a897bd1a3d9036700363d12748911d2a478208d2a6ea5f7f055276cc1de5599c
figure-0013,2,Writing an SRS: Section by Section,chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig5_context_diagram.svg,Context Diagram,Context Diagram,,svg,True,85cdf7771e6cf6548d0acd5627ce84da26b8e5f2cf8103605ea7dc24f31e5ded
figure-0014,2,Types of Traceability,chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig6_traceability.svg,Traceability Types,Traceability Types,,svg,True,31d0932855a544a318c0061cace5717876adf2f9f21b830be2b4716fe9aa5333
figure-0015,2,Scope Creep,chapters/02-requirements-engineering.qmd,../assets/images/ch2_fig9_moscow.svg,MoSCoW Prioritization,MoSCoW Prioritization,,svg,True,79198d5d1e24a7697e3212c66715065349ed2995609104bf148cafc081d347d9
figure-0016,3,UML Diagram Types,chapters/03-systems-modeling.qmd,../assets/images/ch3_fig1_uml_types.svg,UML Diagram Types,UML Diagram Types,,svg,True,7ad47183a85785784deec38b510989271f5d2af384f8da9931d1023711bc9fd1
