chapter,section,source,caption,format,exists,dimensions,semantic_role,print_suitability,web_suitability
1,Key Distinctions: The Analyst vs. The Creator,../assets/images/chapters/ch01_img7.svg,Discriminative AI vs. Generative AI — Fundamental Approaches to Artificial Intelligence,svg,False,unknown,instructional,missing source,missing source
1,The Transformer Revolution (2017–Present),../assets/images/chapters/ch01_img1.svg,The Evolution of Text Generation — From Rule-Based Systems to Modern Transformers,svg,False,unknown,instructional,missing source,missing source
1,Core Architecture Components,../assets/images/chapters/ch01_img10.svg,Transformer Architecture — Core Components and Information Flow,svg,False,unknown,instructional,missing source,missing source
1,Context Windows: The Model's Working Memory,../assets/images/chapters/ch01_img8.png,Summary of Foundational Concepts in Generative AI,png,False,unknown,instructional,missing source,missing source
1,The Model Landscape: How to Think About Choices,caption only,"Model family comparison across capability, context, cost, and openness",proposed,False,N/A,instructional,missing source,missing source
2,Enter the Attention Mechanism,../assets/images/chapters/figure_2_1_attention_mechanism.svg,Attention Mechanism Visualization - How transformers weigh word relationships,svg,False,unknown,instructional,missing source,missing source
2,Multi-Head Attention: Multiple Specialists Working Together,../assets/images/chapters/figure_2_2_multi_head_attention.svg,Multi-Head Attention - Different heads focusing on different relationship types,svg,False,unknown,instructional,missing source,missing source
2,3. The Processing Stack: Building Understanding Layer by Layer,../assets/images/chapters/figure_2_3_layer_stack.svg,Transformer Layer Stack - Progressive sophistication through depth,svg,False,unknown,instructional,missing source,missing source
2,The Deceptively Simple Objective,../assets/images/chapters/figure_2_4_pretraining.svg,Pre-training Process - Learning language patterns at massive scale,svg,False,unknown,instructional,missing source,missing source
2,RLHF: Aligning with Human Values,../assets/images/chapters/figure_2_5_rlhf.svg,RLHF Process - Learning from human preferences,svg,False,unknown,instructional,missing source,missing source
2,Autoregressive Generation: One Word at a Time,../assets/images/chapters/figure_2_6_autoregressive.svg,Autoregressive Generation - Building responses token by token,svg,False,unknown,instructional,missing source,missing source
2,Small Models (1B-7B parameters): The Swift Specialists,../assets/images/chapters/figure_2_7_model_comparison.svg,Small vs. Large Model Performance Comparison,svg,False,unknown,instructional,missing source,missing source
2,Large Models (70B+ parameters): The Heavy Hitters,../assets/images/chapters/figure_2_8_decision_matrix.svg,Model Size vs. Task Complexity Decision Matrix,svg,False,unknown,instructional,missing source,missing source
2,Gemini: The Multimodal Future,../assets/images/chapters/figure_2_9_model_families.svg,Model Family Comparison Matrix - Strengths and specializations,svg,False,unknown,instructional,missing source,missing source
2,What Intelligent Routing Actually Decides,caption only,"The three-layer decision a model router makes: analyze, route, monitor",proposed,False,N/A,instructional,missing source,missing source
3,5. **Constraints and Guidelines: What Are the Boundaries?**,/assets/images/chapters/figure_3_1_prompt_anatomy.svg,The Five Pillars of Effective Prompt Structure,svg,False,unknown,instructional,missing source,missing source
3,Few-Shot: Establishing the Pattern,../assets/images/chapters/figure_3_2_few_shot_impact.svg,Few-Shot Learning dramatically improves consistency and format adherence,svg,False,unknown,instructional,missing source,missing source
3,Recursive CoT: Breaking Down Complexity,../assets/images/chapters/figure_3_3_cot_process.svg,How Chain-of-Thought Prompting Improves Reasoning Quality,svg,False,unknown,instructional,missing source,missing source
3,Template Category 4: Comparison,../assets/images/chapters/figure_3_4_template_selection.svg,Selecting the Right Template Based on Query Type,svg,False,unknown,instructional,missing source,missing source
3,4. Prompt Leaking,../assets/images/chapters/figure_3_5_injection_attacks.svg,Common Prompt Injection Attack Patterns and Defense Strategies,svg,False,unknown,instructional,missing source,missing source
3,Step 6: Decision and Rollout,../assets/images/chapters/figure_3_6_ab_testing.svg,Systematic A/B Testing Process for Prompt Optimization,svg,False,unknown,instructional,missing source,missing source
3,Designing Instead of Building,caption only,From query to response — where a prompt library sits between query analysis and generation,proposed,False,N/A,instructional,missing source,missing source
3,The Anatomy of Effective Prompts,assets/images/chapters/marcus.png,Marcus vignette illustration,png,False,unknown,narrative illustration,missing; raw wrapfigure,raw LaTeX invisible
5,The Human-in-the-Loop Spectrum,caption only,"The human-in-the-loop spectrum, from fully manual to fully autonomous",proposed,False,N/A,instructional,missing source,missing source
5,Reflexion: Learning From the Last Attempt,caption only,"Three agent architectures compared — ReAct's step-by-step loop, plan-and-execute's upfront plan, and Reflexion's revise-and-retry cycle",proposed,False,N/A,instructional,missing source,missing source
6,The Two-Stage Architecture,caption only,"The RAG architecture — retrieve, then generate",proposed,False,N/A,instructional,missing source,missing source
6,Connecting to Your Project: A RAG Design Document,caption only,RAG-enhanced architecture — from document ingestion through retrieval to grounded response,proposed,False,N/A,instructional,missing source,missing source
7,7.1 When to Fine-tune: A Decision Framework,caption only,Customization decision framework — prompting → RAG → fine-tuning,proposed,False,N/A,instructional,missing source,missing source
10,10.2 Defining Success Before You Measure Anything,caption only,"From business goal to measurable metric, and where proxy metrics quietly substitute for the real target",proposed,False,N/A,instructional,missing source,missing source
10,10.7 Testing and Quality Assurance,caption only,"An evaluation pyramid — unit-level prompt checks, integration tests, and full red-team exercises, each catching different failure classes",proposed,False,N/A,instructional,missing source,missing source
