chapter,source_file,heading_level,heading_text,identifier,source_line,source_order
1,chapters/01-introduction.qmd,1,Introduction to Software Engineering,introduction-to-software-engineering,1,1
1,chapters/01-introduction.qmd,2,Learning Objectives,learning-objectives,3,2
1,chapters/01-introduction.qmd,2,What Is Software Engineering?,what-is-software-engineering,16,3
1,chapters/01-introduction.qmd,3,Software Engineering vs. Programming,software-engineering-vs-programming,33,4
1,chapters/01-introduction.qmd,3,A Brief History of Software Engineering,a-brief-history-of-software-engineering,51,5
1,chapters/01-introduction.qmd,2,The Role of Software Engineering in Modern Systems,the-role-of-software-engineering-in-modern-systems,76,6
1,chapters/01-introduction.qmd,3,Software Is Everywhere,software-is-everywhere,80,7
1,chapters/01-introduction.qmd,3,The Cost of Software Failures,the-cost-of-software-failures,94,8
1,chapters/01-introduction.qmd,3,The Value of Good Software Engineering,the-value-of-good-software-engineering,108,9
1,chapters/01-introduction.qmd,2,The Software Development Life Cycle (SDLC),the-software-development-life-cycle-sdlc,124,10
1,chapters/01-introduction.qmd,3,The Waterfall Model,the-waterfall-model,139,11
1,chapters/01-introduction.qmd,3,Agile Methodology,agile-methodology,171,12
1,chapters/01-introduction.qmd,3,The Spiral Model,the-spiral-model,228,13
1,chapters/01-introduction.qmd,3,DevOps,devops,255,14
1,chapters/01-introduction.qmd,3,Choosing an SDLC Model,choosing-an-sdlc-model,294,15
1,chapters/01-introduction.qmd,2,Version Control with Git and GitHub,version-control-with-git-and-github,314,16
1,chapters/01-introduction.qmd,3,Why Version Control Matters,why-version-control-matters,318,17
1,chapters/01-introduction.qmd,3,Understanding Git,understanding-git,337,18
1,chapters/01-introduction.qmd,3,Essential Git Commands,essential-git-commands,367,19
1,chapters/01-introduction.qmd,3,GitHub and Remote Collaboration,github-and-remote-collaboration,445,20
1,chapters/01-introduction.qmd,3,Writing Good Commit Messages,writing-good-commit-messages,492,21
1,chapters/01-introduction.qmd,3,Repository Structure and Documentation,repository-structure-and-documentation,548,22
1,chapters/01-introduction.qmd,2,Collaborative Workflows,collaborative-workflows,601,23
1,chapters/01-introduction.qmd,3,Branching Strategies,branching-strategies,605,24
1,chapters/01-introduction.qmd,3,Code Reviews,code-reviews,642,25
1,chapters/01-introduction.qmd,3,Communication Tools,communication-tools,668,26
1,chapters/01-introduction.qmd,2,Your Semester Project,your-semester-project,680,27
1,chapters/01-introduction.qmd,3,Project Overview,project-overview,684,28
1,chapters/01-introduction.qmd,3,Weekly Milestones,weekly-milestones,698,29
1,chapters/01-introduction.qmd,3,This Week's Deliverables,this-week-s-deliverables,721,30
1,chapters/01-introduction.qmd,2,Chapter Summary,chapter-summary,741,31
1,chapters/01-introduction.qmd,2,Key Terms,key-terms,769,32
1,chapters/01-introduction.qmd,2,Review Questions,review-questions,788,33
1,chapters/01-introduction.qmd,2,Hands-On Exercises,hands-on-exercises,812,34
1,chapters/01-introduction.qmd,3,Exercise 1.1: Git Basics,exercise-1-1-git-basics,814,35
1,chapters/01-introduction.qmd,3,Exercise 1.2: Branching Practice,exercise-1-2-branching-practice,838,36
1,chapters/01-introduction.qmd,3,Exercise 1.3: Repository Setup,exercise-1-3-repository-setup,860,37
1,chapters/01-introduction.qmd,3,Exercise 1.4: Project Proposal,exercise-1-4-project-proposal,871,38
1,chapters/01-introduction.qmd,2,Further Reading,further-reading,885,39
1,chapters/01-introduction.qmd,2,References,references,902,40
2,chapters/02-requirements-engineering.qmd,1,Requirements Engineering,requirements-engineering,1,41
2,chapters/02-requirements-engineering.qmd,2,Learning Objectives,learning-objectives,3,42
2,chapters/02-requirements-engineering.qmd,2,The Foundation of Software Projects,the-foundation-of-software-projects,17,43
2,chapters/02-requirements-engineering.qmd,3,Why Requirements Matter,why-requirements-matter,25,44
2,chapters/02-requirements-engineering.qmd,3,The Requirements Engineering Process,the-requirements-engineering-process,42,45
2,chapters/02-requirements-engineering.qmd,2,Types of Requirements,types-of-requirements,60,46
2,chapters/02-requirements-engineering.qmd,3,Functional Requirements,functional-requirements,64,47
2,chapters/02-requirements-engineering.qmd,3,Non-Functional Requirements,non-functional-requirements,96,48
2,chapters/02-requirements-engineering.qmd,3,The Relationship Between Functional and Non-Functional Requirements,the-relationship-between-functional-and-non-functional-requirements,153,49
2,chapters/02-requirements-engineering.qmd,3,Constraints and Assumptions,constraints-and-assumptions,167,50
2,chapters/02-requirements-engineering.qmd,2,Requirements Elicitation Techniques,requirements-elicitation-techniques,190,51
2,chapters/02-requirements-engineering.qmd,3,Stakeholder Interviews,stakeholder-interviews,196,52
2,chapters/02-requirements-engineering.qmd,3,Questionnaires and Surveys,questionnaires-and-surveys,245,53
2,chapters/02-requirements-engineering.qmd,3,Observation and Ethnography,observation-and-ethnography,274,54
2,chapters/02-requirements-engineering.qmd,3,Workshops and Focus Groups,workshops-and-focus-groups,306,55
2,chapters/02-requirements-engineering.qmd,3,Document Analysis,document-analysis,341,56
2,chapters/02-requirements-engineering.qmd,3,Prototyping,prototyping,366,57
2,chapters/02-requirements-engineering.qmd,3,Analyzing Existing Systems,analyzing-existing-systems,399,58
2,chapters/02-requirements-engineering.qmd,2,User Stories and Acceptance Criteria,user-stories-and-acceptance-criteria,419,59
2,chapters/02-requirements-engineering.qmd,3,The User Story Format,the-user-story-format,423,60
2,chapters/02-requirements-engineering.qmd,3,Writing Effective User Stories,writing-effective-user-stories,445,61
2,chapters/02-requirements-engineering.qmd,3,Acceptance Criteria,acceptance-criteria,491,62
2,chapters/02-requirements-engineering.qmd,3,"Epics, Stories, and Tasks",epics-stories-and-tasks,555,63
2,chapters/02-requirements-engineering.qmd,3,Story Mapping,story-mapping,592,64
2,chapters/02-requirements-engineering.qmd,2,The Software Requirements Specification (SRS),the-software-requirements-specification-srs,610,65
2,chapters/02-requirements-engineering.qmd,3,Purpose of the SRS,purpose-of-the-srs,614,66
2,chapters/02-requirements-engineering.qmd,3,SRS Structure (IEEE 830),srs-structure-ieee-830,642,67
2,chapters/02-requirements-engineering.qmd,3,Writing an SRS: Section by Section,writing-an-srs-section-by-section,682,68
2,chapters/02-requirements-engineering.qmd,3,Characteristics of Good Requirements,characteristics-of-good-requirements,887,69
2,chapters/02-requirements-engineering.qmd,2,Requirements Traceability,requirements-traceability,919,70
2,chapters/02-requirements-engineering.qmd,3,Why Traceability Matters,why-traceability-matters,923,71
2,chapters/02-requirements-engineering.qmd,3,The Requirements Traceability Matrix (RTM),the-requirements-traceability-matrix-rtm,941,72
2,chapters/02-requirements-engineering.qmd,3,Types of Traceability,types-of-traceability,963,73
2,chapters/02-requirements-engineering.qmd,3,Maintaining the RTM,maintaining-the-rtm,985,74
2,chapters/02-requirements-engineering.qmd,3,Traceability in Agile Projects,traceability-in-agile-projects,1011,75
2,chapters/02-requirements-engineering.qmd,2,Managing Requirements Challenges,managing-requirements-challenges,1034,76
2,chapters/02-requirements-engineering.qmd,3,Scope Creep,scope-creep,1038,77
2,chapters/02-requirements-engineering.qmd,3,Ambiguous Requirements,ambiguous-requirements,1072,78
2,chapters/02-requirements-engineering.qmd,3,Conflicting Requirements,conflicting-requirements,1100,79
2,chapters/02-requirements-engineering.qmd,3,Changing Requirements,changing-requirements,1122,80
2,chapters/02-requirements-engineering.qmd,2,Requirements in Practice: Tools and Techniques,requirements-in-practice-tools-and-techniques,1144,81
2,chapters/02-requirements-engineering.qmd,3,Requirements Management Tools,requirements-management-tools,1146,82
2,chapters/02-requirements-engineering.qmd,3,Using GitHub for Requirements,using-github-for-requirements,1182,83
2,chapters/02-requirements-engineering.qmd,2,Chapter Summary,chapter-summary,1222,84
2,chapters/02-requirements-engineering.qmd,2,Key Terms,key-terms,1244,85
2,chapters/02-requirements-engineering.qmd,2,Review Questions,review-questions,1263,86
2,chapters/02-requirements-engineering.qmd,2,Hands-On Exercises,hands-on-exercises,1287,87
2,chapters/02-requirements-engineering.qmd,3,Exercise 2.1: Elicitation Practice,exercise-2-1-elicitation-practice,1289,88
2,chapters/02-requirements-engineering.qmd,3,Exercise 2.2: Writing User Stories,exercise-2-2-writing-user-stories,1297,89
2,chapters/02-requirements-engineering.qmd,3,Exercise 2.3: Requirement Analysis,exercise-2-3-requirement-analysis,1306,90
2,chapters/02-requirements-engineering.qmd,3,Exercise 2.4: Software Requirements Specification,exercise-2-4-software-requirements-specification,1317,91
2,chapters/02-requirements-engineering.qmd,3,Exercise 2.5: Requirements Traceability Matrix,exercise-2-5-requirements-traceability-matrix,1327,92
2,chapters/02-requirements-engineering.qmd,3,Exercise 2.6: GitHub Project Setup,exercise-2-6-github-project-setup,1337,93
2,chapters/02-requirements-engineering.qmd,2,Further Reading,further-reading,1349,94
2,chapters/02-requirements-engineering.qmd,2,References,references,1371,95
3,chapters/03-systems-modeling.qmd,1,Systems Modeling and UML,systems-modeling-and-uml,1,96
3,chapters/03-systems-modeling.qmd,2,Learning Objectives,learning-objectives,3,97
3,chapters/03-systems-modeling.qmd,2,Why Model Software Systems?,why-model-software-systems,18,98
3,chapters/03-systems-modeling.qmd,3,The Purpose of Models,the-purpose-of-models,24,99
3,chapters/03-systems-modeling.qmd,3,Benefits of Modeling,benefits-of-modeling,39,100
3,chapters/03-systems-modeling.qmd,3,Modeling in Different Contexts,modeling-in-different-contexts,51,101
3,chapters/03-systems-modeling.qmd,2,Introduction to UML,introduction-to-uml,70,102
3,chapters/03-systems-modeling.qmd,3,UML Diagram Types,uml-diagram-types,74,103
3,chapters/03-systems-modeling.qmd,3,UML Notation Basics,uml-notation-basics,113,104
3,chapters/03-systems-modeling.qmd,2,Use Case Diagrams,use-case-diagrams,147,105
3,chapters/03-systems-modeling.qmd,3,Use Case Diagram Elements,use-case-diagram-elements,151,106
