table_id,chapter,section,source_file,source_line,rows,columns,caption,status
table-0001,1,Software Engineering vs. Programming,chapters/01-introduction.qmd,37,8,3,,SOURCE
table-0002,1,Choosing an SDLC Model,chapters/01-introduction.qmd,298,8,5,,SOURCE
table-0003,1,Weekly Milestones,chapters/01-introduction.qmd,702,17,2,,SOURCE
table-0004,1,Key Terms,chapters/01-introduction.qmd,771,13,2,,SOURCE
table-0005,2,Characteristics of Good Requirements,chapters/02-requirements-engineering.qmd,909,6,3,,SOURCE
table-0006,2,The Requirements Traceability Matrix (RTM),chapters/02-requirements-engineering.qmd,947,5,6,,SOURCE
table-0007,2,The Requirements Traceability Matrix (RTM),chapters/02-requirements-engineering.qmd,956,5,7,,SOURCE
table-0008,2,Key Terms,chapters/02-requirements-engineering.qmd,1246,13,2,,SOURCE
table-0009,3,UML Diagram Types,chapters/03-systems-modeling.qmd,80,8,2,,SOURCE
table-0010,3,UML Diagram Types,chapters/03-systems-modeling.qmd,92,8,2,,SOURCE
table-0011,3,Matching Diagrams to Questions,chapters/03-systems-modeling.qmd,939,8,2,,SOURCE
table-0012,3,Key Terms,chapters/03-systems-modeling.qmd,1168,15,2,,SOURCE
table-0013,4,SOLID Summary,chapters/04-software-architecture.qmd,847,6,3,,SOURCE
table-0014,4,Design Patterns Summary,chapters/04-software-architecture.qmd,1602,10,3,,SOURCE
table-0015,4,Key Terms,chapters/04-software-architecture.qmd,1847,15,2,,SOURCE
table-0016,5,Understanding Users,chapters/05-ui-ux.qmd,215,7,3,,SOURCE
table-0017,5,Applying Heuristics: Heuristic Evaluation,chapters/05-ui-ux.qmd,616,5,5,,SOURCE
table-0018,5,Prototyping Tools,chapters/05-ui-ux.qmd,862,7,2,,SOURCE
table-0019,5,Breakpoints,chapters/05-ui-ux.qmd,1141,6,2,,SOURCE
table-0020,5,Figma Basics,chapters/05-ui-ux.qmd,1846,10,3,,SOURCE
table-0021,5,Key Terms,chapters/05-ui-ux.qmd,1950,16,2,,SOURCE
table-0022,6,Scrum vs. Kanban,chapters/06-agile-methodologies.qmd,940,8,3,,SOURCE
table-0023,6,When to Use XP Practices,chapters/06-agile-methodologies.qmd,1094,6,3,,SOURCE
table-0024,6,Other Tools,chapters/06-agile-methodologies.qmd,1421,7,2,,SOURCE
table-0025,6,Key Terms,chapters/06-agile-methodologies.qmd,1963,16,2,,SOURCE
table-0026,7,Rebasing,chapters/07-version-control.qmd,193,6,4,,SOURCE
table-0027,7,Gitflow,chapters/07-version-control.qmd,326,6,2,,SOURCE
table-0028,7,GitHub Flow,chapters/07-version-control.qmd,446,6,2,,SOURCE
table-0029,7,Trunk-Based Development,chapters/07-version-control.qmd,543,6,2,,SOURCE
table-0030,7,Comparing Branching Strategies,chapters/07-version-control.qmd,561,8,4,,SOURCE
table-0031,7,Key Terms,chapters/07-version-control.qmd,2214,16,2,,SOURCE
table-0032,8,System Testing,chapters/08-testing-quality.qmd,372,7,2,,SOURCE
table-0033,8,End-to-End (E2E) Testing,chapters/08-testing-quality.qmd,498,5,3,,SOURCE
table-0034,8,Performance Testing,chapters/08-testing-quality.qmd,2422,5,3,,SOURCE
table-0035,8,Key Terms,chapters/08-testing-quality.qmd,2613,16,2,,SOURCE
table-0036,9,Key Terms,chapters/09-cicd.qmd,2847,16,2,,SOURCE
table-0037,10,Key Terms,chapters/10-data-management.qmd,2736,16,2,,SOURCE
table-0038,11,Key Terms,chapters/11-cloud-services.qmd,2300,16,2,,SOURCE
table-0039,12,Key Terms,chapters/12-security.qmd,1857,16,2,,SOURCE
table-0040,13,Semantic Versioning,chapters/13-maintenance-evolution.qmd,1333,6,3,,SOURCE
table-0041,13,Key Terms,chapters/13-maintenance-evolution.qmd,1724,15,2,,SOURCE
table-0042,14,Key Terms,chapters/14-ethics-professionalism.qmd,776,15,2,,SOURCE
table-0043,15,Key Terms,chapters/15-final-project-integration.qmd,968,14,2,,SOURCE
