chapter,section,source_line,proposed_visual,reason,priority
1,Key Distinctions: The Analyst vs. The Creator,89,Discriminative AI vs. Generative AI — Fundamental Approaches to Artificial Intelligence,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
1,The Transformer Revolution (2017–Present),147,The Evolution of Text Generation — From Rule-Based Systems to Modern Transformers,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
1,Core Architecture Components,195,Transformer Architecture — Core Components and Information Flow,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
1,Context Windows: The Model's Working Memory,223,Summary of Foundational Concepts in Generative AI,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
1,The Model Landscape: How to Think About Choices,266,"Model family comparison across capability, context, cost, and openness",Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,Enter the Attention Mechanism,134,Attention Mechanism Visualization - How transformers weigh word relationships,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,Multi-Head Attention: Multiple Specialists Working Together,158,Multi-Head Attention - Different heads focusing on different relationship types,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,3. The Processing Stack: Building Understanding Layer by Layer,193,Transformer Layer Stack - Progressive sophistication through depth,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,The Deceptively Simple Objective,295,Pre-training Process - Learning language patterns at massive scale,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,RLHF: Aligning with Human Values,358,RLHF Process - Learning from human preferences,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,Autoregressive Generation: One Word at a Time,394,Autoregressive Generation - Building responses token by token,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,Small Models (1B-7B parameters): The Swift Specialists,488,Small vs. Large Model Performance Comparison,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,Large Models (70B+ parameters): The Heavy Hitters,538,Model Size vs. Task Complexity Decision Matrix,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,Gemini: The Multimodal Future,770,Model Family Comparison Matrix - Strengths and specializations,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
2,What Intelligent Routing Actually Decides,821,"The three-layer decision a model router makes: analyze, route, monitor",Existing manuscript visual reference requires original artwork or a new instructional SVG,high
3,5. **Constraints and Guidelines: What Are the Boundaries?**,194,The Five Pillars of Effective Prompt Structure,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
3,Few-Shot: Establishing the Pattern,322,Few-Shot Learning dramatically improves consistency and format adherence,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
3,Recursive CoT: Breaking Down Complexity,622,How Chain-of-Thought Prompting Improves Reasoning Quality,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
3,Template Category 4: Comparison,893,Selecting the Right Template Based on Query Type,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
3,4. Prompt Leaking,1155,Common Prompt Injection Attack Patterns and Defense Strategies,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
3,Step 6: Decision and Rollout,1754,Systematic A/B Testing Process for Prompt Optimization,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
3,Designing Instead of Building,1865,From query to response — where a prompt library sits between query analysis and generation,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
5,The Human-in-the-Loop Spectrum,74,"The human-in-the-loop spectrum, from fully manual to fully autonomous",Existing manuscript visual reference requires original artwork or a new instructional SVG,high
5,Reflexion: Learning From the Last Attempt,124,"Three agent architectures compared — ReAct's step-by-step loop, plan-and-execute's upfront plan, and Reflexion's revise-and-retry cycle",Existing manuscript visual reference requires original artwork or a new instructional SVG,high
6,The Two-Stage Architecture,57,"The RAG architecture — retrieve, then generate",Existing manuscript visual reference requires original artwork or a new instructional SVG,high
6,Connecting to Your Project: A RAG Design Document,119,RAG-enhanced architecture — from document ingestion through retrieval to grounded response,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
7,7.1 When to Fine-tune: A Decision Framework,53,Customization decision framework — prompting → RAG → fine-tuning,Existing manuscript visual reference requires original artwork or a new instructional SVG,high
10,10.2 Defining Success Before You Measure Anything,52,"From business goal to measurable metric, and where proxy metrics quietly substitute for the real target",Existing manuscript visual reference requires original artwork or a new instructional SVG,high
10,10.7 Testing and Quality Assurance,82,"An evaluation pyramid — unit-level prompt checks, integration tests, and full red-team exercises, each catching different failure classes",Existing manuscript visual reference requires original artwork or a new instructional SVG,high
4,Chapter-wide synthesis,,Integration architecture and failure paths,Clarify relationships currently conveyed only in prose; develop after technical review,normal
6,Chapter-wide synthesis,,"Chunking, hybrid retrieval, and reranking",Clarify relationships currently conveyed only in prose; develop after technical review,normal
7,Chapter-wide synthesis,,LoRA and QLoRA adaptation workflow,Clarify relationships currently conveyed only in prose; develop after technical review,normal
8,Chapter-wide synthesis,,"Research question, evidence appraisal, synthesis, and reproducible experiment",Clarify relationships currently conveyed only in prose; develop after technical review,normal
9,Chapter-wide synthesis,,Multimodal document ingestion and cross-modal retrieval,Clarify relationships currently conveyed only in prose; develop after technical review,normal
10,Chapter-wide synthesis,,Agent trajectory and multimodal evaluation framework,Clarify relationships currently conveyed only in prose; develop after technical review,normal
11,Chapter-wide synthesis,,Optimization pipeline with cost and latency budgets,Clarify relationships currently conveyed only in prose; develop after technical review,normal
12,Chapter-wide synthesis,,Alignment training and deployment safety layers,Clarify relationships currently conveyed only in prose; develop after technical review,normal
13,Chapter-wide synthesis,,Stakeholder impacts and ethical review,Clarify relationships currently conveyed only in prose; develop after technical review,normal
14,Chapter-wide synthesis,,Governance responsibilities and jurisdictional review,Clarify relationships currently conveyed only in prose; develop after technical review,normal
15,Chapter-wide synthesis,,Production architecture and model lifecycle,Clarify relationships currently conveyed only in prose; develop after technical review,normal
15,Chapter-wide synthesis,,Frontier research evidence map,Clarify relationships currently conveyed only in prose; develop after technical review,normal
