chapter,source_line,section,claim,verification,priority,source_needed,phase_0_verification,review_id,classification,verification_date,primary_source,source_keys,current_source_line,current_excerpt,correction,notes,resolution
1,9,Introduction,"Welcome to your journey into the fascinating world of Generative Artificial Intelligence! If you've ever wondered how ChatGPT writes coherent essays, how Midjourney creates stunning artwork from text descriptions, or how GitHub Copilot suggests code completions, you're about to discover the foundational principles that make these remarkable capabilities possible.",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-001,CURRENT_AND_DURABLE,2026-09-18,,,5,"Welcome to your journey into the fascinating world of Generative Artificial Intelligence! If you've ever wondered how ChatGPT writes coherent essays, how Midjourney creates stunning artwork from text descriptions, or how GitHub Copilot suggests code completions, you're about to discover the foundational principles that make these remarkable capabilities possible.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,11,Introduction,"This opening chapter lays the groundwork for understanding how machines can create human-like text, images, and other content that often seems indistinguishable from human-generated work. We'll explore the remarkable evolution from simple rule-based systems of the 1960s to today's powerful Large Language Models (LLMs) that can write essays, answer complex questions, engage in creative storytelling, and even help with programming tasks.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-002,CURRENT_AND_DURABLE,2026-09-18,,,7,"This opening chapter lays the groundwork for understanding how machines can create human-like text, images, and other content that often seems indistinguishable from human-generated work. We'll explore the remarkable evolution from simple rule-based systems of the 1960s to today's powerful Large Language Models (LLMs) that can write essays, answer complex questions, engage in creative storytelling, and even help with programming tasks.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,37,A Note on the Journey Ahead,"Generative AI represents one of the most exciting frontiers in computer science today. While the underlying mathematics can be complex, our approach will be to build intuition first, then gradually introduce the technical details. Don't worry if some concepts seem challenging at first; each chapter builds carefully on the previous one. By the end of this book, you'll have both the theoretical knowledge and the design judgment to work confidently with large language models, and to explain that knowledge clearly to people who've never encountered it.",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-003,ILLUSTRATIVE_ONLY,2026-09-18,,,33,"Generative AI represents one of the most exciting frontiers in computer science today. While the underlying mathematics can be complex, our approach will be to build intuition first, then gradually introduce the technical details. Don't worry if some concepts seem challenging at first; each chapter builds carefully on the previous one. By the end of this book, you'll have both the theoretical knowledge and the design judgment to work confidently with large language models, and to explain that knowledge clearly to people who've never encountered it.",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,52,Learning Outcomes,"6. **Compare** the major model families along dimensions that matter for real decisions: capability, cost, context window, and openness",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-004,ILLUSTRATIVE_ONLY,2026-09-18,,,48,"6. **Compare** the major model families along dimensions that matter for real decisions: capability, cost, context window, and openness",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
1,61,Key Terminologies and Concepts,"|**Generative AI**|AI systems that create new content (text, images, code) rather than just classifying or predicting existing data|ChatGPT writing an essay, Midjourney creating an image|",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-005,CURRENT_AND_DURABLE,2026-09-18,,,57,"|**Generative AI**|AI systems that create new content (text, images, code) rather than just classifying or predicting existing data|ChatGPT writing an essay, Midjourney creating an image|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,62,Key Terminologies and Concepts,"|**Large Language Model (LLM)**|A neural network trained on vast amounts of text data to understand and generate human-like language|GPT-4, Claude, Llama|",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-006,CURRENT_AND_DURABLE,2026-09-18,,,58,"|**Large Language Model (LLM)**|A neural network trained on vast amounts of text data to understand and generate human-like language|GPT-4, Claude, Llama|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,65,Key Terminologies and Concepts,"|**Transformer**|A neural network architecture that uses attention mechanisms to process sequential data in parallel|The ""T"" in GPT (Generative Pre-trained Transformer)|",ADJUDICATED,high,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-007,CURRENT_AND_DURABLE,2026-09-18,,,61,"|**Transformer**|A neural network architecture that uses attention mechanisms to process sequential data in parallel|The ""T"" in GPT (Generative Pre-trained Transformer)|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,66,Key Terminologies and Concepts,"|**Attention Mechanism**|A technique that lets a model weigh how relevant each part of the input is when producing each part of the output|Focusing on ""Paris"" when answering ""What is the capital of France?""|",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-008,CURRENT_AND_DURABLE,2026-09-18,,,62,"|**Attention Mechanism**|A technique that lets a model weigh how relevant each part of the input is when producing each part of the output|Focusing on ""Paris"" when answering ""What is the capital of France?""|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,68,Key Terminologies and Concepts,"|**Fine-tuning**|Adapting a pre-trained model to a specific task or domain using a smaller, targeted dataset|Training a medical assistant model on de-identified clinical notes|",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-009,CURRENT_AND_DURABLE,2026-09-18,,,64,"|**Fine-tuning**|Adapting a pre-trained model to a specific task or domain using a smaller, targeted dataset|Training a medical assistant model on de-identified clinical notes|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
1,72,Key Terminologies and Concepts,"|**Context Window**|The maximum amount of text (measured in tokens) a model can consider at once, including both prompt and response|A 128,000-token window can hold a lengthy document plus a long conversation|",ADJUDICATED,normal,"Dated primary paper, provider documentation/model card, or official legal text",PENDING,FRESHNESS-010,CURRENT_AND_DURABLE,2026-09-18,,,68,"|**Context Window**|The maximum amount of text (measured in tokens) a model can consider at once, including both prompt and response|A 128,000-token window can hold a lengthy document plus a long conversation|",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
