chapter,section,topic,earlier_or_canonical_claim,conflicting_or_overstated_claim,action,replacement,status,notes
1,Introduction,Learning objectives merge,Retain the later measurable list; add distinct goals below.,"### What You'll Learn

By the end of this chapter, you will:

- Understand the core principles that enable machines to generate human-like content
- Trace the historical evolution from early AI systems to modern generative models
- Grasp the key concepts of neural networks, transformers, and attention mechanisms
- Distinguish between different types of generative AI approaches and their use cases
- Recognize how training data shapes a model's knowledge, biases, and blind spots
- Compare the major model families and the trade-offs between them
- Evaluate the strengths, limitations, and ethical considerations of generative AI systems
",Replace wording; preserve instructional purpose,,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,A Note on the Journey Ahead,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
4,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
5,Introduction,Learning objectives merge,Retain the later measurable list; add distinct goals below.,"### What You'll Learn

By the end of this chapter, you will:

- Distinguish clearly between an AI assistant that answers and an AI agent that acts
- Understand how tool use and function calling actually work, conceptually
- Compare the major agent architectural patterns and know when each fits
- Recognize the safety and control challenges that are unique to, or dramatically amplified by, giving an AI system the ability to act
- Design a bounded, human-appropriate set of capabilities for an agent in your own domain
",Replace wording; preserve instructional purpose,,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
5,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
7,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
8,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
9,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
11,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
12,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
13,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
14,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
15,Introduction,Learning objectives heading,## Learning Objectives,## Learning Outcomes,Replace wording; preserve instructional purpose,## Learning Objectives,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Learning Objectives,Learning objectives merge,"7. **Justify**, in writing, why a given problem does or does not call for a generative approach
8. **Compare** generative approaches and their use cases, and evaluate their strengths, limitations, and ethical implications","7. **Justify**, in writing, why a given problem does or does not call for a generative approach",Replace wording; preserve instructional purpose,"7. **Justify**, in writing, why a given problem does or does not call for a generative approach
8. **Compare** generative approaches and their use cases, and evaluate their strengths, limitations, and ethical implications",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
