chapter,section,original_phrase,context,action,replacement,status
1,What Is Software Engineering?,this course,"Today, software engineering continues to evolve rapidly. The principles you'll learn in this course represent decades of accumulated wisdom from millions of projects—both successful and failed.",GENERALIZE,this book,CATALOGED
1,Your Semester Project,Your Semester Project,## Your Semester Project,GENERALIZE,your extended project,CATALOGED
1,Your Semester Project,This course,"This course is organized around a semester-long project where you'll apply everything you learn. By the end, you'll have built a complete software system from requirements through deployment.",GENERALIZE,this book,CATALOGED
1,Your Semester Project,This Week's,### This Week's Deliverables,AUTHOR_REVIEW,,CATALOGED
1,Your Semester Project,Week 1,"For Week 1, you need to:",AUTHOR_REVIEW,,CATALOGED
1,Hands-On Exercises,your semester project,Set up your semester project repository:,GENERALIZE,your extended project,CATALOGED
2,Hands-On Exercises,your semester project,"For your semester project, write 10 user stories following the ""As a... I want... so that..."" format. For each story:",GENERALIZE,your extended project,CATALOGED
2,Hands-On Exercises,your semester project,Create an SRS document for your semester project using the IEEE 830 structure as a guide. Include:,GENERALIZE,your extended project,CATALOGED
3,Hands-On Exercises,your semester project,"For your semester project, create a UML package containing:",GENERALIZE,your extended project,CATALOGED
4,Hands-On Exercises,your semester project,For your semester project:,GENERALIZE,your extended project,CATALOGED
4,Hands-On Exercises,your semester project,"Create a Software Architecture Document for your semester project, including:",GENERALIZE,your extended project,CATALOGED
5,Wireframing and Prototyping,this course,"For this course, **Figma** is recommended because it's free, web-based, collaborative, and industry-standard.",GENERALIZE,this book,CATALOGED
5,Hands-On Exercises,your semester project,For your semester project:,GENERALIZE,your extended project,CATALOGED
6,Kanban: Continuous Flow,Week 1,Week 1: 12 items completed,AUTHOR_REVIEW,,CATALOGED
6,Kanban: Continuous Flow,Week 2,Week 2: 15 items completed,AUTHOR_REVIEW,,CATALOGED
6,Kanban: Continuous Flow,Week 3,Week 3: 11 items completed,AUTHOR_REVIEW,,CATALOGED
6,Hands-On Exercises,your semester project,For your semester project:,GENERALIZE,your extended project,CATALOGED
8,Test Planning and Documentation,Week 1,Week 1-2: Unit tests for core modules,AUTHOR_REVIEW,,CATALOGED
8,Test Planning and Documentation,Week 3,Week 3: Integration tests for APIs,AUTHOR_REVIEW,,CATALOGED
8,Test Planning and Documentation,Week 4,Week 4: E2E tests for critical paths,AUTHOR_REVIEW,,CATALOGED
8,Test Planning and Documentation,Week 5,Week 5: Performance and security testing,AUTHOR_REVIEW,,CATALOGED
8,Test Planning and Documentation,Week 6,Week 6: UAT and bug fixes,AUTHOR_REVIEW,,CATALOGED
10,The Role of Data in Software Systems,this course,"Consider a task management application like the one we're building throughout this course. When a user creates a task, that data must persist beyond the current session. When they log in from a different device, their tasks should appear. When they share a project with teammates, everyone needs to see the same information. These seemingly simple requirements demand careful thought about how data flows through your system.",GENERALIZE,this book,CATALOGED
15,,Course Synthesis,# Final Project Integration and Course Synthesis,GENERALIZE,lifecycle synthesis,CATALOGED
15,The Integration Challenge,this course,"Throughout this course, you've learned individual skills and concepts: requirements engineering, system design, version control, testing, CI/CD, data management, cloud deployment, security, maintenance, and professional practice. Each topic was presented somewhat in isolation, allowing focused learning. But real software projects don't respect these boundaries—they require applying all these skills simultaneously, making tradeoffs between competing concerns, and synthesizing disparate knowledge into coherent solutions.",GENERALIZE,this book,CATALOGED
15,Course Synthesis,Course Synthesis,## Course Synthesis,GENERALIZE,lifecycle synthesis,CATALOGED
15,Course Synthesis,This course,This course has covered the breadth of software engineering—from gathering requirements through deploying and maintaining systems. Now it's time to synthesize this knowledge into a coherent understanding.,GENERALIZE,this book,CATALOGED
15,Course Synthesis,this course,"Technologies change; principles endure. Here are principles from this course that will remain relevant regardless of which languages, frameworks, or platforms dominate in the future:",GENERALIZE,this book,CATALOGED
15,Course Synthesis,What This Course Didn't Cover,### What This Course Didn't Cover,AUTHOR_REVIEW,,CATALOGED
15,Course Synthesis,this course,**Depth in specific technologies**: The course surveyed many technologies without deep expertise in any. Mastering specific technologies requires continued learning beyond this course.,GENERALIZE,this book,CATALOGED
15,Course Synthesis,This course,"**Management and leadership**: This course focused on individual contributor skills. Leading teams, managing projects, and organizational effectiveness are separate (important) topics.",GENERALIZE,this book,CATALOGED
15,Planning Continued Growth,this course,"Graduation from this course is a beginning, not an ending. Software engineering careers span decades of continuous learning and growth.",GENERALIZE,this book,CATALOGED
15,Planning Continued Growth,this course,In the weeks following this course:,GENERALIZE,this book,CATALOGED
15,Chapter Summary,This course,"**Learning continues**: This course is foundation, not destination. Continued growth requires building depth, gaining production experience, developing networks, and maintaining learning habits.",GENERALIZE,this book,CATALOGED
15,Chapter Summary,this course,"Software engineering is a craft developed over years of practice. The knowledge from this course provides tools and frameworks; the judgment to apply them well develops through experience. Approach your career with curiosity, humility, and commitment to continuous improvement, and you'll grow into an engineer who builds software that serves users and stands the test of time.",GENERALIZE,this book,CATALOGED
15,Review Questions,this course,7.  How do the concepts from different chapters of this course connect to each other?,GENERALIZE,this book,CATALOGED
15,Review Questions,this course,8.  What principles from this course will remain relevant regardless of how technology changes?,GENERALIZE,this book,CATALOGED
15,Conclusion,this course,"But learning isn't complete; it's ongoing. The software industry evolves constantly, and the best engineers are perpetual learners. Take the foundation this course has provided and build upon it through practice, curiosity, and commitment to craft.",GENERALIZE,this book,CATALOGED
