chapter,section,figure_id,current_caption,semantic_role,complexity,baseline_width,new_width,standalone_page_before,standalone_page_after,caption_action,status,notes
1,The Waterfall Model,ch1-figure-1,The Waterfall Model - sequential phases flow downward,NUMBERED_FIGURE,MEDIUM,source/default,62%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,01-introduction.qmd:143 ../assets/images/ch1_fig1_waterfall_model.svg
1,The Spiral Model,ch1-figure-2,The Spiral Model - risk-driven iterative development,NUMBERED_FIGURE,MEDIUM,source/default,68%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,01-introduction.qmd:237 ../assets/images/ch1_fig2_spiral_model.svg
1,DevOps,ch1-figure-3,"The DevOps Lifecycle - continuous integration, delivery, and feedback",NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,01-introduction.qmd:281 ../assets/images/ch1_fig3_devops_lifecycle.svg
1,Understanding Git,ch1-figure-4,"Feature branch created from main, developed, then merged back",NUMBERED_FIGURE,MEDIUM,source/default,72%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,01-introduction.qmd:361 ../assets/images/ch1_fig4_git_branching.svg
1,Repository Structure and Documentation,ch1-figure-5,Repository Structure,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,01-introduction.qmd:552 ../assets/images/ch1_fig5_repo_structure.svg
1,Branching Strategies,ch1-figure-6,GitHub Flow,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,01-introduction.qmd:619 ../assets/images/ch1_fig6_github_flow.svg
1,Branching Strategies,ch1-figure-7,Gitflow,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,01-introduction.qmd:631 ../assets/images/ch1_fig7_gitflow.svg
2,Why Requirements Matter,ch2-figure-1,Defect Cost Increase,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:29 ../assets/images/ch2_fig2_defect_cost.svg
2,The Requirements Engineering Process,ch2-figure-2,Requirements Engineering Process,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:54 ../assets/images/ch2_fig1_re_process.svg
2,Writing Effective User Stories,ch2-figure-3,INVEST Criteria,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:489 ../assets/images/ch2_fig7_invest.svg
2,"Epics, Stories, and Tasks",ch2-figure-4,"Epics, Stories, and Tasks Hierarchy",NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:559 ../assets/images/ch2_fig3_epic_story_task.svg
2,Story Mapping,ch2-figure-5,User Story Mapping,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:596 ../assets/images/ch2_fig4_story_map.svg
2,Writing an SRS: Section by Section,ch2-figure-6,Context Diagram,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:733 ../assets/images/ch2_fig5_context_diagram.svg
2,Types of Traceability,ch2-figure-7,Traceability Types,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:983 ../assets/images/ch2_fig6_traceability.svg
2,Scope Creep,ch2-figure-8,MoSCoW Prioritization,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,02-requirements-engineering.qmd:1070 ../assets/images/ch2_fig9_moscow.svg
3,UML Diagram Types,ch3-figure-1,UML Diagram Types,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:109 ../assets/images/ch3_fig1_uml_types.svg
3,Use Case Relationships,ch3-figure-2,"UML notation for actors, use cases, system boundaries, and associations",NUMBERED_FIGURE,MEDIUM,source/default,58%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:253 ../assets/images/ch3_fig2_usecase_elements.svg
3,Complete Use Case Diagram Example,ch3-figure-3,Use Case Diagram Example,NUMBERED_FIGURE,MEDIUM,source/default,78%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:259 ../assets/images/ch3_fig3_usecase_example.svg
3,Control Flow vs. Object Flow,ch3-figure-4,"UML activity notation for actions, decisions, flow, and initial and final nodes",NUMBERED_FIGURE,MEDIUM,source/default,58%,NO/UNKNOWN,VERIFY_R1,DESCRIPTIVE,REMEDIATED,03-systems-modeling.qmd:438 ../assets/images/ch3_fig4_activity_elements.svg
