chapter,section,source_line,language_class,semantic_type,line_count,runnable,requires_API,requires_external_dependency,contains_secret,expected_render,notes
1,1.9 Hands-On Exploration: Your First Comparative Study,298,python,PSEUDOCODE,6,no,indirect,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
2,The Deceptively Simple Objective,276,untyped,DATA,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
2,Supervised Fine-Tuning: Learning to Be Helpful,319,untyped,DATA,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Mixed prompt/response transcript
2,RLHF: Aligning with Human Values,341,untyped,DATA,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Mixed prompt/response transcript
2,Autoregressive Generation: One Word at a Time,377,untyped,MODEL_RESPONSE,7,no,indirect,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
2,The Temperature Dial: Balancing Creativity and Consistency,402,untyped,MODEL_RESPONSE,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Mixed prompt/response transcript
2,The Temperature Dial: Balancing Creativity and Consistency,409,untyped,MODEL_RESPONSE,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Mixed prompt/response transcript
2,The Temperature Dial: Balancing Creativity and Consistency,416,untyped,MODEL_RESPONSE,3,no,no,none,no detected,"labeled, wrapping, page-breakable block",Mixed prompt/response transcript
2,"A Decision Framework, Not a Build",834,python,PSEUDOCODE,9,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,The Vague Prompt (What Most People Start With),104,untyped,PROMPT,1,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,The Structured Prompt (Engineered for Results),112,untyped,PROMPT,14,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,4. **Format Specification: How Should It Look?**,168,untyped,PROMPT,5,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,5. **Constraints and Guidelines: What Are the Boundaries?**,182,untyped,PROMPT,6,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,The CLEAR Framework: A Systematic Approach,212,untyped,PROMPT,19,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Zero-Shot: Relying on Training Alone,272,untyped,PROMPT,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Zero-Shot: Relying on Training Alone,279,untyped,MODEL_RESPONSE,3,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Few-Shot: Establishing the Pattern,291,untyped,PROMPT,15,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Few-Shot: Establishing the Pattern,311,untyped,MODEL_RESPONSE,1,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,The Art of Example Selection,343,untyped,PROMPT,5,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,The Art of Example Selection,353,untyped,PROMPT,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,The Art of Example Selection,381,untyped,PROMPT,3,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Few-Shot for Format Enforcement,395,untyped,PROMPT,22,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,3.3 Chain-of-Thought: Thinking Out Loud,461,untyped,WORKED_CALCULATION,2,no,no,none,no detected,native math,Preserve literal payload; do not execute
3,"The ""Let's Think Step by Step"" Miracle",476,untyped,PROMPT,4,no,no,none,no detected,"labeled, wrapping, page-breakable block",Mixed prompt/response transcript
3,"The ""Let's Think Step by Step"" Miracle",485,untyped,PROMPT,12,no,no,none,no detected,"labeled, wrapping, page-breakable block",Mixed prompt/response transcript
3,Basic CoT: The Simple Addition,523,untyped,PROMPT,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Explicit Step Enumeration,539,untyped,PROMPT,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Zero-Shot vs Few-Shot CoT,558,untyped,PROMPT,17,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Self-Consistency: Multiple Reasoning Paths,586,untyped,PROMPT,7,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Recursive CoT: Breaking Down Complexity,602,untyped,PROMPT,14,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Implementing CoT in Your Research Assistant,665,untyped,PROMPT,10,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Verification and Self-Correction,684,untyped,PROMPT,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Anatomy of a Robust Template,728,untyped,PROMPT,1,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Anatomy of a Robust Template,734,untyped,PROMPT,25,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Template Category 1: Factual Retrieval,816,untyped,PROMPT,7,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Template Category 2: Analysis & Synthesis,831,untyped,PROMPT,14,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Template Category 3: Creative Generation,853,untyped,PROMPT,12,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Template Category 4: Comparison,873,untyped,PROMPT,16,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Template Versioning: Evolution Through Testing,906,untyped,DATA,11,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Dynamic Template Selection,924,python,PSEUDOCODE,17,no,no,application helpers required,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Template Composition: Building Blocks,956,untyped,PROGRAM_CODE,6,fragment; not standalone,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Practical Example: Research Assistant Template Evolution,995,untyped,PROMPT,1,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Practical Example: Research Assistant Template Evolution,1001,untyped,PROMPT,3,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Practical Example: Research Assistant Template Evolution,1009,untyped,PROMPT,8,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Practical Example: Research Assistant Template Evolution,1022,untyped,PROMPT,24,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,3.5 Safety and Security: Defending Your System,1071,untyped,PROMPT,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Understanding Prompt Injection Attacks,1093,untyped,PROMPT,6,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,Why This Works,1106,untyped,PROMPT,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,1. Direct Injection,1119,untyped,PROMPT,1,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,2. Indirect Injection,1127,untyped,PROMPT,3,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,3. Goal Hijacking,1139,untyped,PROMPT,2,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
3,4. Prompt Leaking,1148,untyped,PROMPT,3,no,no,none,no detected,"labeled, wrapping, page-breakable block",Preserve literal payload; do not execute
