chapter,entry,original_entry,status,source,verification_date,corrected_entry,notes
1,1,"- Bender, E. M., Gebru, T., McMillan-Major, A., & Shmitchell, S. (2021). ""On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?"" — A foundational critique of scale-first LLM development, still essential context for the debates in this book.",VERIFIED,https://doi.org/10.1145/3442188.3445922,2026-09-18,"- *On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?* (2021). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@stochastic]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
1,2,"- Vaswani, A., et al. (2017). ""Attention Is All You Need."" — The original Transformer paper; dense but worth attempting once you've finished this chapter.",VERIFIED,https://arxiv.org/abs/1706.03762,2026-09-18,"- *Attention Is All You Need* (2017). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@vaswani2017attention]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
1,3,"- Marcus, G. (2022). ""Deep Learning Is Hitting a Wall."" — A skeptical counterpoint to scaling-law optimism, useful for calibrating your own view of the field's trajectory.",VERIFIED,https://nautil.us/deep-learning-is-hitting-a-wall-238440/,2026-09-18,"- *Deep Learning Is Hitting a Wall* (2022). A signed critical essay; treat its arguments as a perspective, not experimental evidence. [@marcus]","A signed critical essay; treat its arguments as a perspective, not experimental evidence."
2,1,"1.  **Vaswani, A., et al. (2017). ""Attention Is All You Need""**

    -   The original transformer paper. Dense but foundational. Read at least the introduction and conclusion to understand the motivation.",CORRECTED,https://arxiv.org/abs/1706.03762,2026-09-18,"- *Attention Is All You Need* (2017). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@vaswani2017attention]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
2,2,"2.  **Brown, T., et al. (2020). ""Language Models are Few-Shot Learners"" (GPT-3 paper)**

    -   Introduces the scaling hypothesis and demonstrates emergent capabilities.",CORRECTED,https://arxiv.org/abs/2005.14165,2026-09-18,- *Language Models are Few-Shot Learners* (2020). The 2020 report evaluates in-context learning; prompt examples do not update model weights. [@gpt3],The 2020 report evaluates in-context learning; prompt examples do not update model weights.
2,3,"3.  **Wei, J., et al. (2022). ""Emergent Abilities of Large Language Models""**

    -   Fascinating exploration of capabilities that appear only at certain model scales.",CORRECTED,https://arxiv.org/abs/2206.07682,2026-09-18,- *Emergent Abilities of Large Language Models* (2022). Read alongside the measurement critique cited in the chapter; reported thresholds are not universal. [@emergence],Read alongside the measurement critique cited in the chapter; reported thresholds are not universal.
2,4,"4.  **Hugging Face Transformers Documentation**

    -   Practical guide to working with transformer models in production.",CORRECTED,https://huggingface.co/docs/transformers/index,2026-09-18,"- *Transformers documentation* (n.d.). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@transformersdocs]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
2,5,"5.  **Anthropic's ""Model Card and Evaluations for Claude Models""**

    -   Detailed technical specifications and performance benchmarks.",REPLACED,https://www.anthropic.com/news/claude-3-family,2026-09-18,"- *Introducing the next generation of Claude* (2024). A dated March 2024 company launch and evaluation account, replacing the ambiguous model-card title. [@claude3]","A dated March 2024 company launch and evaluation account, replacing the ambiguous model-card title."
2,6,"6.  **OpenAI's ""GPT-4 Technical Report""**

    -   Insights into training and capabilities of frontier models.",CORRECTED,https://arxiv.org/abs/2303.08774,2026-09-18,- *GPT-4 Technical Report* (2023). The 2023 report does not disclose parameter count or a complete training recipe. [@gpt4],The 2023 report does not disclose parameter count or a complete training recipe.
2,7,"7.  **Google's ""PaLM: Scaling Language Modeling with Pathways""**

    -   Alternative approaches to training very large models.",CORRECTED,https://arxiv.org/abs/2204.02311,2026-09-18,"- *PaLM: Scaling Language Modeling with Pathways* (2022). Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version. [@palm]","Read the original source for its methods, assumptions, and limits; the bibliography identifies the verified version."
