chapter,source_line,length,kind,text
1,61,187,TABLE_ROW,"|**Generative AI**|AI systems that create new content (text, images, code) rather than just classifying or predicting existing data|ChatGPT writing an essay, Midjourney creating an image|"
1,62,154,TABLE_ROW,"|**Large Language Model (LLM)**|A neural network trained on vast amounts of text data to understand and generate human-like language|GPT-4, Claude, Llama|"
1,64,165,TABLE_ROW,"|**Embedding**|A numerical representation of text that captures semantic meaning in high-dimensional space|Converting ""dog"" into a vector like [0.2, -0.1, 0.8, ...]|"
1,65,169,TABLE_ROW,"|**Transformer**|A neural network architecture that uses attention mechanisms to process sequential data in parallel|The ""T"" in GPT (Generative Pre-trained Transformer)|"
1,66,207,TABLE_ROW,"|**Attention Mechanism**|A technique that lets a model weigh how relevant each part of the input is when producing each part of the output|Focusing on ""Paris"" when answering ""What is the capital of France?""|"
1,67,194,TABLE_ROW,"|**Pre-training**|The initial phase in which a model learns general language patterns from a massive, broad text corpus|Training on books, articles, and web text before any task-specific tuning|"
1,68,176,TABLE_ROW,"|**Fine-tuning**|Adapting a pre-trained model to a specific task or domain using a smaller, targeted dataset|Training a medical assistant model on de-identified clinical notes|"
1,71,181,TABLE_ROW,"|**Temperature**|A parameter controlling randomness in a model's output (0 = deterministic, 1+ = more creative/random)|Low temperature for factual answers, higher for brainstorming|"
1,72,209,TABLE_ROW,"|**Context Window**|The maximum amount of text (measured in tokens) a model can consider at once, including both prompt and response|A 128,000-token window can hold a lengthy document plus a long conversation|"
1,73,152,TABLE_ROW,"|**Hallucination**|A confident, fluent output that is factually wrong or unsupported by any real source|A model citing a legal case that does not exist|"
2,45,235,TABLE_ROW,"| **Transformer** | The neural network architecture that revolutionized AI, using attention mechanisms to process sequences in parallel rather than sequentially | The ""T"" in GPT; introduced in 2017's ""Attention Is All You Need"" paper |"
2,46,250,TABLE_ROW,"| **Attention Mechanism** | A technique that allows models to weigh the importance of different parts of the input when processing each element | When processing ""it"" in a sentence, attention determines whether ""it"" refers to ""trophy"" or ""suitcase"" |"
2,47,258,TABLE_ROW,"| **Self-Attention** | A specific form of attention where the model compares each word to every other word in the same sequence to understand relationships | Analyzing ""The animal didn't cross the street because it was too big"" to determine ""it"" = ""animal"" |"
2,48,254,TABLE_ROW,"| **Multi-Head Attention** | Running multiple attention mechanisms in parallel, each specializing in different types of relationships (syntax, semantics, references) | GPT-3 uses 96 attention heads per layer, each learning different linguistic patterns |"
2,49,184,TABLE_ROW,"| **Encoder** | The part of a transformer that processes and understands input, building rich representations | BERT is encoder-only; excels at understanding and classification tasks |"
2,50,161,TABLE_ROW,| **Decoder** | The part of a transformer that generates output based on learned representations | GPT models are decoder-only; specialized for text generation |
2,51,192,TABLE_ROW,| **Pre-training** | The initial training phase where models learn language patterns from massive datasets by predicting the next token | GPT-3 trained on \~570GB of text over several months |
2,52,192,TABLE_ROW,| **Fine-tuning** | Additional training on specific tasks or domains after pre-training to specialize the model | Training a general model on medical data to create a healthcare AI assistant |
2,53,274,TABLE_ROW,"| **RLHF (Reinforcement Learning from Human Feedback)** | Training technique where humans compare model outputs and the model learns to produce responses that align with human preferences | Used to make ChatGPT helpful, honest, and harmless by learning from human rankings |"
2,54,159,TABLE_ROW,| **Inference** | The process of using a trained model to generate predictions or outputs | What happens when you send a prompt to ChatGPT and get a response |
2,55,219,TABLE_ROW,"| **Autoregressive Generation** | Building outputs one token at a time, where each new token depends on all previous tokens | ""Machine"" → ""learning"" → ""is"" → ""a"" → ""field..."" (each word informed by all previous words) |"
2,56,187,TABLE_ROW,"| **Temperature** | A parameter controlling randomness in generation; lower = more deterministic, higher = more creative | Temperature 0.0 for factual answers; 1.0+ for creative writing |"
2,57,202,TABLE_ROW,| **Parameters** | The learned weights in a neural network that determine its behavior; more parameters generally mean more capability | GPT-3: 175 billion parameters; GPT-4: \~1.7 trillion parameters |
2,58,178,TABLE_ROW,| **Context Window** | The maximum amount of text (in tokens) a model can process in a single interaction | GPT-3.5: 4K tokens (\~3K words); Claude 2: 100K tokens (\~75K words) |
2,59,152,TABLE_ROW,| **Latency** | The time between sending a request and receiving the first token of the response | Small models: \<1 second; Large models: 5-8 seconds |
2,60,153,TABLE_ROW,| **Throughput** | The number of tokens or requests a system can process per unit time | Haiku processes \~1000 tokens/second; Opus \~200 tokens/second |
2,61,180,TABLE_ROW,"| **Model Family** | A collection of related models from the same organization, often with different sizes and capabilities | OpenAI GPT family: GPT-3.5 Turbo, GPT-4, GPT-4 Turbo |"
2,62,259,TABLE_ROW,"| **Constitutional AI** | Anthropic's approach to AI safety where models are trained to follow a set of principles (constitution) for helpful, honest, harmless behavior | Claude models use Constitutional AI to refuse harmful requests while remaining helpful |"
2,63,215,TABLE_ROW,"| **Quantization** | Reducing model precision (e.g., from 32-bit to 8-bit) to decrease memory usage and increase speed, with minimal quality loss | Running Llama 2 70B in 4-bit quantization to fit on consumer GPUs |"
2,64,200,TABLE_ROW,| **LoRA (Low-Rank Adaptation)** | An efficient fine-tuning technique that updates only small adapter layers instead of all model weights | Fine-tuning a 7B model by updating only 0.1% of parameters |
2,65,214,TABLE_ROW,"| **Emergent Capabilities** | Abilities that appear unexpectedly as models scale up, not explicitly programmed during training | Chain-of-thought reasoning emerged in large models without specific training for it |"
2,66,180,TABLE_ROW,"| **Scaling Laws** | Predictable relationships between model size, data size, compute, and performance | Doubling model size typically improves performance by a consistent amount |"
2,67,162,TABLE_ROW,| **Zero-shot** | Model performs a task without any task-specific training or examples | Asking GPT-4 to translate French without providing translation examples |
2,68,172,TABLE_ROW,"| **Few-shot** | Model learns from a small number of examples provided in the prompt | Showing 3 examples of sentiment classification, then asking it to classify new text |"
2,69,197,TABLE_ROW,"| **Prompt Engineering** | The practice of carefully crafting inputs to elicit desired outputs from language models | Adding ""Let's think step by step"" dramatically improves reasoning performance |"
2,70,209,TABLE_ROW,"| **System Prompt** | Instructions that set the model's behavior, role, or constraints before the conversation begins | ""You are a helpful medical assistant. Always cite sources and acknowledge uncertainty."" |"
