pdf_page,printed_page,page_type,element,edge_touched,bbox,intended_bleed,action,status
3,,title page,navy title field and blue rule,"top;left;right","0,489.6,612,792",no,"inset top/left/right by 0.15 in",PASS
13,,Part I opener,typography only,none,"inside text area",no,none,PASS
14,1,chapter opener,navy/deep-blue field and periwinkle rule,"top;left;right","0,383.0,612,792",no,"inset top/left/right by 0.15 in",PASS
87,2,chapter opener,navy/deep-blue field and periwinkle rule,"top;left;right","0,383.0,612,792",no,"inset top/left/right by 0.15 in",PASS
163,,Part II opener,typography only,none,"inside text area",no,none,PASS
164,3,chapter opener,navy/deep-blue field and periwinkle rule,"top;left;right","0,383.0,612,792",no,"inset top/left/right by 0.15 in",PASS
228,4,chapter opener,navy/deep-blue field and periwinkle rule,"top;left;right","0,383.0,612,792",no,"inset top/left/right by 0.15 in",PASS
286,,Part III opener,typography only,none,"inside text area",no,none,PASS
287,5,chapter opener,navy/deep-blue field and periwinkle rule,"top;left;right","0,383.0,612,792",no,"inset top/left/right by 0.15 in",PASS
340,6,chapter opener,navy/deep-blue field and periwinkle rule,"top;left;right","0,383.0,612,792",no,"inset top/left/right by 0.15 in",PASS
373,7,chapter opener,navy/deep-blue field and periwinkle rule,"top;left;right","0,383.0,612,792",no,"inset top/left/right by 0.15 in",PASS
